Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
222回目,974940.000000,2086690.000000,1884790.000000,1899949.000000
223回目,1034840.000000,2090992.000000,1873282.000000,1876285.000000
224回目,969890.000000,2070102.000000,1835818.000000,1876285.000000
225回目,1034840.000000,2111244.000000,1887540.000000,1903701.000000
226回目,978264.000000,2082272.000000,1882918.000000,1845833.000000
227回目,1034840.000000,2078904.000000,1884624.000000,1884407.000000
228回目,978264.000000,2048982.000000,1857780.000000,1894251.000000
229回目,1009816.000000,2078904.000000,1894260.000000,1867305.000000
230回目,958756.000000,2066522.000000,1861484.000000,1903701.000000
231回目,965640.000000,2041540.000000,1878542.000000,1903701.000000
232回目,950674.000000,2065694.000000,1884664.000000,1867305.000000
233回目,969890.000000,2119180.000000,1859112.000000,1876285.000000
234回目,969890.000000,2086346.000000,1882082.000000,1844957.000000
235回目,965640.000000,2090260.000000,1875242.000000,1844957.000000
236回目,960632.000000,2097156.000000,1869498.000000,1894251.000000
237回目,969890.000000,2105144.000000,1875266.000000,1884407.000000
238回目,974940.000000,2078904.000000,1870382.000000,1884407.000000
239回目,950674.000000,2077544.000000,1878052.000000,1917401.000000
240回目,1009816.000000,2083550.000000,1904906.000000,1876285.000000
241回目,958756.000000,2092412.000000,1864462.000000,1845833.000000
242回目,969890.000000,2085012.000000,1882542.000000,1884407.000000
243回目,965640.000000,2083550.000000,1907736.000000,1844957.000000
244回目,1009816.000000,2077544.000000,1864998.000000,1884407.000000
245回目,974940.000000,2084970.000000,1835818.000000,1917401.000000
246回目,978264.000000,2085012.000000,1788902.000000,1894251.000000
247回目,953830.000000,2085012.000000,1893800.000000,1844957.000000
248回目,960632.000000,2086690.000000,1866784.000000,1844957.000000
249回目,953830.000000,2112586.000000,1859692.000000,1899949.000000
250回目,1034840.000000,2100390.000000,1887540.000000,1876285.000000
