PDR,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,55.102000,79.591800,73.469400,72.485100
134回目,47.959200,78.610600,72.449000,77.319600
135回目,52.040800,79.421400,79.591800,83.673500
136回目,55.102000,73.469400,80.612200,82.653100
137回目,55.102000,78.610600,83.673500,73.506000
138回目,54.081600,77.551000,73.469400,76.530600
139回目,60.204100,79.381400,77.551000,76.530600
140回目,53.061200,76.530600,67.380500,76.530600
141回目,65.306100,76.530600,84.693900,82.653100
142回目,54.081600,72.449000,72.164900,77.589700
143回目,47.959200,79.381400,78.571400,70.443300
144回目,48.979600,82.653100,77.589700,66.359600
145回目,52.040800,82.653100,68.435500,66.359600
146回目,54.081600,80.612200,73.469400,66.359600
147回目,58.762900,75.510200,72.485100,66.359600
148回目,52.040800,72.449000,74.489800,77.319600
149回目,53.061200,79.591800,87.755100,76.530600
150回目,55.102000,75.510200,69.457000,73.506000
151回目,55.102000,83.673500,80.652400,76.530600
152回目,65.306100,79.591800,79.671200,73.506000
153回目,47.959200,75.547800,74.489800,77.589700
154回目,47.959200,74.489800,78.571400,82.653100
155回目,52.040800,73.469400,74.489800,83.673500
156回目,52.040800,77.551000,80.652400,83.673500
157回目,58.762900,79.591800,74.489800,76.530600
158回目,55.102000,79.421400,77.551000,66.359600
159回目,60.204100,80.612200,77.551000,73.506000
160回目,54.081600,84.693900,72.521200,68.367300
161回目,53.061200,76.530600,67.380500,66.359600
162回目,47.959200,72.449000,74.526900,66.359600
163回目,47.959200,79.591800,78.350500,70.443300
164回目,52.040800,79.591800,69.457000,76.530600
165回目,52.040800,76.530600,77.589700,82.653100
166回目,60.204100,78.610600,74.489800,68.367300
167回目,71.428600,75.510200,71.499800,77.589700
168回目,52.040800,72.449000,80.412400,68.367300
169回目,54.081600,79.381400,78.571400,82.653100
170回目,47.959200,78.610600,67.380500,77.589700
171回目,52.040800,72.449000,73.542700,82.653100
172回目,52.040800,82.653100,79.591800,68.367300
173回目,58.762900,79.591800,81.443300,72.485100
