Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,5.017080,6.948060,6.412810,6.457020
134回目,4.320220,6.858480,6.324130,6.967580
135回目,4.687630,7.003380,6.948050,7.304360
136回目,5.017080,6.413590,7.037130,7.215290
137回目,5.017080,6.858480,7.304360,6.413020
138回目,4.924170,6.769900,6.617800,6.680080
139回目,5.422780,6.929790,6.769900,6.680080
140回目,4.779860,6.680010,5.878590,6.680080
141回目,5.946150,6.680010,7.393440,7.215290
142回目,4.924170,6.323940,6.503570,6.769900
143回目,4.320220,6.929790,6.858980,6.410660
144回目,4.275730,7.214420,6.769290,6.039010
145回目,4.687630,7.214420,5.968200,6.039010
146回目,4.924170,7.036350,6.413590,6.039010
147回目,5.183830,6.801790,6.323800,6.039010
148回目,4.638180,6.526220,6.502670,6.967580
149回目,4.779860,7.169800,7.660670,6.680080
150回目,5.017080,6.801790,6.057280,6.413020
151回目,5.017080,7.304360,7.036350,6.680080
152回目,5.946150,7.169800,6.948050,6.413020
153回目,4.320220,6.802060,6.502080,6.769900
154回目,4.320220,6.501940,6.858980,7.215290
155回目,4.638180,6.413590,6.502080,7.304360
156回目,4.638180,6.769900,7.036360,7.304360
157回目,5.183830,7.169800,6.502000,6.680080
158回目,5.017080,7.003380,6.769900,6.039010
159回目,5.422780,7.036350,6.769900,6.413020
160回目,4.924170,7.548400,6.324510,5.968200
161回目,4.779860,6.680010,5.878590,6.039010
162回目,4.320220,6.323940,6.709910,6.039010
163回目,4.320220,6.947360,6.840420,6.410660
164回目,4.638180,6.948060,6.057280,6.680080
165回目,4.638180,6.680010,6.769300,7.215290
166回目,5.422780,6.858480,6.710200,5.968200
167回目,6.299990,6.801790,6.235430,6.769900
168回目,4.638180,6.323940,7.019650,5.968200
169回目,4.924170,6.929790,6.858980,7.215290
170回目,4.320220,6.858480,5.878590,6.769900
171回目,4.638180,6.323940,6.412990,7.215290
172回目,4.687630,7.214420,6.948050,5.968200
173回目,5.183830,6.948060,7.110020,6.457020
174回目,5.946150,6.769290,6.057270,6.413020
175回目,4.638180,6.948060,6.709910,6.413020
176回目,5.422780,6.948060,7.660680,7.304360
177回目,4.687630,7.036350,6.413580,6.967580
178回目,5.422780,6.948060,6.548300,6.235430
179回目,4.638180,7.548400,7.036350,6.457020
180回目,4.320220,6.948060,7.304360,6.680080
181回目,4.779860,6.947360,6.769900,5.968200
182回目,4.275730,6.858480,6.057280,6.413020
183回目,5.946150,6.769290,6.769900,5.968200
184回目,4.924170,6.680010,7.482510,6.457020
185回目,5.017080,6.948060,6.591740,6.039010
186回目,5.422780,7.214420,6.769900,6.680080
187回目,5.422780,7.169800,6.858980,6.457020
188回目,4.687630,6.802060,7.304360,6.769900
189回目,4.638180,6.948060,7.261670,7.304360
190回目,5.183830,6.947360,6.057280,6.413020
191回目,5.183830,6.948060,6.858510,5.968200
192回目,4.638180,6.769900,6.502080,7.304360
193回目,4.275730,7.304360,6.410650,6.769900
194回目,4.779860,6.947360,6.057280,6.413020
195回目,4.687630,6.323940,5.878590,6.410660
196回目,4.924170,7.548400,6.948050,6.235430
197回目,5.183830,7.548400,6.802120,7.215290
198回目,4.275730,7.036350,6.680820,6.769900
199回目,4.638180,6.858480,6.948060,7.215290
200回目,4.638180,7.548400,6.591160,6.769900
201回目,5.946150,6.769900,6.145960,6.413020
202回目,6.299990,6.802060,7.037130,6.769900
203回目,4.638180,7.169800,6.502080,6.413020
204回目,4.638180,7.003380,6.858980,6.680080
205回目,4.924170,6.802060,7.393440,7.304360
206回目,4.320220,6.680010,6.769900,6.039010
207回目,4.638180,6.501940,6.617930,6.235430
208回目,4.275730,6.948060,7.019650,5.968200
209回目,4.779860,7.036350,5.882900,6.413020
210回目,6.299990,6.323940,6.709550,6.410660
211回目,4.779860,6.680010,6.502650,6.235430
212回目,6.299990,6.858480,6.769900,7.304360
213回目,5.422780,6.769290,7.036350,6.680080
214回目,4.275730,6.323940,6.591740,6.039010
215回目,4.924170,6.801790,7.660670,7.304360
216回目,6.299990,7.169800,6.948050,6.413020
217回目,4.779860,6.801790,6.502080,6.235430
218回目,4.638180,6.323940,7.036350,6.039010
219回目,4.687630,6.526220,6.769150,6.410660
220回目,4.320220,7.036350,6.526300,7.215290
221回目,5.946150,6.769900,6.591740,6.413020
222回目,4.924170,6.947360,6.250400,5.968200
223回目,5.422780,6.680010,6.769890,6.967580
224回目,4.320220,6.858480,7.660670,6.967580
225回目,5.422780,6.526220,6.948050,6.235430
226回目,5.946150,7.169800,6.548200,7.304360
227回目,5.422780,7.214420,6.858980,6.457020
228回目,5.946150,7.304360,7.304360,6.410660
229回目,5.183830,7.214420,6.235060,6.413020
230回目,5.017080,7.548400,7.036350,6.235430
231回目,4.275730,7.304360,6.858980,6.235430
232回目,4.779860,7.036350,6.479670,6.413020
233回目,4.320220,6.323940,7.036350,6.967580
234回目,4.320220,7.214420,6.680820,6.769900
235回目,4.275730,6.802060,6.948050,6.769900
236回目,4.638180,7.169800,6.802060,6.410660
237回目,4.320220,6.802060,6.875110,6.457020
238回目,4.924170,7.214420,6.709910,6.457020
239回目,4.779860,6.858480,6.858980,6.039010
240回目,5.183830,6.680010,6.057280,6.967580
241回目,5.017080,6.948060,7.037140,7.304360
242回目,4.320220,6.769900,6.591750,6.457020
243回目,4.275730,6.680010,6.503510,6.769900
244回目,5.183830,6.858480,6.769900,6.457020
245回目,4.924170,6.948060,7.660670,6.039010
246回目,5.946150,6.769900,7.927910,6.410660
247回目,4.687630,6.769900,6.234680,6.769900
248回目,4.638180,6.947360,7.019650,6.769900
249回目,4.687630,6.802060,6.680230,5.968200
250回目,5.422780,6.501940,6.948050,6.967580
