Loss,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,40.816300,19.387800,24.489800,25.510200
134回目,48.979600,18.367300,24.489800,19.587600
135回目,44.898000,18.556700,18.367300,16.326500
136回目,40.816300,23.469400,17.346900,15.306100
137回目,40.816300,18.367300,14.285700,24.489800
138回目,41.836700,21.428600,23.469400,20.408200
139回目,34.693900,18.556700,20.408200,20.408200
140回目,43.877600,21.428600,28.571400,20.408200
141回目,30.612200,21.428600,14.285700,15.306100
142回目,41.836700,25.510200,24.742300,21.428600
143回目,48.979600,18.556700,18.367300,25.510200
144回目,51.020400,16.326500,18.367300,29.591800
145回目,44.898000,16.326500,30.612200,29.591800
146回目,41.836700,16.326500,23.469400,29.591800
147回目,37.113400,21.428600,25.510200,29.591800
148回目,43.877600,23.469400,23.469400,19.587600
149回目,43.877600,17.346900,10.204100,20.408200
150回目,40.816300,21.428600,29.591800,24.489800
151回目,40.816300,14.285700,17.346900,20.408200
152回目,30.612200,17.346900,20.408200,24.489800
153回目,48.979600,21.428600,22.449000,21.428600
154回目,48.979600,23.469400,18.367300,15.306100
155回目,43.877600,23.469400,22.449000,16.326500
156回目,43.877600,21.428600,17.346900,16.326500
157回目,37.113400,17.346900,21.428600,20.408200
158回目,40.816300,18.556700,20.408200,29.591800
159回目,34.693900,16.326500,20.408200,24.489800
160回目,41.836700,12.244900,24.489800,29.591800
161回目,43.877600,21.428600,28.571400,29.591800
162回目,48.979600,25.510200,22.449000,29.591800
163回目,48.979600,17.346900,19.587600,25.510200
164回目,43.877600,19.387800,29.591800,20.408200
165回目,43.877600,21.428600,21.428600,15.306100
166回目,34.693900,18.367300,22.449000,29.591800
167回目,26.530600,21.428600,26.530600,21.428600
168回目,43.877600,25.510200,17.525800,29.591800
169回目,41.836700,18.556700,19.387800,15.306100
170回目,48.979600,18.367300,28.571400,21.428600
171回目,43.877600,25.510200,24.489800,15.306100
172回目,44.898000,16.326500,18.367300,29.591800
173回目,37.113400,19.387800,15.463900,25.510200
174回目,30.612200,20.408200,29.591800,24.489800
175回目,43.877600,19.387800,22.449000,24.489800
176回目,34.693900,19.387800,10.204100,16.326500
177回目,44.898000,16.326500,22.449000,19.587600
178回目,34.693900,19.387800,23.469400,27.551000
179回目,43.877600,12.244900,17.346900,25.510200
180回目,48.979600,19.387800,15.306100,20.408200
181回目,43.877600,17.346900,20.408200,29.591800
182回目,51.020400,18.367300,29.591800,24.489800
183回目,30.612200,20.408200,21.428600,29.591800
184回目,41.836700,21.428600,13.265300,25.510200
185回目,40.816300,19.387800,21.428600,29.591800
186回目,34.693900,16.326500,20.408200,20.408200
187回目,34.693900,17.346900,18.367300,25.510200
188回目,44.898000,21.428600,16.326500,21.428600
189回目,43.877600,19.387800,16.326500,16.326500
190回目,37.113400,17.346900,29.591800,24.489800
191回目,37.113400,19.387800,19.387800,29.591800
192回目,43.877600,21.428600,22.449000,16.326500
193回目,51.020400,14.285700,25.510200,21.428600
194回目,43.877600,17.346900,28.571400,24.489800
195回目,44.898000,25.510200,28.571400,25.510200
196回目,41.836700,12.244900,18.367300,27.551000
197回目,37.113400,12.244900,21.428600,15.306100
198回目,51.020400,16.326500,20.408200,21.428600
199回目,43.877600,18.367300,19.387800,15.306100
200回目,43.877600,12.244900,23.469400,21.428600
201回目,30.612200,20.408200,26.530600,24.489800
202回目,26.530600,21.428600,17.346900,21.428600
203回目,43.877600,17.346900,22.449000,24.489800
204回目,43.877600,18.556700,18.367300,20.408200
205回目,41.836700,21.428600,14.285700,16.326500
206回目,48.979600,21.428600,20.408200,29.591800
207回目,43.877600,23.469400,22.449000,27.551000
208回目,51.020400,19.387800,17.525800,29.591800
209回目,43.877600,16.326500,30.612200,24.489800
210回目,26.530600,25.510200,22.449000,25.510200
211回目,43.877600,21.428600,23.469400,27.551000
212回目,26.530600,18.367300,20.408200,16.326500
213回目,34.693900,20.408200,17.346900,20.408200
214回目,51.020400,25.510200,23.469400,29.591800
215回目,41.836700,21.428600,10.204100,16.326500
216回目,26.530600,17.346900,18.367300,24.489800
217回目,43.877600,21.428600,22.449000,27.551000
218回目,43.877600,25.510200,17.346900,29.591800
219回目,44.898000,23.469400,19.387800,25.510200
220回目,48.979600,16.326500,24.489800,15.306100
221回目,30.612200,20.408200,22.449000,24.489800
222回目,41.836700,17.346900,27.551000,29.591800
223回目,34.693900,21.428600,20.408200,19.587600
224回目,48.979600,18.367300,10.204100,19.587600
225回目,34.693900,23.469400,18.367300,27.551000
226回目,30.612200,17.346900,23.469400,16.326500
227回目,34.693900,16.326500,19.387800,25.510200
228回目,30.612200,14.285700,14.285700,25.510200
229回目,37.113400,16.326500,25.510200,24.489800
230回目,40.816300,12.244900,17.346900,27.551000
231回目,51.020400,14.285700,19.387800,27.551000
232回目,43.877600,16.326500,23.711300,24.489800
233回目,48.979600,25.510200,17.346900,19.587600
234回目,48.979600,16.326500,21.428600,21.428600
235回目,51.020400,21.428600,19.387800,21.428600
236回目,43.877600,17.346900,21.428600,25.510200
237回目,48.979600,21.428600,20.408200,25.510200
238回目,41.836700,16.326500,22.449000,25.510200
239回目,43.877600,18.367300,19.387800,29.591800
240回目,37.113400,21.428600,29.591800,19.587600
241回目,40.816300,19.387800,18.367300,16.326500
242回目,48.979600,20.408200,23.469400,25.510200
243回目,51.020400,21.428600,24.489800,21.428600
244回目,37.113400,18.367300,20.408200,25.510200
245回目,41.836700,19.387800,10.204100,29.591800
246回目,30.612200,20.408200,7.142860,25.510200
247回目,44.898000,20.408200,26.530600,21.428600
248回目,43.877600,17.346900,17.525800,21.428600
249回目,44.898000,21.428600,21.428600,29.591800
250回目,34.693900,23.469400,18.367300,19.587600
