Delay,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,3.175000,3.109380,2.667620,2.950250
134回目,2.988020,2.566170,3.313890,16.313000
135回目,41.908500,2.925370,3.591610,2.772490
136回目,3.175000,2.964310,15.737700,52.098100
137回目,3.175000,2.566170,3.474650,2.775580
138回目,21.546700,2.406840,16.793500,15.951300
139回目,20.121100,2.948550,16.373200,15.951300
140回目,21.697900,15.760800,2.480110,15.951300
141回目,18.101600,15.760800,3.418370,52.098100
142回目,21.546700,16.741200,3.030200,22.471800
143回目,2.988020,2.948550,2.992320,2.991300
144回目,2.820430,64.496000,15.712000,2.814780
145回目,41.908500,64.496000,3.238190,2.814780
146回目,21.546700,2.531710,2.586220,2.814780
147回目,2.921650,2.744380,3.657070,2.814780
148回目,22.616300,17.235200,2.632760,16.313000
149回目,21.697900,2.637270,2.994970,15.951300
150回目,3.175000,2.744380,2.802790,2.775580
151回目,3.175000,2.428730,3.053550,15.951300
152回目,18.101600,2.637270,2.642660,2.775580
153回目,2.988020,2.332010,16.244900,22.471800
154回目,2.988020,16.710700,2.992320,52.098100
155回目,22.616300,2.964310,16.244900,2.772490
156回目,22.616300,2.406840,2.863800,2.772490
157回目,2.921650,2.637270,17.078700,15.951300
158回目,3.175000,2.925370,16.373200,2.814780
159回目,20.121100,2.531710,16.373200,2.775580
160回目,21.546700,14.960900,2.752960,17.820500
161回目,21.697900,15.760800,2.480110,2.814780
162回目,2.988020,16.741200,16.215900,2.814780
163回目,2.988020,15.730000,2.644130,2.991300
164回目,22.616300,3.110170,2.802790,15.951300
165回目,22.616300,15.760800,16.015000,52.098100
166回目,20.121100,2.566170,2.035630,17.820500
167回目,45.809000,2.744380,2.481970,22.471800
168回目,22.616300,16.741200,2.744210,17.820500
169回目,21.546700,2.948550,15.968900,52.098100
170回目,2.988020,2.566170,2.480110,22.471800
171回目,22.616300,16.741200,3.061160,52.098100
172回目,41.908500,64.496000,3.538390,17.820500
173回目,2.921650,3.110170,15.299100,2.950250
174回目,18.101600,3.049270,2.846660,2.775580
175回目,22.616300,3.110170,16.215900,2.775580
176回目,20.121100,3.109380,2.941680,2.772490
177回目,41.908500,2.531710,2.529640,16.313000
178回目,20.121100,3.110170,16.430200,17.434400
179回目,22.616300,14.960900,3.053550,2.950250
180回目,2.988020,3.110170,3.705870,15.951300
181回目,21.697900,15.730000,16.115000,17.820500
182回目,2.820430,2.566170,2.802790,2.775580
183回目,18.101600,3.049270,15.593400,17.820500
184回目,21.546700,15.760800,26.800600,2.950250
185回目,3.175000,3.110170,3.232680,2.814780
