Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5.759190,6.769890,6.323540,6.292510
2回目,5.481240,6.029440,6.413580,6.292510
3回目,6.407240,6.250600,6.618190,5.878220
4回目,5.353110,5.939440,6.570020,6.432250
5回目,5.886860,5.852460,6.948050,6.413580
6回目,5.759190,6.324510,6.413580,6.292510
7回目,5.789670,5.852460,5.700920,5.729350
8回目,5.853220,5.967300,5.790040,6.292510
9回目,6.223840,6.680800,6.342300,5.789160
10回目,5.353110,6.710190,6.570020,6.386470
11回目,5.521960,6.413580,6.183830,5.729350
12回目,5.255170,6.146350,6.366650,6.386470
13回目,5.521960,6.324510,6.761960,5.878220
14回目,5.927680,6.171740,6.250460,6.057270
15回目,6.223840,5.967300,6.836460,6.386470
16回目,5.853220,5.939440,5.790040,6.104720
17回目,5.886860,6.710190,6.002510,6.104720
18回目,5.255170,5.967300,5.700920,6.413580
19回目,5.853220,6.146350,5.700620,6.432250
20回目,5.759190,6.146360,5.790040,6.413580
21回目,5.853220,5.939440,5.790040,6.266750
22回目,5.255170,5.939440,6.224620,6.413580
23回目,5.521960,6.146360,6.183820,5.729350
24回目,5.886860,5.939440,6.171520,6.266750
25回目,5.886860,6.413580,6.660020,6.413580
26回目,5.521960,6.146360,6.456650,6.413580
27回目,6.223840,6.171740,6.184230,5.729350
28回目,5.353110,5.852460,5.790040,6.057270
29回目,5.789670,6.680800,6.324510,5.789160
30回目,5.886860,6.146360,6.317810,6.104720
31回目,5.927680,6.769890,6.413580,6.266750
32回目,5.353110,6.769890,6.730510,5.729350
33回目,5.353110,6.413580,6.570020,5.789160
34回目,5.927680,5.968200,5.789680,6.413580
35回目,5.521960,6.769890,6.183820,6.057270
36回目,5.521960,5.968200,6.761960,5.729350
37回目,5.255170,6.146350,5.967850,5.878220
38回目,5.886860,6.324510,6.456650,5.789160
39回目,6.223840,5.939440,5.789160,6.057270
40回目,5.481240,6.680800,6.057280,6.266750
41回目,6.223840,6.407530,6.183820,6.413580
42回目,5.927680,6.413580,5.522480,6.386470
43回目,5.927680,6.407530,6.570020,6.292510
44回目,5.886860,5.852460,6.618190,6.104720
45回目,5.521960,6.324510,5.967280,6.266750
46回目,5.481240,6.324510,6.184230,6.432250
47回目,5.853220,6.146350,6.410710,6.413580
48回目,5.759190,5.968200,6.618190,5.789160
49回目,5.481240,6.324510,5.967280,6.104720
50回目,5.521960,6.146350,5.878230,6.413580
51回目,5.789670,6.234470,5.789680,6.266750
52回目,5.853220,6.710190,6.145920,6.432250
53回目,5.255170,5.939440,6.104490,6.432250
54回目,6.223840,5.911940,5.790040,5.789160
55回目,5.886860,6.710190,6.323560,6.413580
56回目,5.481240,6.171740,5.522480,6.413580
57回目,5.886860,6.250600,6.413580,6.057270
58回目,5.759190,6.407530,5.789680,6.432250
59回目,5.481240,6.769890,6.761960,5.789160
60回目,5.481240,6.769890,5.789680,5.878220
61回目,5.886860,5.967300,5.790040,6.386470
62回目,5.927680,6.710190,6.431680,6.413580
63回目,5.853220,6.146360,5.344650,6.292510
64回目,6.223840,5.967300,6.646530,6.386470
65回目,5.853220,6.413580,6.480340,5.729350
66回目,5.481240,6.250600,5.968200,6.386470
67回目,5.255170,5.967300,6.386470,6.104720
68回目,5.927680,6.234470,6.183830,6.386470
69回目,6.223840,5.939440,6.456650,5.789160
70回目,5.759190,5.911940,6.413580,5.729350
71回目,5.853220,5.968200,6.761960,6.432250
72回目,6.407240,6.324510,6.057280,5.729350
73回目,5.353110,5.852460,6.618190,5.729350
74回目,5.789670,5.967300,6.183820,6.266750
75回目,5.353110,6.413580,6.184230,6.057270
76回目,6.223840,6.250600,5.789680,5.878220
77回目,5.789670,5.967300,6.057280,5.878220
78回目,6.407240,5.852460,5.939450,6.413580
79回目,5.353110,6.947650,7.043680,6.413580
80回目,5.759190,5.939440,6.184230,6.413580
81回目,6.407240,6.146360,5.700090,6.413580
82回目,5.255170,5.939440,6.235430,6.266750
83回目,5.255170,6.413580,6.410710,6.413580
84回目,6.407240,6.710190,5.968200,6.386470
85回目,5.927680,6.146360,5.790040,6.413580
86回目,5.789670,5.939440,6.183820,6.266750
87回目,5.927680,6.146360,6.183830,5.729350
88回目,5.886860,5.967300,6.324510,5.789160
89回目,5.481240,6.413580,6.761960,5.789160
90回目,6.223840,6.171740,6.660400,6.413580
91回目,5.853220,6.146360,5.522480,5.789160
92回目,5.521960,6.710190,6.548600,5.729350
93回目,5.353110,6.324510,6.480390,6.057270
94回目,6.223840,6.413580,6.836410,5.878220
95回目,5.853220,5.968200,6.570020,6.432250
96回目,5.886860,5.967300,6.570020,6.432250
97回目,5.927680,6.324510,6.317580,5.789160
98回目,5.853220,6.710190,6.761960,6.413580
99回目,5.481240,5.967300,6.235430,6.057270
100回目,6.407240,6.146360,6.039080,6.266750
101回目,5.353110,5.939440,6.413580,6.266750
102回目,5.255170,6.680800,6.591740,6.432250
103回目,5.789670,5.852460,6.038920,5.729350
104回目,5.521960,6.413580,5.790040,6.104720
105回目,5.853220,6.680800,5.522480,6.432250
106回目,5.255170,5.968200,5.790040,6.413580
107回目,5.481240,5.852460,6.618190,6.104720
108回目,5.789670,6.324510,6.618190,5.878220
109回目,5.886860,6.171740,5.456830,6.432250
110回目,5.886860,5.911940,5.522480,6.413580
111回目,5.759190,5.911940,6.183830,5.878220
112回目,5.521960,5.967300,6.761960,5.878220
113回目,5.481240,6.324510,6.324130,6.057270
114回目,5.759190,5.852460,6.146350,6.057270
115回目,5.927680,6.324510,6.184230,6.266750
116回目,6.223840,5.939440,5.522480,6.266750
117回目,5.255170,6.710190,6.300020,6.386470
118回目,5.521960,6.407530,6.184230,6.104720
119回目,5.481240,6.710190,5.968200,6.266750
120回目,5.255170,6.324510,5.790040,5.878220
121回目,5.481240,5.967300,6.057280,6.432250
122回目,5.255170,5.939440,5.790040,6.413580
123回目,6.407240,6.146360,7.043680,6.057270
124回目,5.927680,6.171740,6.456650,5.789160
125回目,5.255170,6.146360,6.324510,6.266750
126回目,6.407240,5.852460,6.618190,6.292510
127回目,5.886860,6.680800,6.224850,6.104720
128回目,6.407240,6.324510,6.456650,5.789160
129回目,5.255170,6.324510,6.131930,5.878220
130回目,6.223840,5.968200,6.093460,5.729350
131回目,5.853220,6.324510,6.235430,6.266750
132回目,5.927680,6.710190,5.878210,5.729350
133回目,5.255170,6.710190,6.413580,6.413580
134回目,6.407240,6.413580,6.413580,6.413580
135回目,5.521960,5.852460,6.183830,5.729350
136回目,5.927680,5.939440,6.503570,6.266750
137回目,5.481240,6.680800,5.790040,6.413580
138回目,5.353110,6.234470,6.171740,6.266750
139回目,5.521960,6.146350,6.183820,6.057270
140回目,5.353110,6.947650,6.456650,6.057270
141回目,5.759190,6.324510,5.939440,5.789160
142回目,6.223840,6.250600,5.522480,6.386470
143回目,5.759190,6.324510,6.210370,6.386470
144回目,5.353110,5.967300,6.413580,6.432250
145回目,6.407240,5.852460,6.224900,6.413580
146回目,5.521960,6.171740,6.056930,6.413580
147回目,5.255170,6.324510,6.618190,6.057270
148回目,5.789670,6.234470,6.183830,6.413580
149回目,5.255170,6.680800,6.570020,6.292510
150回目,5.481240,6.680800,6.183830,6.104720
151回目,5.481240,5.911940,5.789160,6.432250
152回目,5.353110,6.680800,6.324500,6.057270
153回目,6.407240,6.413580,6.183830,5.878220
154回目,5.353110,6.250600,5.790040,5.878220
155回目,5.353110,6.234470,6.183830,6.057270
156回目,5.853220,5.939440,6.618190,6.413580
157回目,5.927680,6.146360,6.480160,6.104720
158回目,5.886860,5.967300,6.480380,6.266750
159回目,5.886860,6.146360,6.618190,5.878220
160回目,5.927680,6.146360,6.456650,6.266750
161回目,5.927680,6.171740,6.456650,6.432250
162回目,5.255170,5.968200,5.790040,5.729350
163回目,5.255170,6.413580,6.570020,5.878220
164回目,5.927680,6.947650,6.456650,6.292510
165回目,5.759190,5.852460,6.146350,6.386470
166回目,5.886860,6.146360,6.413590,6.432250
167回目,5.886860,6.171740,6.667720,6.057270
168回目,5.927680,6.769890,5.879120,6.104720
169回目,6.223840,6.250600,6.858980,6.386470
170回目,5.759190,6.680800,5.611890,5.729350
171回目,5.759190,6.324510,6.413580,5.878220
172回目,5.886860,6.324510,6.570020,6.386470
173回目,5.521960,5.852460,6.456650,5.729350
174回目,5.759190,5.852460,5.968200,6.292510
175回目,5.255170,5.852460,6.456650,6.413580
176回目,5.789670,5.852460,5.790050,6.386470
177回目,5.886860,5.967300,5.878750,6.266750
178回目,5.789670,6.413580,6.456650,6.413580
179回目,6.223840,6.146350,5.790040,5.878220
180回目,5.481240,6.029440,5.789680,6.292510
181回目,5.759190,6.250600,6.183820,6.386470
182回目,6.223840,6.324510,6.595800,5.729350
183回目,5.927680,6.146360,6.456650,6.413580
184回目,6.223840,6.680800,5.790040,6.266750
185回目,5.353110,5.611890,6.413470,6.432250
186回目,5.927680,6.413580,6.184230,6.057270
187回目,5.255170,6.710190,6.456650,6.057270
188回目,5.255170,6.324510,6.410710,6.292510
189回目,5.927680,6.710190,6.413580,6.432250
190回目,5.853220,6.171740,5.574380,6.386470
191回目,5.853220,6.680800,6.413580,5.789160
192回目,5.927680,6.769890,5.700960,6.292510
193回目,5.927680,6.324510,6.184230,6.266750
194回目,5.481240,6.710190,6.570020,6.413580
195回目,5.886860,5.967300,5.790040,5.878220
196回目,5.255170,6.324510,6.224590,6.413580
197回目,5.521960,5.852460,6.502660,6.386470
198回目,5.927680,5.939440,6.184260,6.432250
199回目,5.853220,5.852460,6.131980,6.413580
200回目,6.407240,5.852460,5.940020,6.432250
201回目,5.759190,5.939440,6.502670,6.413580
202回目,5.759190,6.324510,6.365710,6.413580
203回目,6.407240,6.407530,6.390000,6.413580
204回目,5.255170,6.029440,6.184230,5.878220
205回目,5.521960,6.171740,6.183830,5.789160
206回目,5.886860,6.413580,5.878760,5.878220
207回目,6.407240,5.967300,6.324120,5.729350
208回目,5.353110,5.611890,6.146350,6.413580
209回目,6.223840,6.324510,5.790040,6.104720
210回目,5.521960,6.250600,6.761960,6.432250
211回目,6.407240,6.146360,6.274740,6.266750
212回目,5.759190,6.250600,6.456650,6.104720
213回目,5.481240,6.250600,6.456650,5.729350
214回目,5.789670,5.939440,6.618190,6.432250
215回目,5.481240,6.146360,6.618190,6.413580
216回目,5.853220,6.146360,6.618190,5.729350
217回目,5.353110,6.324510,6.413580,6.266750
218回目,5.927680,6.324510,6.171810,6.413580
219回目,5.353110,5.852460,6.413580,6.432250
220回目,5.789670,6.710190,6.618190,6.104720
221回目,5.853220,6.413580,5.789680,6.413580
222回目,5.886860,5.611890,6.361700,6.057270
223回目,5.886860,6.413580,6.183830,6.266750
224回目,5.521960,6.413580,6.680410,6.104720
225回目,5.789670,6.680800,6.413580,6.386470
226回目,5.255170,6.710190,6.836460,5.878220
227回目,5.853220,6.250600,5.968200,6.266750
228回目,5.255170,6.146350,5.967280,6.057270
229回目,6.223840,6.680800,6.456650,6.386470
230回目,5.353110,6.171740,6.324500,6.057270
231回目,5.759190,6.324510,6.782340,5.789160
232回目,6.223840,5.968200,6.618190,6.432250
233回目,5.886860,6.710190,6.570400,6.413580
234回目,5.789670,6.146360,5.522480,6.266750
235回目,5.927680,6.146350,5.789680,6.266750
236回目,5.521960,6.250600,5.521970,5.729350
237回目,5.853220,6.146350,6.183820,6.413580
238回目,5.759190,6.234470,5.790040,6.413580
239回目,5.521960,6.407530,6.413580,5.789160
240回目,5.853220,5.852460,6.066690,6.292510
241回目,5.789670,6.146360,6.730510,6.266750
242回目,5.886860,6.146360,6.570020,6.266750
243回目,5.255170,6.710190,6.618190,5.878220
244回目,5.759190,6.171740,6.390370,5.729350
245回目,5.886860,6.146350,6.750400,6.413580
246回目,5.481240,5.611890,6.183830,6.057270
247回目,5.759190,6.680800,5.881980,6.266750
248回目,5.759190,5.852460,6.324510,5.878220
249回目,5.521960,5.852460,6.317800,6.057270
250回目,5.521960,5.911940,5.789680,6.292510
