Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
52回目,1525090.000000,3841924.000000,3453249.000000,3453892.000000
53回目,1574048.000000,3883654.000000,3475523.000000,3453892.000000
54回目,1533400.000000,3869936.000000,3444255.000000,3457604.000000
55回目,1571804.000000,3841924.000000,3444089.000000,3429462.000000
56回目,1561186.000000,3890410.000000,3473177.000000,3435026.000000
57回目,1571804.000000,3906412.000000,3426873.000000,3423714.000000
58回目,1551596.000000,3869538.000000,3464439.000000,3453892.000000
59回目,1561186.000000,3815996.000000,3421609.000000,3457604.000000
60回目,1561186.000000,3815996.000000,3464439.000000,3442728.000000
61回目,1571804.000000,3866332.000000,3444255.000000,3466688.000000
62回目,1545684.000000,3841924.000000,3472641.000000,3435026.000000
63回目,1525090.000000,3905532.000000,3485081.000000,3430500.000000
64回目,1533400.000000,3866332.000000,3449447.000000,3466688.000000
65回目,1525090.000000,3868464.000000,3433327.000000,3466398.000000
66回目,1561186.000000,3891378.000000,3457183.000000,3466688.000000
67回目,1574048.000000,3881366.000000,3450479.000000,3452936.000000
68回目,1545684.000000,3861456.000000,3457449.000000,3466688.000000
69回目,1533400.000000,3898688.000000,3448483.000000,3457604.000000
70回目,1551596.000000,3869936.000000,3441691.000000,3466398.000000
71回目,1525090.000000,3850096.000000,3421609.000000,3453892.000000
72回目,1533364.000000,3865098.000000,3425015.000000,3466398.000000
73回目,1561528.000000,3895816.000000,3438153.000000,3466398.000000
74回目,1556260.000000,3866332.000000,3482345.000000,3459916.000000
75回目,1561528.000000,3883498.000000,3461811.000000,3423714.000000
76回目,1533400.000000,3891378.000000,3464439.000000,3442728.000000
77回目,1556260.000000,3866332.000000,3465619.000000,3442728.000000
78回目,1533364.000000,3910850.000000,3445349.000000,3429462.000000
79回目,1561528.000000,3830394.000000,3427157.000000,3429462.000000
80回目,1551596.000000,3898688.000000,3461811.000000,3435026.000000
81回目,1533364.000000,3905532.000000,3467801.000000,3435026.000000
82回目,1574048.000000,3898688.000000,3474163.000000,3459916.000000
83回目,1574048.000000,3868464.000000,3444105.000000,3429462.000000
84回目,1533364.000000,3841924.000000,3455127.000000,3466688.000000
85回目,1545684.000000,3890498.000000,3444255.000000,3429462.000000
86回目,1556260.000000,3883654.000000,3482345.000000,3459916.000000
87回目,1545684.000000,3890498.000000,3457449.000000,3466398.000000
88回目,1571804.000000,3881366.000000,3442085.000000,3457604.000000
89回目,1561186.000000,3868464.000000,3421609.000000,3457604.000000
90回目,1533400.000000,3890410.000000,3400635.000000,3435026.000000
91回目,1525090.000000,3890498.000000,3473177.000000,3457604.000000
92回目,1567046.000000,3841924.000000,3419277.000000,3466398.000000
93回目,1561528.000000,3872886.000000,3431115.000000,3423714.000000
94回目,1533400.000000,3868464.000000,3415481.000000,3442728.000000
95回目,1525090.000000,3850096.000000,3406001.000000,3453892.000000
96回目,1571804.000000,3866332.000000,3406001.000000,3453892.000000
97回目,1545684.000000,3865098.000000,3455773.000000,3457604.000000
98回目,1525090.000000,3841924.000000,3421609.000000,3435026.000000
99回目,1561186.000000,3866332.000000,3446713.000000,3423714.000000
100回目,1533364.000000,3905532.000000,3458441.000000,3459916.000000
101回目,1561528.000000,3898688.000000,3441691.000000,3459916.000000
102回目,1574048.000000,3846846.000000,3458331.000000,3453892.000000
103回目,1556260.000000,3880782.000000,3453319.000000,3466398.000000
104回目,1567046.000000,3868464.000000,3444255.000000,3452936.000000
105回目,1525090.000000,3846846.000000,3473177.000000,3453892.000000
106回目,1574048.000000,3850096.000000,3472827.000000,3435026.000000
107回目,1561186.000000,3910850.000000,3438153.000000,3452936.000000
108回目,1556260.000000,3872886.000000,3438153.000000,3442728.000000
109回目,1571804.000000,3905444.000000,3469927.000000,3453892.000000
110回目,1571804.000000,3869936.000000,3473177.000000,3429462.000000
111回目,1551596.000000,3869936.000000,3457449.000000,3442728.000000
112回目,1567046.000000,3866332.000000,3421609.000000,3442728.000000
113回目,1561186.000000,3872886.000000,3447199.000000,3423714.000000
114回目,1551596.000000,3880782.000000,3436671.000000,3423714.000000
115回目,1545684.000000,3872886.000000,3461811.000000,3459916.000000
116回目,1533400.000000,3883654.000000,3473177.000000,3459916.000000
117回目,1574048.000000,3856958.000000,3448663.000000,3466688.000000
118回目,1567046.000000,3869538.000000,3461811.000000,3452936.000000
119回目,1561186.000000,3841924.000000,3453707.000000,3459916.000000
120回目,1574048.000000,3865098.000000,3444255.000000,3442728.000000
121回目,1561186.000000,3881366.000000,3424731.000000,3453892.000000
122回目,1574048.000000,3883654.000000,3444255.000000,3429462.000000
123回目,1533364.000000,3890498.000000,3427157.000000,3423714.000000
124回目,1545684.000000,3905444.000000,3448483.000000,3457604.000000
125回目,1574048.000000,3875464.000000,3429009.000000,3459916.000000
126回目,1533364.000000,3895816.000000,3438153.000000,3430500.000000
127回目,1571804.000000,3846846.000000,3446319.000000,3452936.000000
128回目,1533364.000000,3887920.000000,3448483.000000,3457604.000000
129回目,1574048.000000,3872886.000000,3467559.000000,3442728.000000
130回目,1533400.000000,3850096.000000,3466263.000000,3466398.000000
131回目,1525090.000000,3872886.000000,3429677.000000,3459916.000000
