Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,18.628600,29.347100,2.329550,17.087500
2回目,2.310910,92.623000,16.555300,17.087500
3回目,17.598100,2.537800,2.841890,2.617940
4回目,19.504800,18.108700,2.220790,2.979030
5回目,2.842540,2.247190,2.716000,2.947870
6回目,18.628600,2.831090,3.185470,17.087500
7回目,2.893260,2.246510,2.066450,18.029600
8回目,49.612300,2.260320,17.836100,17.087500
9回目,2.386190,2.359660,2.169950,33.982000
10回目,19.504800,2.224620,2.220790,3.017980
11回目,67.723400,30.811200,2.498340,18.029600
12回目,2.257100,2.817940,17.258700,3.017980
13回目,67.723400,17.214600,2.316040,2.617940
14回目,36.405700,17.616700,17.092100,17.027100
15回目,2.386190,2.260320,2.470970,3.017980
16回目,49.612300,18.108700,2.315300,18.045900
17回目,2.842540,2.224620,2.720890,18.045900
18回目,2.257100,2.260320,2.066450,2.947870
19回目,49.612300,2.817940,2.349290,2.979030
20回目,18.628600,2.736740,2.315300,2.882460
21回目,49.612300,18.108700,2.315300,17.975800
22回目,2.257100,18.108700,2.350540,2.947870
23回目,67.723400,2.740640,3.281000,18.029600
24回目,2.842540,18.108700,2.841570,17.975800
25回目,2.842540,30.811200,2.282430,2.947870
26回目,67.723400,2.740640,16.866600,2.882460
27回目,2.386190,17.616700,2.471740,18.029600
28回目,19.504800,2.247190,2.315300,17.027100
29回目,2.893260,2.359660,16.133200,33.982000
30回目,2.842540,2.740640,2.186030,18.045900
31回目,36.405700,29.347100,16.555300,17.975800
32回目,19.504800,29.347100,2.279750,18.029600
33回目,19.504800,30.811200,2.220790,33.982000
34回目,36.405700,2.252440,17.819800,2.882460
35回目,67.723400,29.347100,3.281000,17.027100
36回目,67.723400,2.252440,2.316040,18.029600
37回目,2.257100,2.817940,17.305600,2.617940
38回目,2.842540,2.831090,16.866600,33.982000
39回目,2.386190,18.108700,2.700630,17.027100
40回目,2.310910,2.359660,2.479710,17.975800
41回目,2.386190,32.775100,3.281000,2.947870
42回目,36.405700,30.811200,2.141360,3.017980
43回目,36.405700,32.775100,2.220790,17.087500
44回目,2.842540,2.246510,2.841890,18.045900
45回目,67.723400,17.214600,2.737580,17.975800
46回目,2.310910,2.831090,2.471740,2.979030
47回目,49.612300,2.817940,16.831200,2.947870
48回目,18.628600,2.252440,2.841890,33.982000
49回目,2.310910,17.214600,31.820200,18.045900
50回目,67.723400,2.817940,17.744800,2.947870
51回目,2.893260,16.920500,17.819800,17.975800
52回目,49.612300,2.224620,17.180300,2.979030
53回目,2.257100,18.108700,3.305170,2.979030
