Memory,GPSR,NGPSR,NPGPSR,NDGPSR
99回目,80608.000000,81596.000000,194256.000000,128324.000000
100回目,80504.000000,81540.000000,194360.000000,128348.000000
101回目,80516.000000,81360.000000,194500.000000,128556.000000
102回目,80768.000000,81532.000000,194736.000000,128368.000000
103回目,80524.000000,81460.000000,194260.000000,128692.000000
104回目,80696.000000,81300.000000,194216.000000,128692.000000
105回目,80448.000000,81304.000000,194364.000000,128592.000000
106回目,80284.000000,81284.000000,194468.000000,128376.000000
107回目,80228.000000,81304.000000,194236.000000,127912.000000
108回目,80636.000000,81564.000000,194384.000000,128468.000000
109回目,80100.000000,81564.000000,194388.000000,128348.000000
110回目,80492.000000,81312.000000,194604.000000,128424.000000
111回目,80664.000000,81168.000000,194604.000000,128556.000000
112回目,80700.000000,81400.000000,194020.000000,128684.000000
113回目,80364.000000,81536.000000,194620.000000,128612.000000
114回目,80912.000000,81340.000000,194364.000000,128420.000000
115回目,80624.000000,81296.000000,194212.000000,128556.000000
116回目,80316.000000,81796.000000,194616.000000,128688.000000
117回目,80300.000000,81788.000000,193980.000000,128508.000000
118回目,80756.000000,81436.000000,194648.000000,128692.000000
119回目,80120.000000,81480.000000,193964.000000,128464.000000
120回目,80752.000000,81676.000000,194268.000000,128508.000000
121回目,80224.000000,81260.000000,193980.000000,128360.000000
122回目,80512.000000,81792.000000,194288.000000,128300.000000
123回目,80640.000000,81748.000000,194416.000000,128484.000000
124回目,80532.000000,81540.000000,194480.000000,128424.000000
125回目,80436.000000,81760.000000,194224.000000,128360.000000
126回目,80576.000000,81436.000000,194504.000000,128300.000000
127回目,80344.000000,81188.000000,194564.000000,128344.000000
128回目,80396.000000,81464.000000,194296.000000,128320.000000
129回目,80612.000000,81252.000000,194124.000000,128348.000000
130回目,80652.000000,81756.000000,194668.000000,128564.000000
131回目,80668.000000,81556.000000,194216.000000,128528.000000
132回目,80652.000000,81440.000000,194468.000000,128692.000000
133回目,80020.000000,81780.000000,194744.000000,128684.000000
134回目,80192.000000,81204.000000,194236.000000,128480.000000
135回目,80464.000000,81540.000000,194380.000000,128712.000000
136回目,80548.000000,81408.000000,194428.000000,128468.000000
137回目,80564.000000,81676.000000,194352.000000,128704.000000
138回目,80108.000000,81436.000000,194640.000000,128324.000000
139回目,80572.000000,81536.000000,194220.000000,128400.000000
140回目,80512.000000,81664.000000,193996.000000,128364.000000
141回目,80156.000000,81620.000000,194392.000000,128516.000000
142回目,80496.000000,81244.000000,194372.000000,128692.000000
143回目,80424.000000,81308.000000,194104.000000,128436.000000
144回目,80432.000000,81388.000000,194396.000000,128680.000000
145回目,80572.000000,81460.000000,194032.000000,128700.000000
146回目,80344.000000,81484.000000,193916.000000,128636.000000
147回目,80600.000000,81216.000000,194252.000000,128404.000000
148回目,80328.000000,81584.000000,194296.000000,128472.000000
149回目,80496.000000,81244.000000,194496.000000,128304.000000
150回目,80132.000000,81184.000000,194292.000000,128596.000000
151回目,80188.000000,81456.000000,194456.000000,128504.000000
152回目,80076.000000,81460.000000,194480.000000,128448.000000
153回目,80504.000000,81272.000000,194560.000000,128544.000000
154回目,79836.000000,81168.000000,194444.000000,128708.000000
