Delay,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,1.892720,2.195100,2.046740,2.197660
134回目,1.892720,5.918640,5.679210,2.019410
135回目,1.927790,2.078280,2.148490,2.170580
136回目,14.528100,2.056070,5.855080,6.010900
137回目,1.892720,2.005920,6.116350,5.808180
138回目,10.061700,5.782670,1.890360,2.019410
139回目,6.277500,13.471700,2.093400,25.047200
140回目,1.927790,2.208080,5.891500,25.047200
141回目,1.899780,2.193650,6.076140,2.130520
142回目,10.061700,5.782670,2.138580,2.170580
143回目,1.899780,9.599750,2.008970,2.170580
144回目,2.061430,2.056070,2.162520,6.080470
145回目,10.346400,2.208080,5.887540,2.170580
146回目,10.296900,5.914070,6.075070,2.170580
147回目,10.346400,2.193650,2.170990,2.159270
148回目,2.061430,5.914070,13.723800,2.170580
149回目,6.277500,6.007170,5.879640,5.905930
150回目,10.346400,6.007170,1.961500,2.130520
151回目,1.892720,5.782670,5.938970,6.080470
152回目,1.927790,6.007170,2.193170,25.047200
153回目,10.256300,2.012110,5.859490,2.019410
154回目,2.061430,13.323300,2.139350,5.808180
155回目,1.899780,5.944990,9.546680,2.197660
156回目,1.927790,13.471700,2.183360,2.197660
157回目,6.277500,2.005920,9.923380,2.197660
158回目,2.061430,13.471700,6.076420,2.159270
159回目,10.256300,2.005920,5.953610,6.010900
160回目,10.256300,2.193650,5.668620,5.808180
161回目,10.061700,2.012110,9.884560,25.047200
162回目,1.892720,5.823920,1.937790,2.019410
163回目,10.256300,2.078280,2.381970,5.808180
164回目,14.528100,2.078280,2.186990,2.197660
165回目,14.528100,2.012110,14.151200,25.047200
166回目,2.061430,2.193650,2.115900,2.019410
167回目,1.927790,13.471700,4.028840,2.139180
168回目,1.927790,2.208080,9.499580,5.808180
169回目,10.256300,2.048040,5.769570,25.047200
170回目,1.899780,2.078280,5.950630,2.159270
171回目,10.346400,9.599750,2.148480,2.159270
172回目,6.277500,5.782670,9.727990,2.130520
173回目,10.061700,9.599750,6.002750,6.010900
174回目,14.528100,2.195100,2.338150,2.159270
175回目,1.892720,6.007170,2.118150,2.130520
176回目,10.256300,2.208080,5.999210,5.905930
177回目,6.277500,9.599750,2.135310,5.808180
178回目,1.899780,5.782670,2.030900,2.130520
179回目,1.892720,2.193650,5.758090,2.197660
180回目,10.061700,2.012110,2.089800,5.905930
181回目,1.892720,2.193650,5.882930,2.159270
182回目,10.659300,2.012110,2.164820,2.139180
183回目,1.892720,5.782670,2.074000,5.905930
184回目,10.061700,2.195100,5.860540,25.047200
185回目,2.061430,2.208080,2.123830,2.139180
186回目,10.296900,2.195100,2.244730,2.159270
187回目,14.528100,6.007170,2.031200,2.139180
188回目,14.528100,13.471700,9.541290,2.130520
189回目,1.899780,2.078280,2.032610,5.808180
190回目,10.659300,2.005920,2.141310,2.170580
191回目,10.346400,5.907670,2.372270,2.159270
192回目,10.346400,9.599750,2.020420,2.170580
193回目,10.659300,2.012110,5.963150,25.047200
194回目,10.296900,2.195100,2.355920,25.047200
195回目,1.892720,2.012110,2.115920,5.905930
196回目,6.277500,2.171800,2.167140,2.197660
197回目,6.277500,2.005920,1.939050,5.808180
198回目,1.927790,5.823920,5.890710,5.808180
199回目,1.892720,5.823920,2.053430,2.170580
200回目,2.061430,2.056070,5.927240,25.047200
201回目,10.296900,13.471700,8.224110,5.905930
202回目,1.899780,6.007170,2.008900,2.019410
203回目,6.277500,5.907670,5.785400,2.159270
204回目,10.256300,6.007170,2.077100,2.019410
205回目,2.061430,13.471700,6.032980,2.019410
206回目,1.927790,9.599750,2.239260,2.159270
207回目,1.927790,20.349100,5.891500,2.170580
208回目,10.296900,2.078280,5.885790,6.010900
209回目,14.528100,2.012110,2.186340,2.197660
210回目,10.296900,2.195100,5.925210,5.808180
211回目,10.346400,6.007170,2.162520,2.197660
212回目,2.061430,5.907670,2.191160,2.197660
213回目,1.899780,2.193650,1.969280,25.047200
214回目,1.927790,5.823920,6.118560,6.080470
215回目,1.927790,5.918640,5.813070,2.130520
216回目,14.528100,2.193650,9.784710,5.808180
217回目,6.277500,2.195100,6.117000,6.080470
218回目,10.061700,9.898510,5.892570,2.130520
219回目,10.296900,9.898510,2.168080,25.047200
220回目,2.061430,9.599750,1.970810,2.130520
221回目,6.277500,5.823920,2.229800,6.010900
222回目,10.061700,2.012110,5.831290,2.130520
223回目,14.528100,2.195100,5.945260,2.139180
224回目,1.892720,2.208080,5.891500,2.159270
225回目,10.296900,2.096730,5.922450,5.905930
226回目,14.528100,5.782670,5.915580,6.010900
227回目,10.256300,9.898510,1.992180,2.130520
228回目,10.061700,13.323300,6.197400,2.159270
229回目,14.528100,2.005920,2.129330,2.170580
