Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5.601640,5.879110,5.790440,5.968200
2回目,5.630310,6.056730,5.939830,6.389800
3回目,5.202710,6.457600,7.026300,5.968130
4回目,5.076950,5.849830,6.342040,6.324510
5回目,5.433240,6.198200,6.146310,5.789520
6回目,5.792000,6.209780,5.819770,6.324510
7回目,5.853180,6.145660,6.342370,5.789520
8回目,5.792000,6.234880,5.968200,5.789520
9回目,5.792000,5.849830,5.878580,6.324510
10回目,5.630310,6.547870,5.967660,5.790050
11回目,5.882050,5.849830,6.240250,5.611380
12回目,5.202710,6.234880,5.850360,6.057210
13回目,5.202710,6.235430,5.344160,5.789520
14回目,5.601640,5.849830,6.116200,5.611380
15回目,5.302080,6.413590,5.967660,5.973720
16回目,5.076950,6.457600,5.344160,5.973720
17回目,5.165880,6.235430,5.522810,5.973720
18回目,5.601640,6.413590,5.344160,6.057210
19回目,5.433240,5.879110,5.967660,5.790050
20回目,5.630310,6.209780,6.146310,6.389800
21回目,5.882050,6.145660,6.146360,5.611380
22回目,5.076950,6.645990,5.967650,6.057210
23回目,5.433240,6.457600,5.878580,5.968130
24回目,5.165880,5.968200,6.076850,6.389800
25回目,5.302080,6.158680,5.911390,6.057210
26回目,5.302080,6.158680,6.145770,5.968130
27回目,5.433240,6.645990,5.879060,5.790050
28回目,5.433240,5.879110,5.700970,5.968200
29回目,5.433240,6.434370,7.026300,5.968130
30回目,5.882050,6.434370,5.879130,6.235440
31回目,5.433240,6.158680,5.967660,6.324510
32回目,5.792000,6.235430,5.967660,5.611380
33回目,5.202710,6.234880,6.275620,5.790050
34回目,5.202710,5.879110,6.323810,6.324510
35回目,5.433240,6.547870,5.967650,5.968130
36回目,5.165880,6.413590,6.145770,5.790050
37回目,5.076950,6.145660,5.700970,5.789520
38回目,5.433240,5.849830,6.116200,6.057210
39回目,5.202710,5.879120,6.120380,5.968130
40回目,5.882050,5.760360,6.184790,5.611380
41回目,5.165880,6.056730,6.146240,6.057210
42回目,5.882050,6.056730,5.967660,5.790050
43回目,5.433240,5.879110,6.039010,6.389800
44回目,5.076950,6.158680,5.669770,5.790050
45回目,5.076950,5.849830,6.104280,5.790050
46回目,5.792000,6.198200,5.939830,5.790050
47回目,5.601640,6.145660,6.198640,5.968130
48回目,5.882050,5.879120,6.769900,5.973720
49回目,5.601640,6.949830,6.158680,6.057210
50回目,5.630310,6.145660,6.413000,5.973720
51回目,5.792000,6.457600,5.967660,5.790050
52回目,5.302080,5.849830,6.066480,5.790050
53回目,5.792000,5.849830,6.197310,6.057210
54回目,5.433240,6.209780,6.146310,6.235440
55回目,5.601640,6.209780,5.945990,6.389800
56回目,5.302080,6.234880,5.878460,6.324510
57回目,5.433240,6.198200,6.076850,5.790050
58回目,5.882050,6.457600,7.026300,5.789520
59回目,5.165880,6.457600,5.878580,5.611380
60回目,5.433240,6.645990,5.878520,5.789520
61回目,5.792000,5.849830,6.146310,5.789520
62回目,5.202710,5.879120,5.945990,5.973720
63回目,5.853180,6.056730,6.145770,5.973720
64回目,5.792000,6.198200,5.789510,5.973720
65回目,5.882050,6.457600,5.790700,5.611380
66回目,5.165880,6.158680,6.116200,5.968130
67回目,5.202710,6.056350,6.146310,5.790050
68回目,5.882050,6.413590,7.026300,5.611380
69回目,5.882050,6.234880,5.945990,5.968200
70回目,5.853180,6.413590,5.700930,5.790050
71回目,5.433240,6.145660,5.945990,5.973720
72回目,5.076950,5.760360,5.611890,5.790050
73回目,5.165880,6.413590,6.116200,6.057210
74回目,5.202710,6.198200,6.382090,5.968200
75回目,5.601640,6.645990,6.057280,5.789520
76回目,5.853180,6.209780,5.344160,5.611380
77回目,5.882050,6.145660,6.680820,5.790050
78回目,5.202710,6.457600,5.967660,6.057210
79回目,5.302080,6.048230,5.789520,6.389800
80回目,5.792000,6.145660,5.878580,5.611380
81回目,5.792000,6.413590,5.344160,5.790050
82回目,5.433240,6.048230,5.910790,5.789520
83回目,5.601640,6.457600,5.879120,5.611380
84回目,5.433240,6.145660,7.026300,6.057210
85回目,5.202710,6.457600,5.700970,5.790050
86回目,5.853180,5.879110,6.171530,6.389800
87回目,5.165880,7.008430,5.967660,6.324510
88回目,5.853180,6.413590,6.104280,6.235440
89回目,5.433240,6.198200,6.235430,5.790050
90回目,5.076950,6.234880,5.789370,6.235440
91回目,5.792000,6.209780,5.967660,5.973720
92回目,5.202710,6.413590,5.967530,5.789520
93回目,5.601640,6.209780,6.116200,5.973720
94回目,5.433240,6.457600,6.432390,5.611380
95回目,5.882050,6.056730,6.076850,6.057210
96回目,5.792000,6.145660,6.116200,5.611380
97回目,5.202710,5.879120,6.104280,5.611380
98回目,5.076950,6.198200,6.502670,5.973720
99回目,5.630310,6.145660,6.145780,5.790050
100回目,5.076950,6.198200,6.480310,5.789520
101回目,5.792000,6.949830,6.057270,5.790050
102回目,5.076950,6.235430,5.911400,5.973720
103回目,5.076950,6.645990,6.413590,6.389800
104回目,5.202710,6.413590,5.878580,6.057210
105回目,5.630310,6.949830,7.026300,6.235440
106回目,5.630310,6.209780,6.146310,6.324510
107回目,5.202710,7.008430,7.026360,6.324510
108回目,5.853180,6.645990,5.850360,5.968200
109回目,5.601640,6.158680,5.790050,5.611380
110回目,5.433240,6.234880,6.145800,5.968130
111回目,5.601640,6.209780,6.591140,5.968130
112回目,5.076950,6.235430,5.878580,5.968130
113回目,5.433240,6.145660,6.146310,5.968130
114回目,5.165880,5.879120,5.945990,5.611380
115回目,5.433240,5.879110,6.116200,5.973720
116回目,5.853180,6.209780,7.026300,6.389800
117回目,5.302080,6.645990,5.790050,6.057210
