Memory,GPSR,NGPSR,NPGPSR,NDGPSR
109回目,83484.000000,84892.000000,246724.000000,152528.000000
110回目,83016.000000,84176.000000,246268.000000,151872.000000
111回目,83824.000000,84544.000000,246412.000000,152528.000000
112回目,83284.000000,84824.000000,246832.000000,152180.000000
113回目,83472.000000,84700.000000,246720.000000,152308.000000
114回目,83600.000000,84640.000000,246496.000000,152136.000000
115回目,83716.000000,84696.000000,246452.000000,152404.000000
116回目,83808.000000,84652.000000,246672.000000,152420.000000
117回目,83796.000000,84844.000000,246696.000000,152676.000000
118回目,83016.000000,84760.000000,246844.000000,152100.000000
119回目,83364.000000,84336.000000,246584.000000,152528.000000
120回目,83956.000000,84404.000000,246376.000000,152228.000000
121回目,83540.000000,84476.000000,246708.000000,152344.000000
122回目,83776.000000,84892.000000,246556.000000,152548.000000
123回目,83312.000000,84352.000000,246764.000000,152548.000000
124回目,83796.000000,84536.000000,246628.000000,152340.000000
125回目,83476.000000,84408.000000,246308.000000,152532.000000
126回目,83600.000000,84532.000000,246788.000000,152548.000000
127回目,83492.000000,84664.000000,246712.000000,152640.000000
128回目,83732.000000,84364.000000,246860.000000,152552.000000
129回目,83552.000000,84776.000000,246572.000000,152432.000000
130回目,83312.000000,84408.000000,246820.000000,152308.000000
131回目,83556.000000,84672.000000,246428.000000,152528.000000
132回目,83272.000000,84468.000000,246920.000000,152552.000000
133回目,83640.000000,84196.000000,246440.000000,152568.000000
134回目,83624.000000,84404.000000,246696.000000,152380.000000
135回目,83652.000000,84872.000000,246480.000000,152376.000000
136回目,83752.000000,84636.000000,246612.000000,152564.000000
137回目,83724.000000,84396.000000,246436.000000,152568.000000
138回目,82992.000000,84880.000000,246656.000000,152548.000000
139回目,83580.000000,84672.000000,246436.000000,152356.000000
140回目,83844.000000,84268.000000,246600.000000,152508.000000
141回目,83808.000000,84376.000000,246352.000000,152344.000000
142回目,83168.000000,84768.000000,246616.000000,152220.000000
143回目,83296.000000,84548.000000,246652.000000,152272.000000
144回目,83800.000000,84772.000000,246716.000000,152660.000000
145回目,83388.000000,84704.000000,246548.000000,152504.000000
146回目,83584.000000,84808.000000,246632.000000,152516.000000
147回目,83576.000000,84336.000000,246724.000000,152264.000000
148回目,83668.000000,84888.000000,246936.000000,152396.000000
149回目,83376.000000,84768.000000,246684.000000,152216.000000
150回目,83444.000000,84688.000000,246192.000000,152536.000000
151回目,83576.000000,84752.000000,246940.000000,152388.000000
152回目,83768.000000,84272.000000,246336.000000,151852.000000
153回目,83568.000000,84300.000000,246724.000000,152548.000000
154回目,83832.000000,84832.000000,246572.000000,151912.000000
155回目,83104.000000,84880.000000,246348.000000,152404.000000
156回目,83604.000000,84676.000000,246424.000000,152628.000000
157回目,83432.000000,84232.000000,246552.000000,152204.000000
158回目,83452.000000,84504.000000,246280.000000,151876.000000
159回目,83428.000000,84544.000000,247012.000000,152352.000000
160回目,83296.000000,84576.000000,246584.000000,152560.000000
161回目,83204.000000,84304.000000,246848.000000,152260.000000
162回目,83020.000000,84344.000000,246708.000000,152532.000000
163回目,83176.000000,84508.000000,246456.000000,152184.000000
164回目,83268.000000,84332.000000,246704.000000,152268.000000
165回目,83124.000000,84620.000000,246264.000000,152432.000000
166回目,83728.000000,84832.000000,246588.000000,152304.000000
167回目,83796.000000,84704.000000,246884.000000,152392.000000
168回目,83772.000000,84608.000000,246324.000000,152028.000000
169回目,83496.000000,84556.000000,246296.000000,152532.000000
170回目,83164.000000,84276.000000,246564.000000,152296.000000
171回目,83648.000000,84760.000000,246864.000000,152260.000000
172回目,83676.000000,84792.000000,246328.000000,152264.000000
173回目,83348.000000,84632.000000,246800.000000,152280.000000
174回目,83436.000000,84840.000000,246752.000000,152544.000000
175回目,83368.000000,84588.000000,246704.000000,152504.000000
176回目,83632.000000,84676.000000,246648.000000,152448.000000
177回目,83252.000000,84516.000000,246596.000000,152532.000000
178回目,83604.000000,84868.000000,246448.000000,152508.000000
179回目,83692.000000,84352.000000,246448.000000,152164.000000
180回目,83808.000000,84364.000000,246404.000000,152096.000000
181回目,83864.000000,84584.000000,246944.000000,152188.000000
182回目,83964.000000,84708.000000,246476.000000,152492.000000
183回目,83788.000000,84528.000000,246568.000000,152120.000000
184回目,83436.000000,84756.000000,246816.000000,152372.000000
185回目,83524.000000,84760.000000,246652.000000,152204.000000
186回目,83488.000000,84692.000000,246748.000000,151840.000000
187回目,83456.000000,84548.000000,246444.000000,152104.000000
188回目,83380.000000,84576.000000,246364.000000,152040.000000
189回目,83556.000000,84420.000000,246516.000000,152180.000000
190回目,83724.000000,84720.000000,246612.000000,152464.000000
191回目,83424.000000,85028.000000,246800.000000,152340.000000
192回目,83304.000000,84384.000000,246768.000000,152396.000000
193回目,83688.000000,84924.000000,246964.000000,152400.000000
194回目,83716.000000,84484.000000,246844.000000,152440.000000
195回目,83788.000000,84600.000000,246664.000000,152308.000000
196回目,83528.000000,84756.000000,246300.000000,152176.000000
197回目,83556.000000,84964.000000,246632.000000,152500.000000
198回目,82988.000000,84836.000000,246808.000000,152216.000000
199回目,83116.000000,84812.000000,246720.000000,152540.000000
200回目,83420.000000,84272.000000,246716.000000,152388.000000
201回目,83708.000000,84540.000000,247080.000000,152672.000000
202回目,83688.000000,84312.000000,246428.000000,152184.000000
203回目,83640.000000,84772.000000,246604.000000,152124.000000
204回目,83248.000000,84616.000000,246332.000000,152616.000000
205回目,83452.000000,84860.000000,246712.000000,152532.000000
206回目,83540.000000,84512.000000,246964.000000,152268.000000
207回目,83844.000000,84908.000000,246840.000000,152612.000000
208回目,83600.000000,84648.000000,246804.000000,152260.000000
209回目,83844.000000,84864.000000,246632.000000,152360.000000
210回目,83712.000000,84664.000000,246832.000000,152548.000000
211回目,83340.000000,84332.000000,246272.000000,152544.000000
212回目,83888.000000,84292.000000,246332.000000,152536.000000
213回目,83848.000000,84672.000000,246716.000000,152352.000000
214回目,83432.000000,84768.000000,246708.000000,152528.000000
215回目,83952.000000,84880.000000,246696.000000,152580.000000
