Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2.711070,2.320250,3.150770,18.326900
2回目,19.496100,17.530500,2.751740,2.442560
3回目,109.270000,17.697300,3.745700,47.435800
4回目,2.241900,2.769240,31.945800,2.501390
5回目,2.419680,18.417100,32.617700,17.968300
6回目,68.299900,32.237500,2.457020,2.501390
7回目,34.131700,3.052790,32.019100,17.968300
8回目,68.299900,2.536790,32.957800,17.968300
9回目,68.299900,2.769240,2.443010,2.501390
10回目,19.496100,17.259700,32.709600,2.784160
11回目,80.538700,2.769240,2.365410,2.293080
12回目,109.270000,16.651700,2.974380,32.339700
13回目,109.270000,2.308710,36.021000,17.968300
14回目,2.711070,2.769240,2.680340,2.293080
15回目,1.963930,2.332160,32.709600,34.325500
16回目,2.241900,17.697300,36.021000,34.325500
17回目,20.298600,2.308710,19.005200,34.325500
18回目,2.711070,2.332160,36.021000,32.339700
19回目,2.419680,2.320250,32.709600,2.784160
20回目,19.496100,32.237500,32.617700,2.442560
21回目,80.538700,3.052790,2.722550,2.293080
22回目,2.241900,16.719900,32.355300,32.339700
23回目,2.419680,17.697300,2.443010,47.435800
24回目,20.298600,17.641600,2.640590,2.442560
25回目,1.963930,17.849700,33.476600,32.339700
26回目,1.963930,17.849700,2.840510,47.435800
27回目,35.593800,16.719900,33.140200,2.784160
28回目,35.593800,2.320250,3.256980,18.326900
29回目,2.419680,3.048540,3.745700,47.435800
30回目,80.538700,3.048540,48.072300,17.090400
31回目,2.419680,17.849700,32.709600,2.501390
32回目,68.299900,2.308710,32.709600,2.293080
33回目,109.270000,2.536790,33.026200,2.784160
34回目,109.270000,2.320250,16.837600,2.501390
35回目,35.593800,17.259700,32.669500,47.435800
36回目,20.298600,2.332160,2.840510,2.784160
37回目,2.241900,3.052790,65.066100,17.968300
38回目,2.419680,2.769240,2.680340,32.339700
39回目,109.270000,2.610160,2.638510,47.435800
40回目,80.538700,2.031860,17.016700,2.293080
41回目,20.298600,17.530500,31.067500,32.339700
42回目,80.538700,17.530500,32.709600,2.784160
43回目,2.419680,2.320250,2.375050,2.442560
44回目,2.241900,17.849700,50.865200,2.647780
45回目,2.241900,2.769240,3.024770,2.784160
46回目,68.299900,18.417100,2.751740,2.647780
47回目,2.711070,3.052790,2.632680,47.435800
48回目,80.538700,2.610160,3.790540,34.325500
49回目,2.711070,16.072900,33.050400,32.339700
50回目,19.496100,3.052790,30.983200,34.325500
51回目,68.299900,17.697300,32.709600,2.647780
52回目,1.963930,2.769240,33.185800,2.784160
53回目,68.299900,2.769240,2.834600,32.339700
54回目,2.419680,32.237500,32.617700,17.090400
55回目,2.711070,32.237500,2.570710,2.442560
56回目,1.963930,2.536790,3.268940,2.501390
57回目,2.419680,18.417100,2.640590,2.647780
58回目,80.538700,17.697300,3.745700,17.968300
59回目,20.298600,17.697300,2.443010,2.293080
60回目,2.419680,16.719900,2.123650,17.968300
61回目,68.299900,2.769240,32.617700,17.968300
62回目,109.270000,2.610160,2.570710,34.325500
63回目,34.131700,17.530500,2.840510,34.325500
64回目,68.299900,18.417100,2.657090,34.325500
65回目,80.538700,17.697300,19.215200,2.293080
66回目,20.298600,17.849700,2.680340,47.435800
67回目,109.270000,2.738240,32.617700,2.784160
68回目,80.538700,2.332160,3.745700,2.293080
69回目,80.538700,2.536790,2.570710,18.326900
70回目,34.131700,2.332160,18.231700,2.647780
71回目,2.419680,3.052790,2.570710,34.325500
72回目,2.241900,2.031860,18.717500,2.647780
73回目,20.298600,2.332160,2.680340,32.339700
74回目,109.270000,18.417100,2.746670,18.326900
75回目,2.711070,16.719900,2.687340,17.968300
76回目,34.131700,32.237500,36.021000,2.293080
77回目,80.538700,3.052790,16.000500,2.784160
78回目,109.270000,17.697300,32.709600,32.339700
79回目,1.963930,2.666990,33.462400,2.442560
80回目,68.299900,3.052790,2.443010,2.293080
81回目,68.299900,2.332160,36.021000,2.647780
82回目,35.593800,2.666990,2.668310,17.968300
83回目,2.711070,17.697300,2.797390,2.293080
84回目,35.593800,3.052790,3.745700,32.339700
85回目,109.270000,17.697300,2.229610,2.647780
86回目,34.131700,2.320250,33.877400,2.442560
87回目,20.298600,2.974280,32.709600,2.501390
88回目,34.131700,2.332160,3.024770,17.090400
89回目,2.419680,18.417100,60.276500,2.647780
90回目,2.241900,16.651700,2.803170,17.090400
91回目,68.299900,32.237500,32.709600,34.325500
92回目,109.270000,2.332160,3.234580,17.968300
93回目,2.711070,32.237500,2.680340,34.325500
94回目,2.419680,17.697300,47.729200,2.293080
95回目,80.538700,17.530500,2.640590,32.339700
96回目,68.299900,3.052790,2.680340,2.293080
97回目,109.270000,2.610160,3.024770,2.293080
98回目,2.241900,18.417100,3.054190,34.325500
99回目,19.496100,3.052790,2.672730,2.647780
100回目,2.241900,18.417100,3.391040,17.968300
101回目,68.299900,16.072900,32.295300,2.647780
102回目,2.241900,2.308710,18.493300,34.325500
103回目,2.241900,16.719900,16.215900,2.442560
104回目,109.270000,2.332160,2.443010,32.339700
105回目,19.496100,16.072900,3.745700,17.090400
106回目,19.496100,32.237500,32.617700,2.501390
107回目,109.270000,2.974280,3.893220,2.501390
108回目,34.131700,16.719900,2.387880,18.326900
109回目,2.711070,17.849700,2.557450,2.293080
110回目,2.419680,16.651700,2.933030,47.435800
111回目,2.711070,32.237500,3.406210,47.435800
112回目,2.241900,2.308710,2.443010,47.435800
113回目,35.593800,3.052790,32.617700,47.435800
114回目,20.298600,2.610160,2.570710,2.293080
115回目,2.419680,2.320250,2.680340,34.325500
116回目,34.131700,32.237500,3.745700,2.442560
117回目,1.963930,16.719900,2.162980,32.339700
118回目,2.419680,2.320250,2.680340,2.647780
119回目,80.538700,2.320250,2.466950,47.435800
120回目,68.299900,2.769240,32.617700,32.339700
121回目,2.711070,16.719900,2.640590,2.501390
122回目,68.299900,2.769240,2.640590,2.442560
123回目,2.419680,2.332160,2.749550,18.326900
124回目,109.270000,2.332160,3.745700,17.090400
125回目,1.963930,2.320250,2.840510,2.647780
126回目,2.711070,32.237500,3.065830,2.784160
127回目,20.298600,2.666990,2.684130,2.784160
128回目,2.711070,2.320250,91.619900,17.968300
129回目,2.241900,17.849700,2.173160,47.435800
130回目,2.241900,2.031860,2.640590,2.442560
131回目,109.270000,17.849700,67.677200,2.501390
132回目,80.538700,32.237500,32.617700,18.326900
133回目,34.131700,16.719900,3.024770,2.501390
134回目,2.711070,3.048540,32.709600,2.784160
135回目,34.131700,2.332160,3.745700,2.647780
136回目,2.241900,2.666990,52.242700,32.339700
137回目,2.419680,2.031860,46.162200,32.339700
138回目,2.241900,16.719900,32.541400,18.326900
139回目,80.538700,3.052790,32.738300,47.435800
140回目,34.131700,3.052790,2.266720,34.325500
141回目,109.270000,17.697300,3.406210,17.090400
142回目,20.298600,17.849700,2.840510,2.647780
143回目,2.419680,3.048540,31.933900,47.435800
144回目,34.131700,3.052790,18.717500,34.325500
