Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,29.591800,28.571400,28.866000,23.469400
2回目,30.612200,23.469400,28.866000,21.649500
3回目,34.693900,22.449000,17.346900,27.551000
4回目,35.714300,26.804100,25.510200,23.469400
5回目,28.571400,25.510200,22.449000,25.510200
6回目,29.591800,22.449000,25.510200,23.469400
7回目,28.571400,22.449000,23.469400,25.510200
8回目,29.591800,22.449000,23.469400,25.510200
9回目,29.591800,26.804100,25.510200,23.469400
10回目,30.612200,20.408200,25.510200,27.551000
11回目,25.510200,26.804100,26.530600,27.551000
12回目,34.693900,22.449000,27.835100,27.551000
13回目,34.693900,23.469400,29.591800,25.510200
14回目,29.591800,26.804100,25.510200,27.551000
15回目,36.082500,23.469400,25.510200,25.510200
16回目,35.714300,22.449000,29.591800,25.510200
17回目,33.673500,23.469400,32.653100,25.510200
18回目,29.591800,23.469400,29.591800,27.551000
19回目,28.571400,28.571400,25.510200,27.551000
20回目,30.612200,22.449000,22.449000,21.649500
21回目,25.510200,22.449000,23.469400,27.551000
22回目,35.714300,21.428600,24.489800,27.551000
23回目,28.571400,22.449000,25.510200,27.551000
24回目,33.673500,25.510200,26.530600,21.649500
25回目,36.082500,24.489800,25.510200,27.551000
26回目,36.082500,24.489800,24.489800,27.551000
27回目,30.612200,21.428600,29.591800,27.551000
28回目,30.612200,28.571400,26.530600,23.469400
29回目,28.571400,24.489800,17.346900,27.551000
30回目,25.510200,24.489800,24.489800,25.510200
31回目,28.571400,24.489800,25.510200,23.469400
32回目,29.591800,23.469400,25.510200,27.551000
33回目,34.693900,22.449000,22.449000,27.551000
34回目,34.693900,28.571400,21.428600,23.469400
35回目,30.612200,20.408200,24.489800,27.551000
36回目,33.673500,23.469400,24.489800,27.551000
37回目,35.714300,22.449000,27.551000,25.510200
38回目,28.571400,26.804100,25.510200,27.551000
39回目,34.693900,27.551000,24.489800,27.551000
40回目,25.510200,27.835100,23.469400,27.551000
41回目,33.673500,23.469400,22.449000,27.551000
42回目,25.510200,23.469400,25.510200,27.551000
43回目,28.571400,28.571400,27.551000,21.649500
44回目,35.714300,24.489800,29.591800,29.591800
45回目,35.714300,26.804100,25.773200,27.551000
46回目,29.591800,25.510200,28.866000,29.591800
47回目,29.591800,22.449000,26.804100,27.551000
48回目,25.510200,27.551000,17.346900,25.510200
49回目,29.591800,16.326500,22.449000,27.551000
50回目,30.612200,22.449000,22.449000,25.510200
51回目,29.591800,22.449000,25.510200,29.591800
52回目,36.082500,26.804100,25.510200,27.551000
53回目,29.591800,26.804100,25.510200,27.551000
54回目,28.571400,22.449000,22.449000,25.510200
55回目,29.591800,22.449000,29.591800,21.649500
56回目,36.082500,22.449000,26.530600,23.469400
57回目,28.571400,25.510200,26.530600,29.591800
58回目,25.510200,22.449000,17.346900,25.510200
59回目,33.673500,22.449000,25.510200,27.551000
60回目,28.571400,21.428600,24.489800,25.510200
61回目,29.591800,26.804100,22.449000,25.510200
62回目,34.693900,27.551000,29.591800,25.510200
63回目,28.571400,23.469400,24.489800,25.510200
64回目,29.591800,25.510200,26.530600,25.510200
65回目,25.510200,22.449000,30.612200,27.551000
66回目,33.673500,24.489800,25.510200,27.551000
67回目,34.693900,24.489800,22.449000,27.551000
68回目,25.510200,23.469400,17.346900,27.551000
69回目,25.510200,22.449000,29.591800,23.469400
70回目,28.571400,23.469400,30.612200,29.591800
71回目,28.571400,22.449000,29.591800,25.510200
72回目,35.714300,27.835100,31.632700,29.591800
73回目,33.673500,23.469400,25.510200,27.551000
74回目,34.693900,25.510200,24.489800,23.469400
75回目,29.591800,21.428600,27.551000,25.510200
76回目,28.571400,22.449000,29.591800,27.551000
77回目,25.510200,22.449000,19.387800,27.551000
78回目,34.693900,22.449000,25.510200,27.551000
79回目,36.082500,27.551000,28.571400,21.649500
80回目,29.591800,22.449000,25.510200,27.551000
81回目,29.591800,23.469400,29.591800,29.591800
82回目,30.612200,27.551000,26.530600,25.510200
83回目,29.591800,22.449000,28.571400,27.551000
84回目,30.612200,22.449000,17.346900,27.551000
85回目,34.693900,22.449000,28.571400,29.591800
86回目,28.571400,28.571400,26.530600,21.649500
87回目,33.673500,16.326500,25.510200,23.469400
88回目,28.571400,23.469400,25.773200,25.510200
89回目,28.571400,25.510200,24.489800,29.591800
90回目,35.714300,22.449000,26.530600,25.510200
91回目,29.591800,22.449000,25.510200,25.510200
92回目,34.693900,23.469400,23.469400,25.510200
93回目,29.591800,22.449000,25.510200,25.510200
94回目,28.571400,22.449000,23.469400,27.551000
95回目,25.510200,23.469400,26.530600,27.551000
96回目,29.591800,22.449000,25.510200,27.551000
97回目,34.693900,27.551000,25.773200,27.551000
98回目,35.714300,25.510200,21.428600,25.510200
99回目,30.612200,22.449000,23.469400,29.591800
100回目,35.714300,25.510200,23.711300,25.510200
101回目,29.591800,16.326500,23.469400,29.591800
102回目,35.714300,23.469400,24.489800,25.510200
103回目,35.714300,21.428600,20.408200,21.649500
104回目,34.693900,23.469400,25.510200,27.551000
105回目,30.612200,16.326500,17.346900,25.510200
106回目,30.612200,22.449000,22.449000,23.469400
107回目,34.693900,16.326500,17.346900,23.469400
108回目,28.571400,21.428600,26.804100,23.469400
109回目,29.591800,24.489800,27.551000,27.551000
110回目,28.571400,22.449000,20.408200,27.551000
111回目,29.591800,22.449000,21.428600,27.551000
112回目,35.714300,23.469400,25.510200,27.551000
113回目,30.612200,22.449000,22.449000,27.551000
114回目,33.673500,27.551000,29.591800,27.551000
115回目,28.571400,28.571400,25.510200,25.510200
116回目,28.571400,22.449000,17.346900,21.649500
117回目,36.082500,21.428600,27.551000,27.551000
118回目,28.571400,28.571400,25.510200,29.591800
119回目,25.510200,28.571400,25.510200,27.551000
120回目,29.591800,26.804100,22.449000,27.551000
121回目,29.591800,21.428600,26.530600,23.469400
122回目,29.591800,26.804100,26.530600,21.649500
123回目,28.571400,23.469400,26.530600,23.469400
124回目,34.693900,23.469400,17.346900,25.510200
125回目,36.082500,28.571400,24.489800,29.591800
126回目,29.591800,22.449000,27.551000,27.551000
127回目,33.673500,27.551000,24.489800,27.551000
128回目,29.591800,28.571400,27.551000,25.510200
129回目,35.714300,24.489800,25.510200,27.551000
130回目,35.714300,27.835100,26.530600,21.649500
131回目,34.693900,24.489800,30.612200,23.469400
132回目,25.510200,22.449000,22.449000,23.469400
