SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,94.128900,572.812000,395.657000,178.648000
134回目,95.565000,577.798000,393.103000,179.577000
135回目,95.559300,583.242000,391.715000,179.205000
136回目,95.472200,582.870000,394.030000,179.833000
137回目,94.874600,589.301000,393.713000,180.548000
138回目,94.252400,580.570000,394.367000,179.806000
139回目,96.150900,580.334000,395.214000,178.466000
140回目,99.175300,589.095000,390.912000,181.598000
141回目,95.855400,581.833000,392.874000,179.963000
142回目,95.323100,580.264000,395.124000,178.788000
143回目,95.279500,583.587000,395.005000,177.825000
144回目,96.587400,582.551000,392.565000,179.042000
145回目,95.322800,577.010000,393.985000,179.437000
146回目,94.010600,574.367000,392.017000,179.645000
147回目,95.936900,581.685000,391.605000,178.444000
148回目,94.881200,585.607000,395.080000,179.649000
149回目,95.004300,577.706000,394.076000,179.037000
150回目,94.003900,571.657000,391.160000,179.954000
151回目,93.105600,580.356000,390.843000,180.689000
152回目,97.903100,579.695000,393.944000,177.043000
153回目,95.832400,576.661000,394.440000,178.523000
154回目,94.909200,583.801000,396.953000,179.423000
155回目,95.078900,578.653000,391.935000,177.790000
156回目,94.640500,580.412000,393.390000,179.743000
157回目,99.221400,574.749000,392.325000,177.797000
158回目,98.478500,577.374000,391.257000,180.364000
159回目,95.745600,581.028000,393.022000,177.859000
160回目,95.780300,581.641000,394.929000,180.124000
161回目,95.498900,581.742000,394.017000,179.304000
162回目,95.187300,579.193000,395.756000,179.114000
163回目,95.474500,579.942000,392.520000,176.594000
164回目,93.903200,574.237000,393.356000,179.582000
165回目,93.873300,578.535000,391.529000,179.636000
166回目,95.888100,578.244000,393.071000,178.128000
167回目,94.542100,590.935000,392.442000,177.154000
168回目,93.744100,586.358000,394.005000,179.792000
169回目,95.442700,571.604000,393.588000,178.981000
170回目,94.118500,576.660000,395.841000,179.210000
171回目,96.364200,573.558000,394.579000,178.057000
172回目,94.637800,582.594000,394.110000,178.342000
173回目,95.196400,581.646000,392.704000,180.272000
174回目,96.212500,580.912000,394.182000,178.759000
175回目,96.087200,584.493000,396.256000,180.218000
176回目,95.704900,580.547000,392.339000,180.381000
177回目,94.202700,574.203000,393.086000,179.587000
178回目,95.376900,579.569000,393.023000,180.588000
179回目,95.759100,578.441000,395.279000,179.417000
180回目,96.197300,574.483000,393.256000,178.418000
181回目,95.820500,578.310000,393.178000,177.683000
182回目,94.999300,581.638000,391.922000,179.747000
183回目,96.584700,586.870000,393.044000,178.427000
184回目,94.535800,582.950000,395.805000,178.408000
185回目,98.190000,575.587000,393.657000,178.050000
186回目,94.761800,577.482000,392.955000,179.276000
187回目,94.640500,577.883000,393.092000,176.914000
188回目,95.642700,579.137000,391.276000,180.134000
189回目,95.879700,580.609000,393.794000,178.343000
190回目,94.769200,578.317000,391.365000,179.860000
191回目,95.779100,588.322000,394.724000,178.209000
192回目,95.692900,581.022000,392.336000,178.286000
193回目,95.748200,582.712000,391.170000,178.467000
194回目,94.441900,581.626000,393.940000,180.070000
195回目,96.741000,578.344000,392.829000,180.011000
196回目,96.059400,578.115000,393.488000,178.862000
197回目,95.382600,583.592000,392.131000,178.779000
198回目,95.350400,582.458000,393.145000,179.481000
199回目,94.303000,575.292000,392.602000,179.684000
200回目,95.288800,579.683000,393.299000,178.947000
201回目,95.122700,584.878000,391.703000,180.386000
202回目,96.171300,579.277000,395.431000,177.572000
