PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,60.204100,67.346900,64.948500,68.367300
2回目,59.183700,69.387800,68.041200,73.195900
3回目,57.142900,72.449000,75.510200,68.367300
4回目,58.163300,67.010300,70.408200,72.449000
5回目,62.244900,67.346900,70.408200,66.326500
6回目,62.244900,70.408200,65.306100,72.449000
7回目,64.285700,70.408200,70.408200,66.326500
8回目,62.244900,71.428600,68.367300,66.326500
9回目,62.244900,67.010300,67.346900,72.449000
10回目,59.183700,73.469400,68.367300,66.326500
11回目,65.306100,67.010300,66.326500,64.285700
12回目,57.142900,71.428600,67.010300,69.387800
13回目,57.142900,71.428600,61.224500,66.326500
14回目,60.204100,67.010300,64.285700,64.285700
15回目,55.670100,73.469400,68.367300,66.326500
16回目,58.163300,72.449000,61.224500,66.326500
17回目,59.183700,71.428600,63.265300,66.326500
18回目,60.204100,73.469400,61.224500,69.387800
19回目,62.244900,67.346900,68.367300,66.326500
20回目,59.183700,70.408200,70.408200,73.195900
21回目,65.306100,70.408200,70.408200,64.285700
22回目,58.163300,71.428600,68.367300,69.387800
23回目,62.244900,72.449000,67.346900,68.367300
24回目,59.183700,68.367300,65.306100,73.195900
25回目,55.670100,68.367300,66.326500,69.387800
26回目,55.670100,68.367300,70.408200,68.367300
27回目,62.244900,71.428600,67.346900,66.326500
28回目,62.244900,67.346900,65.306100,68.367300
29回目,62.244900,71.428600,75.510200,68.367300
30回目,65.306100,71.428600,67.346900,71.428600
31回目,62.244900,68.367300,68.367300,72.449000
32回目,62.244900,71.428600,68.367300,64.285700
33回目,57.142900,71.428600,70.408200,66.326500
34回目,57.142900,67.346900,72.449000,72.449000
35回目,62.244900,73.469400,68.367300,68.367300
36回目,59.183700,73.469400,70.408200,66.326500
37回目,58.163300,70.408200,65.306100,66.326500
38回目,62.244900,67.010300,64.285700,69.387800
39回目,57.142900,67.346900,69.387800,68.367300
40回目,65.306100,65.979400,69.387800,64.285700
41回目,59.183700,69.387800,70.408200,69.387800
42回目,65.306100,69.387800,68.367300,66.326500
43回目,62.244900,67.346900,66.326500,73.195900
44回目,58.163300,68.367300,64.285700,66.326500
45回目,58.163300,67.010300,67.010300,66.326500
46回目,62.244900,67.346900,68.041200,66.326500
47回目,60.204100,70.408200,68.041200,68.367300
48回目,65.306100,67.346900,77.551000,66.326500
49回目,60.204100,75.510200,68.367300,69.387800
50回目,59.183700,70.408200,73.469400,66.326500
51回目,62.244900,72.449000,68.367300,66.326500
52回目,55.670100,67.010300,67.346900,66.326500
53回目,62.244900,67.010300,67.346900,69.387800
54回目,62.244900,70.408200,70.408200,71.428600
55回目,60.204100,70.408200,65.306100,73.195900
56回目,55.670100,71.428600,67.346900,72.449000
57回目,62.244900,67.346900,65.306100,66.326500
58回目,65.306100,72.449000,75.510200,66.326500
59回目,59.183700,72.449000,67.346900,64.285700
60回目,62.244900,71.428600,67.346900,66.326500
61回目,62.244900,67.010300,70.408200,66.326500
62回目,57.142900,67.346900,65.306100,66.326500
63回目,64.285700,69.387800,70.408200,66.326500
64回目,62.244900,67.346900,66.326500,66.326500
65回目,65.306100,72.449000,62.244900,64.285700
66回目,59.183700,68.367300,64.285700,68.367300
67回目,57.142900,69.387800,70.408200,66.326500
68回目,65.306100,73.469400,75.510200,64.285700
69回目,65.306100,71.428600,65.306100,68.367300
70回目,64.285700,73.469400,65.306100,66.326500
71回目,62.244900,70.408200,65.306100,66.326500
72回目,58.163300,65.979400,64.285700,66.326500
73回目,59.183700,73.469400,64.285700,69.387800
74回目,57.142900,67.346900,66.326500,68.367300
75回目,60.204100,71.428600,69.387800,66.326500
76回目,64.285700,70.408200,61.224500,64.285700
