Loss,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,26.530600,20.408200,24.489800,25.510200
134回目,25.510200,23.469400,24.489800,22.449000
135回目,26.530600,25.510200,24.489800,22.449000
136回目,25.510200,27.551000,25.510200,23.469400
137回目,25.510200,23.469400,22.680400,23.469400
138回目,26.530600,20.408200,28.571400,22.449000
139回目,28.571400,23.469400,22.449000,23.469400
140回目,25.510200,22.680400,22.449000,21.428600
141回目,26.530600,22.680400,22.449000,22.449000
142回目,27.551000,23.469400,23.469400,21.428600
143回目,26.530600,23.469400,23.469400,24.489800
144回目,26.530600,20.408200,25.510200,21.428600
145回目,27.835100,20.408200,24.742300,24.489800
146回目,25.510200,21.428600,28.571400,24.489800
147回目,25.510200,23.469400,22.449000,18.556700
148回目,25.510200,20.408200,23.469400,23.469400
149回目,26.530600,19.387800,21.428600,21.428600
150回目,28.571400,23.469400,23.469400,23.469400
151回目,26.530600,24.489800,29.591800,24.489800
152回目,25.510200,22.449000,24.489800,25.510200
153回目,27.551000,21.428600,24.489800,18.556700
154回目,27.835100,24.489800,22.449000,18.556700
155回目,25.510200,25.510200,24.489800,21.428600
156回目,27.551000,24.489800,24.489800,21.428600
157回目,26.530600,19.387800,22.680400,21.428600
158回目,29.591800,21.428600,24.489800,21.428600
159回目,27.835100,24.489800,20.408200,25.510200
160回目,28.571400,24.489800,28.571400,23.469400
161回目,27.835100,20.408200,21.428600,21.428600
162回目,25.510200,22.449000,25.510200,21.428600
163回目,25.510200,23.469400,21.428600,23.469400
164回目,26.530600,23.469400,25.510200,18.556700
165回目,26.530600,21.428600,24.742300,24.489800
166回目,26.530600,24.489800,24.489800,25.510200
167回目,27.551000,25.510200,24.489800,23.469400
168回目,29.591800,23.469400,24.489800,21.428600
169回目,25.510200,20.408200,27.551000,25.510200
170回目,29.591800,20.408200,23.469400,23.469400
171回目,28.571400,23.469400,22.680400,21.428600
172回目,29.591800,20.408200,27.551000,23.469400
173回目,29.591800,24.489800,21.428600,22.449000
174回目,26.530600,16.326500,24.489800,23.469400
175回目,26.530600,23.469400,21.428600,24.489800
176回目,29.591800,25.510200,20.408200,21.428600
177回目,27.835100,22.449000,23.469400,24.489800
178回目,25.510200,22.449000,27.551000,22.449000
179回目,26.530600,20.408200,24.489800,25.510200
180回目,26.530600,21.428600,21.428600,18.556700
181回目,29.591800,20.408200,26.530600,21.428600
182回目,29.591800,21.428600,20.408200,24.489800
183回目,25.510200,24.489800,21.428600,24.489800
184回目,26.530600,22.449000,24.489800,22.449000
185回目,26.530600,25.510200,21.428600,22.449000
186回目,25.510200,23.469400,24.489800,21.428600
187回目,26.530600,24.489800,22.449000,21.428600
188回目,27.551000,22.680400,21.428600,18.556700
189回目,29.591800,20.408200,21.428600,21.428600
190回目,26.530600,23.469400,27.551000,24.489800
191回目,27.551000,22.449000,20.408200,18.556700
192回目,25.510200,21.428600,21.428600,21.428600
193回目,26.530600,22.680400,22.449000,18.556700
194回目,29.591800,22.680400,21.428600,23.469400
195回目,28.571400,20.408200,23.469400,21.428600
196回目,28.571400,24.489800,20.408200,21.428600
197回目,25.510200,22.449000,24.489800,22.449000
198回目,27.551000,22.680400,24.489800,23.469400
199回目,25.510200,24.489800,25.510200,23.469400
200回目,26.530600,20.408200,24.489800,22.449000
201回目,28.571400,23.469400,21.428600,24.489800
202回目,27.835100,23.469400,19.387800,18.556700
203回目,27.835100,19.387800,26.530600,21.428600
204回目,25.510200,25.510200,21.428600,24.489800
205回目,29.591800,25.510200,21.428600,21.428600
206回目,25.510200,21.428600,28.571400,24.489800
207回目,25.510200,21.428600,28.571400,23.469400
208回目,29.591800,22.680400,21.428600,23.469400
209回目,25.510200,20.408200,28.571400,22.449000
210回目,25.510200,20.408200,21.428600,18.556700
211回目,26.530600,24.489800,24.489800,21.428600
212回目,25.510200,20.408200,22.449000,18.556700
213回目,26.530600,27.551000,21.428600,25.510200
214回目,29.591800,23.469400,25.510200,21.428600
215回目,29.591800,23.469400,25.510200,23.469400
216回目,29.591800,19.387800,22.449000,22.449000
217回目,29.591800,21.428600,20.408200,22.449000
218回目,26.530600,23.469400,28.571400,23.469400
219回目,26.530600,24.489800,20.408200,24.489800
220回目,25.510200,23.469400,21.428600,21.428600
221回目,26.530600,20.408200,20.408200,22.449000
222回目,27.551000,23.469400,22.449000,22.449000
223回目,27.835100,19.387800,22.449000,24.489800
224回目,27.551000,20.408200,23.469400,21.428600
225回目,27.551000,22.680400,24.489800,21.428600
226回目,25.510200,21.428600,25.773200,21.428600
227回目,25.510200,22.680400,24.489800,24.489800
228回目,25.510200,23.469400,21.428600,21.428600
229回目,27.551000,24.489800,21.428600,23.469400
230回目,28.571400,21.428600,24.489800,21.428600
231回目,29.591800,20.408200,24.489800,21.428600
232回目,26.530600,20.408200,21.428600,23.469400
233回目,27.551000,16.326500,20.408200,21.428600
234回目,27.835100,21.428600,21.428600,18.556700
235回目,26.530600,20.408200,24.489800,18.556700
236回目,28.571400,23.469400,20.408200,25.510200
237回目,25.510200,20.408200,21.428600,22.449000
238回目,25.510200,20.408200,25.510200,24.489800
239回目,29.591800,22.449000,21.428600,24.489800
240回目,27.835100,22.449000,22.449000,23.469400
241回目,29.591800,20.408200,28.571400,23.469400
242回目,25.510200,22.680400,22.449000,23.469400
243回目,28.571400,16.326500,26.530600,21.428600
244回目,26.530600,24.489800,21.428600,24.489800
245回目,26.530600,20.408200,27.835100,18.556700
246回目,25.510200,21.428600,21.428600,22.449000
247回目,27.835100,21.428600,25.510200,22.449000
248回目,26.530600,22.449000,21.428600,21.428600
249回目,25.510200,24.489800,21.428600,23.469400
250回目,29.591800,24.489800,29.896900,24.489800
