PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,67.481400,76.836900,73.579400,72.593600
2回目,70.443300,71.241600,71.678500,76.645200
3回目,64.285700,73.837300,75.371500,72.593600
4回目,69.387800,76.836900,69.491600,74.526900
5回目,69.387800,73.837300,75.371500,74.713100
6回目,64.285700,69.595800,68.709700,74.713100
7回目,67.481400,73.579400,70.689900,74.601300
8回目,67.010300,74.638500,75.547800,74.526900
9回目,67.346900,75.661000,73.579400,74.750500
10回目,69.387800,73.542700,74.601300,72.593600
11回目,70.443300,69.595800,71.571200,74.750500
12回目,70.443300,73.542700,72.811700,74.601300
13回目,67.481400,72.848200,73.579400,73.689700
14回目,67.481400,73.579400,73.579400,74.564100
15回目,60.204100,75.623200,72.420100,74.564100
16回目,64.285700,74.638500,73.579400,74.601300
17回目,69.387800,76.836900,77.861400,77.319600
18回目,60.204100,74.638500,73.616100,74.750500
19回目,67.481400,74.638500,75.547800,73.689700
20回目,69.422300,74.638500,77.861400,72.593600
21回目,69.387800,74.638500,72.593600,74.750500
22回目,60.204100,76.836900,74.601300,73.689700
23回目,69.422300,74.638500,74.787900,73.689700
24回目,70.443300,73.579400,74.675800,70.513600
25回目,67.010300,75.661000,74.825300,76.645200
26回目,70.443300,71.241600,75.698800,72.593600
27回目,67.010300,75.623200,74.564100,76.645200
28回目,60.204100,75.623200,73.506000,76.645200
29回目,70.443300,74.638500,69.526300,74.713100
30回目,64.285700,72.629900,71.678500,74.601300
31回目,70.443300,74.638500,75.547800,72.593600
32回目,69.422300,72.848200,69.526300,70.513600
33回目,69.387800,77.783500,73.800300,74.564100
34回目,69.387800,73.579400,71.678500,70.513600
35回目,71.499800,73.837300,73.689700,74.713100
36回目,64.285700,76.836900,74.675800,74.601300
37回目,60.204100,73.542700,73.726500,76.645200
38回目,67.346900,73.579400,70.513600,74.750500
39回目,60.204100,73.837300,74.564100,72.593600
40回目,67.346900,75.623200,76.683400,73.689700
41回目,67.346900,74.638500,69.526300,74.601300
42回目,70.443300,74.638500,72.666200,73.689700
43回目,60.204100,73.911300,75.371500,76.645200
44回目,70.443300,79.830500,74.564100,73.689700
45回目,67.010300,74.414100,74.564100,76.645200
46回目,67.380500,74.638500,74.564100,73.689700
47回目,67.481400,75.623200,70.619300,77.319600
48回目,70.443300,77.783500,71.678500,76.645200
49回目,64.285700,77.783500,68.503900,70.513600
50回目,71.499800,77.783500,75.547800,70.513600
51回目,67.010300,73.542700,74.825300,73.689700
52回目,67.481400,76.760100,75.547800,73.689700
53回目,67.380500,74.638500,72.593600,73.689700
54回目,67.380500,76.836900,74.526900,76.645200
55回目,69.387800,71.678500,69.526300,76.645200
56回目,64.285700,71.241600,77.861400,73.689700
57回目,69.422300,75.623200,70.408200,74.713100
58回目,67.346900,71.241600,67.515100,74.526900
59回目,64.285700,74.414100,73.579400,72.593600
60回目,69.387800,74.638500,74.526900,74.564100
61回目,67.010300,72.557400,75.547800,74.713100
62回目,69.422300,76.836900,66.658600,74.564100
63回目,64.285700,73.837300,74.526900,74.601300
64回目,60.204100,72.629900,76.645200,72.593600
65回目,67.010300,72.629900,74.526900,70.513600
66回目,67.346900,69.595800,71.678500,74.713100
67回目,69.387800,74.638500,72.593600,74.601300
68回目,67.010300,74.638500,68.178500,73.689700
69回目,71.499800,73.911300,73.689700,74.526900
70回目,67.481400,73.542700,74.526900,72.593600
