HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1.621210,1.720000,1.722220,1.690140
2回目,1.623190,1.579710,1.585710,1.706670
3回目,1.603170,1.694440,1.589040,1.690140
4回目,1.632350,1.720000,1.573530,1.657530
5回目,1.632350,1.694440,1.589040,1.671230
6回目,1.603170,1.617650,1.611940,1.671230
7回目,1.621210,1.680560,1.579710,1.643840
8回目,1.584620,1.671230,1.608110,1.657530
9回目,1.651520,1.702700,1.625000,1.671230
10回目,1.617650,1.666670,1.698630,1.690140
11回目,1.623190,1.617650,1.614290,1.671230
12回目,1.623190,1.666670,1.704230,1.643840
13回目,1.621210,1.690140,1.694440,1.652780
14回目,1.621210,1.680560,1.625000,1.684930
15回目,1.525420,1.675680,1.614290,1.684930
16回目,1.603170,1.684930,1.625000,1.643840
17回目,1.617650,1.720000,1.736840,1.680000
18回目,1.525420,1.684930,1.680560,1.671230
19回目,1.621210,1.684930,1.608110,1.652780
20回目,1.632350,1.671230,1.736840,1.690140
21回目,1.632350,1.684930,1.661970,1.671230
22回目,1.525420,1.720000,1.698630,1.680560
23回目,1.632350,1.671230,1.684930,1.652780
24回目,1.623190,1.680560,1.643840,1.681160
25回目,1.584620,1.702700,1.712330,1.706670
26回目,1.623190,1.579710,1.729730,1.690140
27回目,1.584620,1.675680,1.712330,1.706670
28回目,1.525420,1.675680,1.666670,1.706670
29回目,1.623190,1.671230,1.602940,1.671230
30回目,1.603170,1.633800,1.585710,1.643840
31回目,1.623190,1.684930,1.608110,1.690140
32回目,1.632350,1.690140,1.602940,1.681160
33回目,1.632350,1.657890,1.680560,1.684930
34回目,1.617650,1.680560,1.585710,1.681160
35回目,1.628570,1.694440,1.694440,1.671230
36回目,1.603170,1.720000,1.712330,1.643840
37回目,1.525420,1.666670,1.666670,1.706670
38回目,1.651520,1.680560,1.623190,1.671230
39回目,1.525420,1.694440,1.712330,1.690140
40回目,1.651520,1.675680,1.706670,1.680560
41回目,1.651520,1.671230,1.602940,1.643840
42回目,1.623190,1.671230,1.661970,1.680560
43回目,1.525420,1.708330,1.589040,1.706670
44回目,1.623190,1.666670,1.712330,1.652780
45回目,1.584620,1.638890,1.712330,1.706670
46回目,1.590910,1.671230,1.712330,1.652780
47回目,1.621210,1.675680,1.695650,1.680000
48回目,1.623190,1.657890,1.585710,1.706670
49回目,1.603170,1.657890,1.552240,1.681160
50回目,1.628570,1.657890,1.608110,1.681160
51回目,1.584620,1.666670,1.712330,1.680560
52回目,1.621210,1.706670,1.608110,1.680560
53回目,1.590910,1.684930,1.661970,1.680560
54回目,1.590910,1.720000,1.671230,1.706670
55回目,1.617650,1.685710,1.602940,1.706670
56回目,1.603170,1.579710,1.723680,1.652780
57回目,1.632350,1.675680,1.652170,1.671230
58回目,1.651520,1.579710,1.545450,1.657530
59回目,1.603170,1.638890,1.625000,1.690140
60回目,1.632350,1.671230,1.671230,1.684930
61回目,1.584620,1.633800,1.608110,1.671230
62回目,1.632350,1.720000,1.584620,1.684930
63回目,1.603170,1.694440,1.671230,1.643840
64回目,1.525420,1.633800,1.680000,1.690140
65回目,1.584620,1.633800,1.671230,1.681160
66回目,1.651520,1.617650,1.585710,1.671230
67回目,1.617650,1.671230,1.661970,1.643840
68回目,1.584620,1.671230,1.575760,1.652780
69回目,1.628570,1.708330,1.722220,1.657530
70回目,1.621210,1.666670,1.671230,1.690140
71回目,1.590910,1.638890,1.608110,1.643840
72回目,1.651520,1.708330,1.608110,1.690140
73回目,1.632350,1.702700,1.611940,1.681160
74回目,1.621210,1.694440,1.608700,1.680000
75回目,1.632350,1.638890,1.671230,1.684930
76回目,1.584620,1.633800,1.671430,1.671230
77回目,1.617650,1.633800,1.585710,1.680000
78回目,1.651520,1.579710,1.602940,1.690140
79回目,1.632350,1.706670,1.704230,1.671230
80回目,1.621210,1.675680,1.608110,1.680000
81回目,1.590910,1.633800,1.698630,1.671230
82回目,1.632350,1.680560,1.698630,1.706670
83回目,1.623190,1.684930,1.712330,1.657530
84回目,1.628570,1.708330,1.702700,1.671230
85回目,1.525420,1.666670,1.698630,1.671230
86回目,1.525420,1.684930,1.676060,1.684930
87回目,1.621210,1.702700,1.661970,1.671230
88回目,1.632350,1.577460,1.585710,1.680000
89回目,1.632350,1.666670,1.706670,1.643840
90回目,1.584620,1.708330,1.671230,1.681160
91回目,1.628570,1.680560,1.675680,1.652780
92回目,1.632350,1.680560,1.684930,1.643840
93回目,1.623190,1.633800,1.625000,1.680560
94回目,1.584620,1.720000,1.589040,1.643840
95回目,1.621210,1.633800,1.661970,1.643840
96回目,1.590910,1.671230,1.657140,1.681160
97回目,1.632350,1.684930,1.602940,1.681160
98回目,1.623190,1.633800,1.625000,1.652780
99回目,1.617650,1.657890,1.712330,1.684930
100回目,1.584620,1.666670,1.626870,1.671230
101回目,1.628570,1.675680,1.591550,1.690140
102回目,1.632350,1.633800,1.722220,1.680560
103回目,1.628570,1.577460,1.712330,1.657530
104回目,1.651520,1.675680,1.698630,1.671230
105回目,1.617650,1.657890,1.591550,1.643840
106回目,1.584620,1.680560,1.671230,1.681160
107回目,1.651520,1.671230,1.712330,1.680000
108回目,1.525420,1.617650,1.577460,1.652780
109回目,1.584620,1.638890,1.625000,1.657530
110回目,1.584620,1.633800,1.614290,1.680000
111回目,1.628570,1.633800,1.591550,1.681160
112回目,1.525420,1.671230,1.593750,1.643840
113回目,1.628570,1.720000,1.712330,1.690140
114回目,1.584620,1.671230,1.712330,1.681160
115回目,1.603170,1.666670,1.585710,1.652780
116回目,1.632350,1.720000,1.722220,1.643840
117回目,1.590910,1.720000,1.602940,1.690140
118回目,1.623190,1.577460,1.702700,1.706670
119回目,1.584620,1.680560,1.676060,1.680000
120回目,1.603170,1.666670,1.666670,1.680560
121回目,1.584620,1.680560,1.698630,1.690140
122回目,1.603170,1.720000,1.706670,1.680000
123回目,1.632350,1.633800,1.681160,1.671230
124回目,1.621210,1.680560,1.558820,1.680560
125回目,1.617650,1.720000,1.577460,1.680560
126回目,1.603170,1.680560,1.716220,1.690140
127回目,1.590910,1.708330,1.657140,1.652780
128回目,1.525420,1.694440,1.714290,1.652780
129回目,1.623190,1.671230,1.722220,1.671230
130回目,1.632350,1.684930,1.712330,1.652780
131回目,1.603170,1.666670,1.625000,1.657530
132回目,1.621210,1.577460,1.736840,1.652780
133回目,1.632350,1.720000,1.680560,1.681160
134回目,1.632350,1.633800,1.625000,1.643840
135回目,1.621210,1.708330,1.712330,1.671230
136回目,1.632350,1.617650,1.585710,1.684930
137回目,1.632350,1.630140,1.583330,1.684930
138回目,1.621210,1.720000,1.602940,1.671230
139回目,1.590910,1.680560,1.666670,1.684930
140回目,1.628570,1.638890,1.671230,1.657530
141回目,1.632350,1.638890,1.698630,1.671230
142回目,1.617650,1.633800,1.712330,1.706670
143回目,1.632350,1.633800,1.625000,1.652780
144回目,1.621210,1.720000,1.637680,1.657530
145回目,1.584620,1.720000,1.608700,1.680560
146回目,1.623190,1.671230,1.602940,1.652780
147回目,1.632350,1.633800,1.702700,1.680000
148回目,1.623190,1.675680,1.712330,1.690140
149回目,1.621210,1.702700,1.608110,1.671230
150回目,1.590910,1.680560,1.702700,1.684930
151回目,1.632350,1.685710,1.597010,1.652780
152回目,1.623190,1.684930,1.671230,1.681160
153回目,1.617650,1.694440,1.712330,1.680000
154回目,1.584620,1.666670,1.625000,1.680000
155回目,1.623190,1.708330,1.671230,1.706670
156回目,1.617650,1.666670,1.685710,1.706670
157回目,1.632350,1.702700,1.589040,1.657530
158回目,1.525420,1.671230,1.671230,1.671230
159回目,1.584620,1.577460,1.736840,1.681160
160回目,1.590910,1.633800,1.602940,1.690140
161回目,1.584620,1.657890,1.733330,1.671230
162回目,1.632350,1.690140,1.671430,1.706670
163回目,1.628570,1.680560,1.706670,1.684930
164回目,1.651520,1.633800,1.585710,1.680000
165回目,1.621210,1.694440,1.577460,1.680560
166回目,1.621210,1.577460,1.671230,1.681160
167回目,1.617650,1.708330,1.671230,1.684930
168回目,1.525420,1.633800,1.712330,1.706670
169回目,1.632350,1.675680,1.582090,1.681160
170回目,1.525420,1.675680,1.704230,1.690140
171回目,1.590910,1.680560,1.589040,1.657530
172回目,1.525420,1.720000,1.602940,1.684930
173回目,1.603170,1.666670,1.602740,1.671230
174回目,1.621210,1.666670,1.708330,1.690140
175回目,1.632350,1.680560,1.608110,1.680560
176回目,1.603170,1.708330,1.720000,1.706670
177回目,1.584620,1.684930,1.577460,1.652780
178回目,1.623190,1.684930,1.608700,1.671230
179回目,1.621210,1.657890,1.712330,1.681160
180回目,1.651520,1.671230,1.608110,1.680000
181回目,1.525420,1.720000,1.602940,1.671230
182回目,1.603170,1.694440,1.723680,1.652780
183回目,1.632350,1.685710,1.608110,1.680560
184回目,1.632350,1.690140,1.712330,1.643840
185回目,1.651520,1.708330,1.698630,1.671230
186回目,1.632350,1.680560,1.671230,1.657530
187回目,1.621210,1.666670,1.625000,1.706670
188回目,1.617650,1.638890,1.698630,1.680000
189回目,1.603170,1.706670,1.698630,1.657530
190回目,1.621210,1.633800,1.656720,1.680560
191回目,1.617650,1.684930,1.736840,1.680000
192回目,1.623190,1.694440,1.702700,1.706670
193回目,1.651520,1.638890,1.702700,1.680000
194回目,1.525420,1.638890,1.616440,1.684930
195回目,1.590910,1.675680,1.675680,1.671230
196回目,1.590910,1.666670,1.729730,1.671230
197回目,1.628570,1.684930,1.676060,1.671230
198回目,1.617650,1.638890,1.712330,1.684930
199回目,1.632350,1.666670,1.661970,1.690140
200回目,1.621210,1.657890,1.671230,1.671230
201回目,1.590910,1.680560,1.698630,1.652780
202回目,1.584620,1.680560,1.723680,1.680000
203回目,1.584620,1.702700,1.582090,1.657530
204回目,1.628570,1.708330,1.702700,1.652780
205回目,1.525420,1.708330,1.698630,1.706670
206回目,1.628570,1.671230,1.602940,1.652780
207回目,1.623190,1.671230,1.567160,1.690140
208回目,1.525420,1.638890,1.608110,1.684930
209回目,1.632350,1.675680,1.602940,1.643840
210回目,1.632350,1.720000,1.698630,1.680000
211回目,1.651520,1.666670,1.661970,1.706670
212回目,1.623190,1.657890,1.625000,1.680000
213回目,1.621210,1.617650,1.698630,1.681160
214回目,1.603170,1.633800,1.585710,1.671230
215回目,1.525420,1.680560,1.594200,1.690140
216回目,1.603170,1.702700,1.666670,1.671230
217回目,1.603170,1.671230,1.689190,1.643840
218回目,1.632350,1.680560,1.573530,1.684930
219回目,1.632350,1.666670,1.736840,1.680560
220回目,1.632350,1.633800,1.608110,1.671230
221回目,1.621210,1.657890,1.736840,1.671230
222回目,1.617650,1.680560,1.702700,1.671230
223回目,1.584620,1.702700,1.722220,1.652780
224回目,1.617650,1.706670,1.633800,1.706670
225回目,1.617650,1.638890,1.671230,1.706670
226回目,1.632350,1.671230,1.565220,1.706670
227回目,1.628570,1.638890,1.600000,1.652780
228回目,1.623190,1.633800,1.720000,1.671230
229回目,1.617650,1.666670,1.726030,1.684930
230回目,1.590910,1.671230,1.676060,1.657530
231回目,1.525420,1.657890,1.712330,1.706670
232回目,1.632350,1.720000,1.722220,1.690140
233回目,1.617650,1.666670,1.720000,1.671230
234回目,1.584620,1.694440,1.698630,1.680000
235回目,1.651520,1.675680,1.666670,1.680000
236回目,1.590910,1.680560,1.736840,1.681160
237回目,1.628570,1.706670,1.726030,1.643840
238回目,1.623190,1.720000,1.585710,1.652780
239回目,1.525420,1.690140,1.698630,1.652780
240回目,1.584620,1.684930,1.625000,1.690140
241回目,1.603170,1.706670,1.602940,1.690140
242回目,1.632350,1.638890,1.625000,1.684930
243回目,1.590910,1.666670,1.558820,1.657530
244回目,1.651520,1.633800,1.733330,1.680560
245回目,1.621210,1.720000,1.575760,1.680000
246回目,1.628570,1.671230,1.726030,1.643840
247回目,1.584620,1.694440,1.661970,1.671230
248回目,1.632350,1.684930,1.720000,1.657530
249回目,1.623190,1.666670,1.736840,1.684930
250回目,1.525420,1.633800,1.569230,1.652780
