Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,70904.000000,72228.000000,80704.000000,75452.000000
2回目,70992.000000,72044.000000,81044.000000,75548.000000
3回目,71284.000000,72188.000000,80672.000000,75512.000000
4回目,70792.000000,72368.000000,80688.000000,75596.000000
5回目,71028.000000,72048.000000,80664.000000,75544.000000
6回目,70772.000000,72240.000000,80464.000000,75504.000000
7回目,70604.000000,72104.000000,80828.000000,75128.000000
8回目,70776.000000,71876.000000,80372.000000,75504.000000
9回目,71048.000000,72352.000000,80492.000000,75560.000000
10回目,70760.000000,71732.000000,80348.000000,75260.000000
11回目,70600.000000,72100.000000,80672.000000,75524.000000
12回目,70788.000000,72100.000000,80752.000000,75096.000000
13回目,70868.000000,72244.000000,80980.000000,75340.000000
14回目,70992.000000,71956.000000,80420.000000,75196.000000
15回目,70776.000000,72052.000000,80964.000000,75504.000000
16回目,71064.000000,71952.000000,80616.000000,75500.000000
17回目,70880.000000,72008.000000,80928.000000,75368.000000
18回目,70776.000000,72076.000000,80840.000000,75180.000000
19回目,70788.000000,72052.000000,80376.000000,75320.000000
20回目,71280.000000,72020.000000,80832.000000,75132.000000
21回目,70612.000000,71864.000000,80748.000000,75440.000000
22回目,71292.000000,71864.000000,81060.000000,75464.000000
23回目,71292.000000,72060.000000,80624.000000,75624.000000
24回目,70776.000000,71792.000000,80480.000000,75136.000000
25回目,70876.000000,72184.000000,80700.000000,75368.000000
26回目,70896.000000,72228.000000,80788.000000,75424.000000
27回目,71276.000000,72048.000000,80864.000000,75204.000000
28回目,71292.000000,72056.000000,80936.000000,75524.000000
29回目,70764.000000,72084.000000,80376.000000,75256.000000
30回目,70780.000000,72080.000000,80716.000000,75356.000000
31回目,71068.000000,72092.000000,80740.000000,75112.000000
32回目,71296.000000,72040.000000,80496.000000,75508.000000
33回目,71112.000000,71720.000000,80556.000000,74852.000000
34回目,71060.000000,72056.000000,80652.000000,75384.000000
35回目,70892.000000,71704.000000,80556.000000,75372.000000
36回目,71288.000000,71812.000000,80644.000000,75272.000000
37回目,70840.000000,71828.000000,80732.000000,75584.000000
38回目,70940.000000,72368.000000,80916.000000,75624.000000
39回目,71020.000000,71864.000000,80956.000000,75524.000000
40回目,71068.000000,71808.000000,80500.000000,75484.000000
41回目,71040.000000,71840.000000,80792.000000,75264.000000
42回目,70912.000000,72232.000000,80652.000000,75616.000000
43回目,70608.000000,72004.000000,80612.000000,75624.000000
44回目,70920.000000,71992.000000,80496.000000,75344.000000
45回目,70876.000000,72076.000000,80540.000000,74864.000000
46回目,70988.000000,71832.000000,80900.000000,75172.000000
47回目,70792.000000,71836.000000,80788.000000,75132.000000
48回目,70784.000000,72056.000000,80960.000000,75508.000000
49回目,70932.000000,72036.000000,80740.000000,75304.000000
50回目,70900.000000,72044.000000,80804.000000,75540.000000
51回目,71296.000000,71984.000000,80412.000000,75308.000000
52回目,70904.000000,72048.000000,80668.000000,75260.000000
53回目,71040.000000,71832.000000,80624.000000,74840.000000
54回目,70748.000000,72372.000000,80920.000000,75508.000000
55回目,70572.000000,72072.000000,80444.000000,75300.000000
56回目,70852.000000,72108.000000,80256.000000,75260.000000
57回目,70796.000000,72104.000000,80504.000000,75628.000000
58回目,70532.000000,72052.000000,80716.000000,75256.000000
59回目,70900.000000,72192.000000,80748.000000,75396.000000
60回目,71124.000000,71744.000000,80596.000000,75368.000000
61回目,70972.000000,72308.000000,80700.000000,75468.000000
62回目,71292.000000,72360.000000,80232.000000,75524.000000
63回目,71196.000000,71840.000000,80872.000000,75164.000000
64回目,71032.000000,72012.000000,80796.000000,75520.000000
65回目,71064.000000,72100.000000,80864.000000,75236.000000
66回目,70800.000000,71836.000000,80436.000000,75376.000000
67回目,71036.000000,72056.000000,80612.000000,75540.000000
68回目,70552.000000,71980.000000,80640.000000,75612.000000
69回目,71092.000000,71832.000000,80636.000000,75516.000000
70回目,70556.000000,72052.000000,81028.000000,75256.000000
71回目,70904.000000,72336.000000,80592.000000,75412.000000
72回目,71072.000000,72080.000000,81076.000000,75096.000000
73回目,71284.000000,72244.000000,80428.000000,75508.000000
74回目,70904.000000,72208.000000,80748.000000,75364.000000
75回目,70880.000000,71720.000000,80604.000000,75520.000000
76回目,71296.000000,72036.000000,80728.000000,75576.000000
77回目,71092.000000,71832.000000,80384.000000,75240.000000
78回目,70600.000000,71940.000000,80156.000000,75564.000000
79回目,71216.000000,71832.000000,80672.000000,75540.000000
80回目,70996.000000,72368.000000,80792.000000,75116.000000
81回目,70556.000000,71948.000000,80884.000000,75168.000000
82回目,70796.000000,72208.000000,81040.000000,75548.000000
83回目,70792.000000,72168.000000,80584.000000,75192.000000
84回目,70552.000000,71744.000000,80844.000000,75296.000000
85回目,70788.000000,72080.000000,80572.000000,75504.000000
86回目,70968.000000,72080.000000,80356.000000,75516.000000
87回目,70940.000000,72176.000000,80336.000000,75612.000000
88回目,71024.000000,72188.000000,80948.000000,75300.000000
89回目,70776.000000,72244.000000,80928.000000,75088.000000
90回目,70568.000000,71932.000000,81048.000000,75132.000000
91回目,70556.000000,72112.000000,80468.000000,75252.000000
92回目,71048.000000,72216.000000,80672.000000,75192.000000
93回目,71032.000000,71996.000000,80900.000000,75384.000000
94回目,71068.000000,71804.000000,80868.000000,75336.000000
95回目,71036.000000,72052.000000,80504.000000,75508.000000
96回目,70572.000000,72244.000000,80564.000000,74844.000000
97回目,70764.000000,72008.000000,80612.000000,74840.000000
98回目,71188.000000,72004.000000,80980.000000,75092.000000
99回目,70640.000000,71828.000000,80688.000000,75356.000000
100回目,71024.000000,71860.000000,80624.000000,75148.000000
101回目,71424.000000,72080.000000,80748.000000,75300.000000
