HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,1.605630,1.708860,1.712500,1.726190
134回目,1.362070,1.719510,1.750000,1.737500
135回目,1.605630,1.741180,1.716050,1.734940
136回目,1.500000,1.726190,1.746840,1.737500
137回目,1.515150,1.741180,1.700000,1.726190
138回目,1.619720,1.728400,1.675320,1.707320
139回目,1.460320,1.719510,1.712500,1.734180
140回目,1.379310,1.696200,1.675320,1.726190
141回目,1.423730,1.728400,1.722890,1.732560
142回目,1.484850,1.752940,1.730770,1.734180
143回目,1.379310,1.719510,1.692310,1.691360
144回目,1.379310,1.741180,1.716050,1.725000
145回目,1.435480,1.734940,1.719510,1.701300
146回目,1.423730,1.734940,1.712500,1.662340
147回目,1.379310,1.728400,1.712500,1.726190
148回目,1.605630,1.716050,1.692310,1.691360
149回目,1.605630,1.714290,1.697370,1.707320
150回目,1.500000,1.726190,1.693330,1.662340
151回目,1.557140,1.741180,1.680000,1.726190
152回目,1.500000,1.726190,1.725000,1.732560
153回目,1.423730,1.726190,1.688310,1.734180
154回目,1.619720,1.714290,1.721520,1.725000
155回目,1.605630,1.719510,1.721520,1.726190
156回目,1.435480,1.696200,1.716050,1.734940
157回目,1.619720,1.726190,1.716050,1.725000
158回目,1.515150,1.726190,1.712500,1.701300
159回目,1.515150,1.726190,1.688310,1.725000
160回目,1.515150,1.714290,1.700000,1.691360
161回目,1.435480,1.714290,1.688310,1.734940
162回目,1.460320,1.747130,1.732560,1.737500
163回目,1.515150,1.719510,1.708860,1.732560
164回目,1.619720,1.747130,1.728400,1.737500
165回目,1.435480,1.714290,1.683540,1.732560
166回目,1.460320,1.728400,1.694120,1.734940
167回目,1.379310,1.725000,1.721520,1.734940
168回目,1.557140,1.714290,1.683540,1.734940
169回目,1.605630,1.716050,1.712500,1.701300
170回目,1.619720,1.734940,1.700000,1.707320
171回目,1.484850,1.752940,1.712500,1.725000
172回目,1.423730,1.752940,1.732560,1.691360
173回目,1.423730,1.728400,1.712500,1.691360
174回目,1.423730,1.716050,1.712500,1.725000
175回目,1.500000,1.747130,1.712500,1.734940
176回目,1.435480,1.696200,1.721520,1.707320
177回目,1.460320,1.747130,1.750000,1.725000
178回目,1.557140,1.719510,1.710530,1.734180
179回目,1.557140,1.726190,1.725000,1.707320
180回目,1.619720,1.728400,1.708860,1.725000
181回目,1.423730,1.714290,1.738100,1.732560
182回目,1.379310,1.719510,1.714290,1.734940
183回目,1.619720,1.719510,1.688310,1.732560
184回目,1.435480,1.708860,1.710530,1.726190
185回目,1.605630,1.747130,1.732560,1.734940
186回目,1.362070,1.716050,1.683540,1.691360
187回目,1.484850,1.696200,1.716050,1.726190
188回目,1.460320,1.719510,1.720000,1.725000
189回目,1.460320,1.696200,1.683540,1.726190
190回目,1.362070,1.752940,1.679490,1.732560
191回目,1.557140,1.714290,1.752940,1.662340
192回目,1.379310,1.741180,1.714290,1.725000
193回目,1.423730,1.734940,1.684210,1.701300
194回目,1.619720,1.726190,1.728400,1.737500
195回目,1.379310,1.734940,1.715910,1.662340
196回目,1.379310,1.725000,1.688310,1.734940
197回目,1.423730,1.726190,1.717950,1.701300
198回目,1.619720,1.719510,1.688310,1.732560
199回目,1.515150,1.752940,1.700000,1.707320
200回目,1.557140,1.714290,1.732560,1.707320
201回目,1.460320,1.716050,1.712500,1.691360
202回目,1.423730,1.734940,1.750000,1.734940
203回目,1.605630,1.726190,1.716050,1.707320
204回目,1.500000,1.752940,1.688310,1.701300
205回目,1.423730,1.747130,1.730770,1.662340
206回目,1.557140,1.728400,1.712500,1.734180
207回目,1.500000,1.728400,1.688310,1.734940
208回目,1.362070,1.728400,1.712500,1.734940
209回目,1.619720,1.719510,1.716050,1.732560
210回目,1.515150,1.719510,1.688310,1.725000
211回目,1.515150,1.719510,1.701300,1.662340
212回目,1.605630,1.728400,1.732560,1.737500
213回目,1.619720,1.752940,1.732560,1.737500
214回目,1.500000,1.716050,1.703700,1.732560
215回目,1.362070,1.719510,1.721520,1.701300
216回目,1.460320,1.741180,1.732560,1.701300
217回目,1.460320,1.734940,1.671050,1.707320
218回目,1.362070,1.708860,1.688310,1.725000
219回目,1.500000,1.726190,1.688310,1.691360
220回目,1.484850,1.741180,1.712500,1.726190
221回目,1.379310,1.726190,1.721520,1.737500
222回目,1.619720,1.734940,1.683540,1.725000
223回目,1.435480,1.725000,1.712500,1.726190
224回目,1.379310,1.747130,1.684210,1.737500
225回目,1.362070,1.726190,1.683540,1.701300
226回目,1.557140,1.731710,1.726190,1.725000
227回目,1.379310,1.728400,1.712500,1.734940
