Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,73376.000000,75120.000000,101736.000000,86028.000000
2回目,74008.000000,74952.000000,101892.000000,85904.000000
3回目,73536.000000,74812.000000,101580.000000,85844.000000
4回目,74004.000000,74808.000000,101780.000000,85752.000000
5回目,74024.000000,75000.000000,101576.000000,85872.000000
6回目,73348.000000,74952.000000,101984.000000,86008.000000
7回目,73944.000000,75028.000000,101848.000000,85764.000000
8回目,73648.000000,74736.000000,101784.000000,85876.000000
9回目,73388.000000,75104.000000,101908.000000,86016.000000
10回目,74348.000000,74924.000000,101876.000000,85928.000000
11回目,74232.000000,74808.000000,101972.000000,86028.000000
12回目,73216.000000,75080.000000,101624.000000,85876.000000
13回目,74212.000000,74784.000000,101924.000000,85932.000000
14回目,74028.000000,74984.000000,101692.000000,85892.000000
15回目,73924.000000,74820.000000,101588.000000,85352.000000
16回目,73704.000000,75076.000000,101568.000000,86032.000000
17回目,73960.000000,74648.000000,101796.000000,86008.000000
18回目,74004.000000,75220.000000,101512.000000,85704.000000
19回目,74228.000000,75084.000000,101804.000000,85892.000000
20回目,73948.000000,74724.000000,101772.000000,85636.000000
21回目,73652.000000,74968.000000,102040.000000,86008.000000
22回目,74252.000000,75316.000000,101960.000000,86064.000000
23回目,74276.000000,74768.000000,101768.000000,85896.000000
24回目,74172.000000,74956.000000,101928.000000,86044.000000
25回目,74384.000000,75052.000000,101804.000000,85804.000000
26回目,74000.000000,74960.000000,101440.000000,85944.000000
27回目,74292.000000,75104.000000,101512.000000,86032.000000
28回目,73848.000000,74844.000000,101804.000000,86128.000000
29回目,74184.000000,75340.000000,101708.000000,85896.000000
30回目,74068.000000,75132.000000,101852.000000,85680.000000
31回目,74008.000000,74820.000000,101896.000000,85840.000000
32回目,74160.000000,75124.000000,101412.000000,85760.000000
33回目,74380.000000,74808.000000,101484.000000,85372.000000
34回目,74152.000000,75300.000000,102004.000000,85844.000000
35回目,73904.000000,75084.000000,101392.000000,85672.000000
36回目,74348.000000,75016.000000,101416.000000,85348.000000
37回目,74232.000000,75080.000000,101720.000000,85884.000000
38回目,73660.000000,74980.000000,101940.000000,85480.000000
39回目,74176.000000,75184.000000,101548.000000,86032.000000
40回目,74348.000000,74952.000000,101652.000000,86016.000000
41回目,74228.000000,74724.000000,101964.000000,85896.000000
42回目,74172.000000,74372.000000,101592.000000,85980.000000
43回目,74248.000000,74748.000000,101392.000000,86036.000000
44回目,73572.000000,75120.000000,101588.000000,86024.000000
45回目,73960.000000,75004.000000,101900.000000,85688.000000
46回目,73864.000000,74956.000000,101288.000000,85680.000000
47回目,74340.000000,74956.000000,101860.000000,85680.000000
48回目,73940.000000,74968.000000,101900.000000,85712.000000
49回目,73928.000000,74692.000000,101764.000000,85948.000000
50回目,74144.000000,74920.000000,101624.000000,85680.000000
51回目,73960.000000,74804.000000,101876.000000,85804.000000
52回目,73184.000000,74832.000000,101880.000000,85800.000000
53回目,74168.000000,75296.000000,101692.000000,86028.000000
54回目,74216.000000,75080.000000,101704.000000,86032.000000
55回目,74224.000000,75020.000000,101776.000000,86012.000000
56回目,73708.000000,75016.000000,101548.000000,85908.000000
57回目,73636.000000,74840.000000,101476.000000,86024.000000
58回目,73968.000000,74756.000000,101500.000000,85768.000000
59回目,73948.000000,75220.000000,101828.000000,85872.000000
60回目,73632.000000,75124.000000,101360.000000,85928.000000
61回目,73964.000000,75308.000000,101532.000000,85888.000000
62回目,74172.000000,74792.000000,101808.000000,85932.000000
63回目,73928.000000,74804.000000,101404.000000,86016.000000
64回目,74204.000000,74956.000000,101800.000000,85764.000000
65回目,74240.000000,74784.000000,101836.000000,85960.000000
66回目,74076.000000,74712.000000,102008.000000,85892.000000
67回目,74176.000000,75088.000000,101696.000000,85704.000000
68回目,74112.000000,75084.000000,101580.000000,86032.000000
69回目,74208.000000,74812.000000,101800.000000,86020.000000
70回目,74000.000000,74684.000000,101800.000000,85360.000000
71回目,74088.000000,75304.000000,101928.000000,85924.000000
72回目,74168.000000,74760.000000,101924.000000,85872.000000
73回目,73736.000000,74932.000000,101952.000000,85768.000000
74回目,74020.000000,74920.000000,101924.000000,86020.000000
75回目,73828.000000,74772.000000,101648.000000,86032.000000
76回目,73832.000000,74680.000000,101768.000000,86032.000000
77回目,74068.000000,74980.000000,101552.000000,85624.000000
78回目,74392.000000,74992.000000,101264.000000,85684.000000
79回目,73604.000000,74844.000000,101928.000000,85840.000000
80回目,74156.000000,74688.000000,101688.000000,85704.000000
81回目,73784.000000,75088.000000,101760.000000,86028.000000
82回目,73912.000000,75080.000000,101820.000000,86036.000000
83回目,74180.000000,75220.000000,101440.000000,86020.000000
84回目,74276.000000,74840.000000,101792.000000,86036.000000
85回目,73492.000000,74344.000000,101872.000000,85688.000000
86回目,74340.000000,74992.000000,101668.000000,85784.000000
87回目,74168.000000,75004.000000,101928.000000,85888.000000
88回目,73904.000000,74812.000000,101496.000000,86068.000000
89回目,73696.000000,75280.000000,101856.000000,85800.000000
90回目,74084.000000,75316.000000,101916.000000,85804.000000
91回目,74148.000000,74956.000000,101408.000000,86016.000000
92回目,74172.000000,75068.000000,101668.000000,85928.000000
93回目,74148.000000,74776.000000,102068.000000,85804.000000
94回目,74344.000000,75076.000000,101820.000000,85900.000000
95回目,73980.000000,74984.000000,101824.000000,85636.000000
96回目,73816.000000,75216.000000,102084.000000,85892.000000
97回目,74152.000000,75048.000000,101544.000000,86028.000000
98回目,74236.000000,74916.000000,101440.000000,86052.000000
99回目,74164.000000,75060.000000,101624.000000,86016.000000
100回目,74252.000000,75224.000000,101864.000000,85680.000000
101回目,74176.000000,75212.000000,101232.000000,85620.000000
102回目,73924.000000,74656.000000,101444.000000,86156.000000
103回目,74152.000000,74832.000000,101412.000000,86012.000000
104回目,74376.000000,75288.000000,101820.000000,86004.000000
105回目,74004.000000,75316.000000,101500.000000,86052.000000
106回目,73968.000000,74728.000000,101836.000000,85984.000000
107回目,73808.000000,75304.000000,101444.000000,85904.000000
108回目,74248.000000,75160.000000,101832.000000,85684.000000
109回目,73764.000000,75116.000000,101968.000000,85916.000000
110回目,73636.000000,75080.000000,101712.000000,85704.000000
111回目,74408.000000,75012.000000,101436.000000,85848.000000
112回目,73488.000000,75188.000000,102064.000000,85864.000000
113回目,74196.000000,75076.000000,101912.000000,85604.000000
114回目,73648.000000,75300.000000,101580.000000,86140.000000
115回目,74232.000000,74924.000000,101340.000000,86036.000000
116回目,73984.000000,74808.000000,101800.000000,86040.000000
117回目,74244.000000,75200.000000,101696.000000,85832.000000
118回目,73960.000000,74724.000000,101880.000000,86016.000000
119回目,73604.000000,74720.000000,101672.000000,85640.000000
120回目,73820.000000,75268.000000,101884.000000,85808.000000
121回目,74040.000000,74736.000000,101744.000000,85928.000000
122回目,74056.000000,74828.000000,101580.000000,85356.000000
123回目,74164.000000,75012.000000,101768.000000,85692.000000
124回目,74032.000000,74576.000000,101932.000000,85712.000000
125回目,73904.000000,74692.000000,101664.000000,85704.000000
126回目,74364.000000,75152.000000,101848.000000,86024.000000
127回目,73944.000000,74692.000000,101876.000000,85928.000000
128回目,73972.000000,75092.000000,101480.000000,85852.000000
129回目,73816.000000,74748.000000,101736.000000,85996.000000
130回目,73964.000000,74720.000000,101932.000000,86036.000000
131回目,74192.000000,74840.000000,101948.000000,85816.000000
132回目,74040.000000,75284.000000,101756.000000,85984.000000
133回目,74356.000000,75300.000000,101584.000000,85880.000000
134回目,73672.000000,75084.000000,101904.000000,85680.000000
135回目,74260.000000,75004.000000,101944.000000,85912.000000
136回目,73908.000000,74712.000000,101764.000000,85976.000000
137回目,73940.000000,74724.000000,101920.000000,85632.000000
138回目,73968.000000,75004.000000,101876.000000,85636.000000
139回目,73952.000000,74756.000000,101612.000000,85700.000000
140回目,73220.000000,74780.000000,101660.000000,85888.000000
141回目,74132.000000,75088.000000,101884.000000,86064.000000
142回目,73376.000000,75116.000000,101728.000000,86028.000000
143回目,73416.000000,74956.000000,101496.000000,86128.000000
144回目,73184.000000,75084.000000,101456.000000,86028.000000
145回目,74236.000000,75168.000000,101952.000000,85488.000000
146回目,74252.000000,75092.000000,101808.000000,85804.000000
147回目,73688.000000,75316.000000,101540.000000,85824.000000
148回目,74128.000000,74988.000000,101884.000000,85608.000000
149回目,74044.000000,74976.000000,101832.000000,85352.000000
150回目,73940.000000,75092.000000,101412.000000,86128.000000
151回目,73864.000000,75064.000000,101824.000000,85700.000000
152回目,73960.000000,75308.000000,101628.000000,86008.000000
