Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,860884.000000,2029078.000000,1808414.000000,1806513.000000
2回目,872042.000000,2014194.000000,1778100.000000,1798705.000000
3回目,860884.000000,1979840.000000,1795618.000000,1796673.000000
4回目,901554.000000,1995674.000000,1799904.000000,1785271.000000
5回目,864192.000000,1997306.000000,1812882.000000,1788103.000000
6回目,860884.000000,1985622.000000,1794504.000000,1764601.000000
7回目,873240.000000,1989596.000000,1814362.000000,1788103.000000
8回目,876374.000000,2006558.000000,1802300.000000,1806513.000000
9回目,860884.000000,1989596.000000,1815696.000000,1802465.000000
10回目,887738.000000,2029078.000000,1802300.000000,1798705.000000
11回目,873240.000000,2034786.000000,1818400.000000,1785271.000000
12回目,876374.000000,1969696.000000,1780482.000000,1788137.000000
13回目,879760.000000,2007192.000000,1789448.000000,1798705.000000
14回目,879760.000000,1999750.000000,1799500.000000,1788103.000000
15回目,901554.000000,2027344.000000,1808414.000000,1788027.000000
16回目,867816.000000,1978180.000000,1778100.000000,1798705.000000
17回目,902650.000000,1982154.000000,1801414.000000,1802465.000000
18回目,887738.000000,2001110.000000,1792156.000000,1796673.000000
19回目,873240.000000,2006558.000000,1778510.000000,1777025.000000
20回目,892400.000000,2010558.000000,1798268.000000,1802465.000000
21回目,876374.000000,2004362.000000,1812882.000000,1788027.000000
22回目,887738.000000,1987282.000000,1824896.000000,1788027.000000
23回目,867816.000000,2042138.000000,1799092.000000,1788027.000000
24回目,902650.000000,1999750.000000,1781630.000000,1764601.000000
25回目,902650.000000,2003116.000000,1789448.000000,1806513.000000
26回目,864192.000000,2014194.000000,1819336.000000,1802465.000000
27回目,872042.000000,2032826.000000,1794504.000000,1795005.000000
28回目,872042.000000,1982154.000000,1802300.000000,1788027.000000
29回目,887738.000000,1995674.000000,1778100.000000,1788027.000000
30回目,901554.000000,2017942.000000,1789448.000000,1806513.000000
31回目,887738.000000,2003630.000000,1801414.000000,1796673.000000
32回目,879760.000000,1982154.000000,1812992.000000,1788137.000000
33回目,901554.000000,2007192.000000,1798268.000000,1785271.000000
34回目,864192.000000,2025384.000000,1751366.000000,1802465.000000
35回目,876374.000000,1987282.000000,1809316.000000,1788137.000000
36回目,901554.000000,2006558.000000,1798268.000000,1764601.000000
37回目,892400.000000,2002210.000000,1779430.000000,1802465.000000
38回目,860884.000000,1978180.000000,1804598.000000,1798705.000000
39回目,872042.000000,2042138.000000,1804598.000000,1785271.000000
40回目,887738.000000,2002210.000000,1804534.000000,1802465.000000
41回目,873240.000000,1999750.000000,1786236.000000,1788137.000000
42回目,892400.000000,2014194.000000,1782204.000000,1788103.000000
43回目,873240.000000,2027254.000000,1744090.000000,1785271.000000
44回目,887738.000000,2008552.000000,1781482.000000,1788027.000000
45回目,872042.000000,1997306.000000,1808414.000000,1764601.000000
46回目,872042.000000,2021636.000000,1803626.000000,1785271.000000
47回目,879760.000000,2005910.000000,1814132.000000,1788137.000000
48回目,892400.000000,2042138.000000,1795882.000000,1795005.000000
49回目,901554.000000,2021636.000000,1785094.000000,1806513.000000
50回目,902650.000000,2008726.000000,1809550.000000,1806513.000000
51回目,860884.000000,2025384.000000,1784274.000000,1785271.000000
52回目,860884.000000,2017942.000000,1779598.000000,1806513.000000
53回目,873240.000000,2007192.000000,1788318.000000,1806513.000000
54回目,902650.000000,2027254.000000,1782308.000000,1806513.000000
55回目,887738.000000,1978180.000000,1802300.000000,1795005.000000
56回目,872042.000000,1993614.000000,1808782.000000,1785271.000000
57回目,860884.000000,2029078.000000,1786236.000000,1795005.000000
58回目,887738.000000,2027344.000000,1802300.000000,1788103.000000
59回目,864192.000000,1993614.000000,1786990.000000,1777025.000000
60回目,876374.000000,2027254.000000,1812882.000000,1788103.000000
61回目,867816.000000,1982154.000000,1795324.000000,1796673.000000
62回目,901554.000000,1969696.000000,1795186.000000,1788027.000000
63回目,892400.000000,2021636.000000,1769044.000000,1764601.000000
64回目,873240.000000,2025384.000000,1784984.000000,1785271.000000
65回目,901554.000000,2042228.000000,1802914.000000,1788027.000000
66回目,873240.000000,2017094.000000,1797472.000000,1795005.000000
67回目,892400.000000,2027254.000000,1806606.000000,1785271.000000
68回目,879760.000000,2027254.000000,1792758.000000,1788137.000000
69回目,872042.000000,2027254.000000,1803130.000000,1802465.000000
70回目,879760.000000,2027254.000000,1778100.000000,1802465.000000
71回目,864192.000000,2003116.000000,1812992.000000,1785271.000000
72回目,892400.000000,2025384.000000,1827134.000000,1796673.000000
73回目,873240.000000,2042138.000000,1792758.000000,1777025.000000
74回目,901554.000000,1999750.000000,1781546.000000,1806513.000000
75回目,901554.000000,2025384.000000,1783610.000000,1802465.000000
76回目,864192.000000,1987282.000000,1807808.000000,1764601.000000
77回目,867816.000000,2027254.000000,1796096.000000,1777025.000000
78回目,892400.000000,2004362.000000,1778100.000000,1796673.000000
79回目,860884.000000,1993614.000000,1778100.000000,1788103.000000
80回目,879760.000000,2006558.000000,1800552.000000,1764601.000000
81回目,867816.000000,2003630.000000,1795882.000000,1788103.000000
82回目,864192.000000,1978180.000000,1785164.000000,1777025.000000
83回目,867816.000000,2009652.000000,1802300.000000,1764601.000000
84回目,867816.000000,2008726.000000,1788994.000000,1796673.000000
85回目,876374.000000,2002210.000000,1808414.000000,1777025.000000
86回目,873240.000000,2032826.000000,1808414.000000,1788027.000000
87回目,892400.000000,1978180.000000,1789448.000000,1788027.000000
88回目,887738.000000,2027344.000000,1811502.000000,1785271.000000
89回目,867816.000000,2004362.000000,1804598.000000,1798705.000000
90回目,887738.000000,2007192.000000,1803904.000000,1802465.000000
91回目,864192.000000,2006558.000000,1792210.000000,1788103.000000
92回目,873240.000000,2014194.000000,1790590.000000,1806513.000000
93回目,879760.000000,2003116.000000,1783596.000000,1802465.000000
94回目,864192.000000,1962254.000000,1796804.000000,1788137.000000
95回目,892400.000000,2003116.000000,1801414.000000,1795005.000000
96回目,887738.000000,2003116.000000,1798728.000000,1796673.000000
97回目,867816.000000,2021636.000000,1778100.000000,1788103.000000
98回目,902650.000000,1995674.000000,1804598.000000,1777025.000000
99回目,887738.000000,2021636.000000,1776080.000000,1798705.000000
100回目,887738.000000,2006558.000000,1801414.000000,1802465.000000
101回目,902650.000000,2001110.000000,1800180.000000,1806513.000000
102回目,864192.000000,2006558.000000,1816452.000000,1802465.000000
103回目,864192.000000,2008726.000000,1774884.000000,1785271.000000
104回目,864192.000000,2003116.000000,1798268.000000,1788027.000000
105回目,901554.000000,2003116.000000,1801414.000000,1788137.000000
106回目,902650.000000,1978180.000000,1795882.000000,1764601.000000
107回目,892400.000000,2008726.000000,1817716.000000,1796673.000000
108回目,902650.000000,2001110.000000,1785094.000000,1764601.000000
109回目,873240.000000,2002210.000000,1792770.000000,1798705.000000
110回目,860884.000000,2034786.000000,1788250.000000,1788027.000000
111回目,872042.000000,2021636.000000,1806580.000000,1796673.000000
112回目,860884.000000,1993064.000000,1802300.000000,1788027.000000
113回目,887738.000000,1997306.000000,1802300.000000,1798705.000000
114回目,887738.000000,2017942.000000,1804534.000000,1788103.000000
115回目,867816.000000,2042228.000000,1785094.000000,1795005.000000
116回目,879760.000000,2021636.000000,1778100.000000,1806513.000000
117回目,872042.000000,2005910.000000,1810192.000000,1788137.000000
118回目,879760.000000,1969696.000000,1762360.000000,1785271.000000
119回目,876374.000000,2029078.000000,1802300.000000,1785271.000000
120回目,892400.000000,2005910.000000,1801980.000000,1788027.000000
121回目,887738.000000,2003116.000000,1786236.000000,1788137.000000
122回目,864192.000000,2005910.000000,1801738.000000,1777025.000000
123回目,879760.000000,2017942.000000,1804570.000000,1788103.000000
124回目,864192.000000,2003116.000000,1781482.000000,1785271.000000
125回目,873240.000000,1999750.000000,1838734.000000,1806513.000000
126回目,879760.000000,2017942.000000,1798268.000000,1802465.000000
127回目,879760.000000,2027344.000000,1809500.000000,1788027.000000
128回目,864192.000000,2001110.000000,1788246.000000,1806513.000000
129回目,864192.000000,2021636.000000,1800162.000000,1785271.000000
130回目,901554.000000,2009652.000000,1785802.000000,1798705.000000
131回目,867816.000000,2001110.000000,1812882.000000,1796673.000000
132回目,873240.000000,2003630.000000,1808746.000000,1798705.000000
133回目,892400.000000,2004362.000000,1785094.000000,1788027.000000
134回目,867816.000000,2029078.000000,1760684.000000,1788137.000000
135回目,892400.000000,2008552.000000,1780482.000000,1802465.000000
136回目,873240.000000,2003116.000000,1793052.000000,1788137.000000
137回目,901554.000000,2008552.000000,1798268.000000,1788027.000000
138回目,902650.000000,1999750.000000,1796640.000000,1785271.000000
139回目,887738.000000,2021636.000000,1785802.000000,1777025.000000
140回目,876374.000000,2017942.000000,1831086.000000,1788027.000000
141回目,879760.000000,2008726.000000,1810762.000000,1764601.000000
