Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,6.596540,7.037140,7.275840,7.720740
134回目,5.275160,7.304370,7.838830,7.125790
135回目,6.596540,7.571150,7.215280,7.628890
136回目,5.700630,7.482080,7.261650,7.125790
137回目,6.066360,7.571150,7.432560,7.720740
138回目,6.526250,7.215290,7.077880,7.304360
139回目,5.790870,7.304370,7.126210,7.261550
140回目,5.331380,7.260810,7.077800,7.720740
141回目,5.366120,7.215290,7.393440,7.660670
142回目,5.940010,7.571600,6.948040,7.261550
143回目,5.331380,7.304370,7.094330,7.290010
144回目,5.331380,7.571150,7.215290,7.352820
145回目,5.699020,7.393450,7.380450,6.858980
146回目,5.366120,7.470460,7.126210,6.929360
147回目,5.331380,7.215290,7.126200,7.720740
148回目,6.596540,7.215290,7.094320,7.290010
149回目,6.596540,6.858570,6.769890,7.304360
150回目,5.700630,7.482080,6.893300,6.929360
151回目,6.434360,7.571150,6.680810,7.720740
152回目,5.700630,7.482080,7.126210,7.660670
153回目,5.366120,7.482080,7.002940,7.261550
154回目,6.526250,6.858570,7.261550,7.125770
155回目,6.596540,7.304370,7.261440,7.720740
156回目,5.699020,7.260810,7.215280,7.628890
157回目,6.526250,7.482080,7.215280,7.352820
158回目,6.066360,7.482080,7.126210,6.858980
159回目,6.066360,7.482080,7.077660,7.125770
160回目,6.066360,6.858570,7.432560,7.290010
161回目,5.699020,6.858570,6.858980,7.628890
162回目,5.790870,7.749290,7.660670,7.125790
163回目,6.066360,7.304370,7.036720,7.660670
164回目,6.526250,7.749290,7.366250,7.125790
165回目,5.699020,6.858570,7.036060,7.660670
166回目,5.790870,7.215290,7.571600,7.628890
167回目,5.331380,7.200440,7.036270,7.628890
168回目,6.434360,6.858570,7.036060,7.628890
169回目,6.596540,7.215290,7.275840,6.858980
170回目,6.526250,7.393450,7.432560,7.304360
171回目,5.940010,7.571600,7.126210,7.125770
172回目,5.366120,7.571600,7.660210,7.290010
173回目,5.366120,7.215290,7.275840,7.290010
174回目,5.366120,7.215290,7.275840,7.352820
175回目,5.700630,7.749290,7.275840,7.628890
176回目,5.699020,7.260810,7.261550,7.304360
177回目,5.790870,7.749290,7.482080,7.352820
178回目,6.434360,7.304370,6.769080,7.261550
179回目,6.434360,7.482080,7.352630,7.304360
180回目,6.526250,7.215290,7.036720,7.125770
181回目,5.366120,6.858570,7.482520,7.660670
182回目,5.331380,7.304370,7.077880,7.628890
183回目,6.526250,7.304370,7.077620,7.660670
184回目,5.699020,7.037140,6.769510,7.720740
185回目,6.596540,7.749290,7.660210,7.628890
186回目,5.275160,7.215290,7.339630,7.290010
187回目,5.940010,7.260810,7.215280,7.720740
188回目,5.790870,7.304370,6.894040,7.352820
189回目,5.790870,7.260810,7.036060,7.720740
190回目,5.275160,7.571600,6.947640,7.660670
191回目,6.434360,7.638230,7.571590,6.929360
192回目,5.331380,7.571150,7.002550,7.352820
193回目,5.366120,7.470460,7.061080,6.858980
194回目,6.526250,7.482080,7.215280,7.125790
195回目,5.331380,7.393450,7.838830,6.929360
196回目,5.331380,7.200440,6.858980,7.628890
197回目,5.366120,7.482080,7.094170,6.858980
198回目,6.526250,7.304370,6.930420,7.660670
199回目,6.066360,7.571600,7.432560,7.304360
200回目,6.434360,6.858570,7.660210,7.304360
201回目,5.790870,7.215290,7.275840,7.290010
202回目,5.366120,7.393000,7.482520,7.628890
203回目,6.596540,7.482080,7.215280,7.304360
204回目,5.700630,7.571600,6.858970,6.858980
205回目,5.366120,7.749290,7.169730,6.929360
206回目,6.434360,7.215290,7.275840,7.261550
207回目,5.700630,7.215290,6.930010,7.628890
208回目,5.275160,7.215290,7.352910,7.628890
209回目,6.526250,7.304370,7.215290,7.660670
210回目,6.066360,7.304370,6.930010,7.352820
211回目,6.066360,7.618460,7.003200,6.929360
212回目,6.596540,7.215290,7.660210,7.125790
213回目,6.526250,7.571600,7.660210,7.125790
214回目,5.700630,7.215290,7.445230,7.660670
215回目,5.275160,7.304370,7.261550,6.858980
216回目,5.790870,7.571150,7.660210,6.858980
217回目,5.790870,7.470460,6.985480,7.304360
218回目,5.275160,7.037140,7.077620,7.125770
219回目,5.700630,7.482080,6.858970,7.290010
220回目,5.940010,7.571150,7.126210,7.720740
221回目,5.331380,7.482080,7.261550,7.125790
222回目,6.526250,7.470460,7.036060,7.352820
223回目,5.699020,7.200440,7.126200,7.720740
224回目,5.331380,7.749290,7.060610,7.125790
225回目,5.275160,7.482080,7.036070,6.858980
226回目,6.434360,7.303930,7.640040,7.125770
227回目,5.331380,7.215290,7.126200,7.628890
228回目,5.331380,7.303930,7.125790,7.352820
229回目,6.596540,7.571150,7.660210,7.720740
230回目,6.066360,7.571150,7.077620,7.290010
231回目,5.699020,7.215290,7.126210,7.660670
232回目,5.331380,7.571150,7.571600,6.858980
233回目,5.700630,7.638230,7.432560,7.125770
234回目,5.366120,7.470460,6.947640,7.352820
235回目,5.366120,7.393000,7.077750,7.261550
236回目,5.275160,7.304370,7.077620,6.929360
237回目,5.699020,7.629150,6.948050,6.858980
238回目,5.790870,7.393450,7.036060,6.929360
239回目,6.434360,7.470460,6.769500,7.352820
240回目,6.434360,6.858570,7.660210,7.628890
241回目,5.366120,7.638230,7.060610,7.628890
242回目,6.066360,7.215290,7.393440,7.352820
243回目,5.790870,7.482080,7.445380,7.125790
244回目,5.699020,7.304370,6.858980,7.720740
245回目,6.434360,7.749290,7.571590,7.261550
246回目,6.066360,6.858570,7.482510,7.125770
247回目,6.596540,7.304370,6.947640,7.720740
248回目,6.066360,7.571600,6.769900,7.628890
249回目,5.366120,7.037140,7.660210,7.628890
250回目,6.596540,7.571150,7.036060,7.125770
