Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
138回目,2756014.000000,6149976.000000,5601289.000000,5497354.000000
139回目,2818348.000000,6149976.000000,5514073.000000,5497354.000000
140回目,2769676.000000,6112964.000000,5528527.000000,5497290.000000
141回目,2756014.000000,6082094.000000,5501609.000000,5449292.000000
142回目,2843768.000000,6178624.000000,5512725.000000,5532040.000000
143回目,2738900.000000,6140870.000000,5493841.000000,5469000.000000
144回目,2843768.000000,6112964.000000,5497903.000000,5472448.000000
145回目,2694090.000000,6102012.000000,5535861.000000,5472448.000000
146回目,2694090.000000,6123448.000000,5468561.000000,5495460.000000
147回目,2843768.000000,6140870.000000,5500137.000000,5495460.000000
148回目,2756014.000000,6127774.000000,5507619.000000,5497354.000000
149回目,2693120.000000,6140870.000000,5529457.000000,5493368.000000
150回目,2694090.000000,6123090.000000,5501237.000000,5495460.000000
151回目,2818348.000000,6102012.000000,5528527.000000,5449292.000000
152回目,2760098.000000,6141116.000000,5545027.000000,5541380.000000
153回目,2815402.000000,6112964.000000,5517193.000000,5497354.000000
154回目,2738900.000000,6163318.000000,5488569.000000,5472448.000000
155回目,2826040.000000,6146416.000000,5513825.000000,5532040.000000
156回目,2769676.000000,6112964.000000,5564947.000000,5443008.000000
157回目,2738900.000000,6141116.000000,5495699.000000,5497290.000000
158回目,2694090.000000,6141116.000000,5479215.000000,5532040.000000
159回目,2738900.000000,6112018.000000,5526105.000000,5532040.000000
160回目,2843768.000000,6112018.000000,5528047.000000,5516036.000000
161回目,2818348.000000,6185274.000000,5508341.000000,5469000.000000
162回目,2693120.000000,6076860.000000,5589959.000000,5541380.000000
163回目,2815402.000000,6080648.000000,5491485.000000,5472448.000000
164回目,2826040.000000,6145650.000000,5508879.000000,5532040.000000
165回目,2769676.000000,6123090.000000,5525119.000000,5449292.000000
166回目,2769676.000000,6124214.000000,5505603.000000,5449292.000000
167回目,2693120.000000,6106452.000000,5511859.000000,5516036.000000
168回目,2760098.000000,6163318.000000,5513609.000000,5472448.000000
169回目,2738900.000000,6114718.000000,5531223.000000,5493368.000000
170回目,2694090.000000,6112964.000000,5511521.000000,5449292.000000
171回目,2756014.000000,6123448.000000,5549541.000000,5497354.000000
172回目,2693120.000000,6123090.000000,5473383.000000,5516036.000000
173回目,2843768.000000,6142674.000000,5498473.000000,5443008.000000
174回目,2815402.000000,6075838.000000,5472965.000000,5497354.000000
175回目,2694090.000000,6112018.000000,5508797.000000,5541380.000000
176回目,2756014.000000,6149976.000000,5467949.000000,5472448.000000
177回目,2694090.000000,6123448.000000,5500517.000000,5532040.000000
178回目,2815402.000000,6149976.000000,5502641.000000,5469000.000000
179回目,2843768.000000,6149976.000000,5515101.000000,5497290.000000
180回目,2818348.000000,6145650.000000,5518771.000000,5516036.000000
181回目,2769676.000000,6133094.000000,5526625.000000,5497354.000000
182回目,2815402.000000,6102012.000000,5486751.000000,5532040.000000
183回目,2738900.000000,6133094.000000,5565041.000000,5516036.000000
184回目,2760098.000000,6112018.000000,5501489.000000,5495460.000000
185回目,2738900.000000,6149976.000000,5472809.000000,5495460.000000
186回目,2769676.000000,6119068.000000,5515795.000000,5493368.000000
187回目,2826040.000000,6149976.000000,5503501.000000,5495460.000000
