Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,6.720420,7.709610,7.738690,7.622330
134回目,7.040470,7.738690,7.564120,7.825980
135回目,6.953190,7.709550,7.389580,7.564110
136回目,6.953190,7.825970,7.535050,7.593230
137回目,6.830680,7.709600,7.622330,7.472930
138回目,6.604070,7.709550,7.593180,7.622330
139回目,7.040470,7.709550,7.680480,7.622330
140回目,6.720420,7.767790,7.564040,7.593230
141回目,6.604070,7.971440,7.622330,7.738690
142回目,6.836820,7.680510,7.533610,7.472930
143回目,6.953190,7.680510,7.738700,7.825980
144回目,6.836820,7.767790,7.535000,7.593230
145回目,7.156730,7.884130,7.651420,7.593230
146回目,7.156730,7.622330,7.738700,7.622330
147回目,6.836820,7.680510,7.622330,7.622330
148回目,6.604070,7.709550,7.680510,7.622330
149回目,6.749520,7.680510,7.443720,7.709580
150回目,7.156730,7.651360,7.732580,7.622330
151回目,7.040470,7.884130,7.476860,7.738690
152回目,6.313150,7.680490,7.709580,7.564110
153回目,6.830680,7.767790,7.589680,7.622330
154回目,6.953190,7.680490,7.738670,7.593230
155回目,6.691360,7.884130,7.680460,7.472930
156回目,6.720420,7.767790,7.389580,7.937610
157回目,6.953190,7.680490,7.651390,7.593230
158回目,7.156730,7.680490,7.709600,7.472930
159回目,6.953190,7.680510,7.651390,7.472930
160回目,6.836820,7.680510,7.651360,7.593230
161回目,7.040470,7.680510,7.651390,7.825980
162回目,6.749520,7.706460,7.535040,7.564110
163回目,6.830680,7.709610,7.884140,7.593230
164回目,6.691360,7.622330,7.622300,7.472930
165回目,6.720420,7.651360,7.651420,7.738690
166回目,6.720420,7.884130,7.738670,7.738690
167回目,6.749520,7.825970,7.418670,7.593230
168回目,6.313150,7.680490,7.564080,7.593230
169回目,6.953190,7.535040,7.418650,7.709580
170回目,7.156730,7.767790,7.535040,7.738690
171回目,6.604070,7.622330,7.360490,7.622330
172回目,6.749520,7.651360,7.738670,7.593230
173回目,6.836820,7.913250,7.738700,7.937610
174回目,6.830680,7.796860,7.738700,7.622330
175回目,7.156730,7.680510,7.564140,7.564110
176回目,6.604070,7.709550,7.011370,7.593230
177回目,7.156730,7.622330,7.622310,7.472930
178回目,6.830680,7.709550,7.680510,7.825980
