PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,78.787900,87.919500,87.583900,90.939600
2回目,72.818800,90.268500,87.612600,89.276400
3回目,76.510100,89.932900,88.255000,88.926200
4回目,80.201300,88.888900,88.255000,86.195300
5回目,78.859100,91.275200,86.941200,89.276400
6回目,82.550300,90.268500,88.926200,88.926200
7回目,82.550300,88.590600,84.255800,87.248300
8回目,82.550300,90.268500,86.912800,87.598200
9回目,78.859100,88.590600,87.262600,87.248300
10回目,78.859100,89.276400,89.612000,87.933900
11回目,78.787900,90.939600,87.919500,88.926200
12回目,80.201300,88.590600,91.275200,90.268500
13回目,80.201300,91.946300,88.940700,87.598200
14回目,78.787900,89.276400,87.583900,88.926200
15回目,77.852300,88.590600,87.598200,90.939600
16回目,77.516800,88.605100,89.597300,88.926200
17回目,76.510100,88.590600,88.269500,90.939600
18回目,81.208100,89.276400,88.590600,90.939600
19回目,80.201300,87.919500,86.941200,87.248300
20回目,78.787900,91.275200,87.878800,87.933900
21回目,82.550300,89.261700,88.255000,88.926200
22回目,80.201300,88.888900,88.940700,89.276400
23回目,81.208100,87.919500,89.932900,87.248300
24回目,77.516800,86.912800,88.255000,87.933900
25回目,77.852300,86.912800,87.276900,86.195300
26回目,78.787900,89.597300,87.583900,90.268500
27回目,78.787900,88.888900,87.276900,87.583900
28回目,81.208100,88.605100,80.872500,87.598200
29回目,82.550300,87.919500,88.255000,89.276400
30回目,76.510100,88.590600,87.598200,89.276400
31回目,80.201300,88.926200,87.919500,87.598200
32回目,82.550300,88.255000,88.255000,87.248300
33回目,77.181200,88.255000,88.590600,87.598200
34回目,82.550300,89.597300,85.906000,88.926200
35回目,76.174500,89.597300,91.275200,86.195300
36回目,82.550300,88.590600,87.583900,87.583900
37回目,77.181200,88.926200,86.912800,89.276400
38回目,80.201300,90.939600,88.255000,90.268500
39回目,82.550300,89.932900,85.262800,86.195300
40回目,78.859100,90.268500,89.932900,87.583900
41回目,76.174500,88.926200,86.605600,87.598200
42回目,77.181200,89.276400,87.291200,87.933900
43回目,76.174500,91.275200,86.269900,87.598200
44回目,77.516800,88.605100,87.542100,87.933900
45回目,80.201300,89.597300,87.919500,86.195300
46回目,78.787900,88.926200,87.948300,87.598200
47回目,80.201300,90.268500,88.255000,90.939600
48回目,77.852300,90.268500,86.605600,87.598200
49回目,72.818800,88.903500,90.939600,90.268500
50回目,80.201300,91.275200,89.612000,89.276400
51回目,80.201300,88.926200,87.262600,87.933900
52回目,80.201300,88.888900,84.563800,87.933900
53回目,72.818800,88.926200,87.919500,87.248300
54回目,77.852300,88.590600,80.885700,87.933900
55回目,72.818800,89.261700,89.597300,87.598200
56回目,80.201300,90.268500,87.933900,87.933900
57回目,82.550300,90.939600,89.261700,87.933900
58回目,78.859100,90.268500,86.577200,86.195300
59回目,76.510100,90.939600,86.912800,87.248300
60回目,76.510100,89.597300,87.598200,87.583900
61回目,77.516800,89.597300,90.939600,87.248300
62回目,77.181200,88.590600,87.919500,87.933900
63回目,78.787900,91.275200,87.542100,88.926200
64回目,77.516800,89.597300,90.268500,87.248300
65回目,78.859100,90.268500,86.255700,87.933900
66回目,77.852300,88.590600,85.584500,87.933900
67回目,72.818800,88.605100,86.195300,89.276400
68回目,72.818800,91.275200,90.268500,90.939600
69回目,82.550300,88.926200,87.933900,87.598200
70回目,81.208100,89.597300,89.597300,87.598200
71回目,82.550300,88.903500,85.598500,87.583900
72回目,82.550300,87.919500,88.255000,90.268500
73回目,77.516800,87.919500,86.577200,87.248300
74回目,72.818800,91.275200,88.255000,90.939600
75回目,77.852300,88.605100,87.933900,89.276400
76回目,80.201300,88.255000,87.248300,89.276400
77回目,81.208100,87.583900,88.926200,90.939600
78回目,78.859100,88.926200,86.269900,86.195300
79回目,78.787900,87.583900,81.892600,90.268500
80回目,82.550300,88.888900,90.268500,90.268500
81回目,80.201300,89.597300,90.268500,87.583900
82回目,82.550300,88.926200,85.906000,87.583900
83回目,77.516800,88.903500,84.848500,87.933900
84回目,77.516800,89.261700,86.269900,87.248300
85回目,76.510100,88.590600,90.268500,87.933900
86回目,81.208100,88.590600,87.248300,87.583900
87回目,76.174500,89.276400,87.919500,87.933900
88回目,77.516800,89.261700,86.532000,87.598200
89回目,80.201300,89.597300,86.591400,87.598200
90回目,76.174500,90.939600,86.941200,86.195300
91回目,81.208100,88.903500,87.248300,88.926200
92回目,77.852300,88.888900,85.598500,87.933900
93回目,81.208100,89.261700,88.255000,87.933900
94回目,78.787900,90.268500,90.283200,87.583900
95回目,80.201300,88.590600,86.241600,87.598200
96回目,72.818800,89.597300,88.926200,86.195300
97回目,78.859100,90.268500,89.932900,87.933900
98回目,78.787900,90.268500,86.868700,87.598200
