HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,2.229440,2.283020,2.285710,2.293890
134回目,2.243800,2.281950,2.265380,2.271380
135回目,2.246860,2.275470,2.255910,2.265380
136回目,2.246860,2.278810,2.281850,2.287360
137回目,2.200850,2.275470,2.270990,2.261720
138回目,2.202640,2.275470,2.287360,2.290080
139回目,2.243800,2.275470,2.280300,2.290080
140回目,2.229440,2.288390,2.261540,2.287360
141回目,2.202640,2.291970,2.255730,2.259400
142回目,2.217020,2.268940,2.285710,2.261720
143回目,2.246860,2.280300,2.278200,2.271380
144回目,2.217020,2.288390,2.262550,2.283520
145回目,2.243900,2.284130,2.292780,2.283520
146回目,2.243900,2.263360,2.274440,2.293890
147回目,2.217020,2.280300,2.267180,2.293890
148回目,2.202640,2.275470,2.272730,2.290080
149回目,2.215520,2.280300,2.278430,2.279250
150回目,2.243900,2.277570,2.257580,2.293890
151回目,2.243800,2.284130,2.252920,2.259400
152回目,2.170510,2.291670,2.279250,2.265380
153回目,2.200850,2.288390,2.276920,2.290080
154回目,2.246860,2.291670,2.274440,2.283520
155回目,2.195650,2.284130,2.276520,2.261720
156回目,2.229440,2.288390,2.295280,2.284130
157回目,2.246860,2.291670,2.273760,2.287360
158回目,2.243900,2.291670,2.275470,2.261720
159回目,2.246860,2.268940,2.266160,2.261720
160回目,2.217020,2.268940,2.239540,2.272030
161回目,2.243800,2.280300,2.269960,2.271380
162回目,2.215520,2.276520,2.262550,2.265380
163回目,2.200850,2.283020,2.273060,2.283520
164回目,2.195650,2.263360,2.270990,2.261720
165回目,2.229440,2.277570,2.277570,2.259400
166回目,2.229440,2.284130,2.263160,2.259400
167回目,2.215520,2.278810,2.290200,2.272030
168回目,2.170510,2.291670,2.276920,2.283520
169回目,2.246860,2.277990,2.274510,2.279250
170回目,2.243900,2.288390,2.266410,2.259400
171回目,2.202640,2.263360,2.252960,2.290080
172回目,2.215520,2.277570,2.281950,2.272030
173回目,2.217020,2.283090,2.270680,2.284130
174回目,2.200850,2.279850,2.278200,2.290080
175回目,2.243900,2.268940,2.280770,2.265380
176回目,2.202640,2.275470,2.211620,2.283520
177回目,2.243900,2.263360,2.274810,2.261720
178回目,2.200850,2.275470,2.272730,2.271380
179回目,2.217020,2.275470,2.281850,2.287360
180回目,2.243800,2.263360,2.270990,2.272030
181回目,2.229440,2.281950,2.278630,2.290080
182回目,2.200850,2.284130,2.258430,2.261720
183回目,2.246860,2.281950,2.276520,2.272030
184回目,2.170510,2.268940,2.279070,2.293890
185回目,2.246860,2.275470,2.275090,2.293890
186回目,2.229440,2.272030,2.268940,2.279250
187回目,2.195650,2.275470,2.268660,2.293890
188回目,2.246860,2.263360,2.264590,2.265380
189回目,2.197370,2.268940,2.265920,2.283520
190回目,2.243900,2.277990,2.279690,2.279250
191回目,2.202640,2.275470,2.257690,2.261720
192回目,2.246860,2.277990,2.268200,2.287360
193回目,2.246860,2.278810,2.270270,2.265380
194回目,2.170510,2.268940,2.277570,2.290080
195回目,2.197370,2.277990,2.216330,2.265380
196回目,2.243900,2.291670,2.275470,2.271380
197回目,2.195650,2.276520,2.265620,2.284130
198回目,2.195650,2.291670,2.267440,2.284130
199回目,2.217020,2.279850,2.257580,2.293890
200回目,2.246860,2.275470,2.253910,2.290080
201回目,2.215520,2.284130,2.263360,2.283520
202回目,2.215520,2.291670,2.286820,2.271380
203回目,2.215520,2.277570,2.275470,2.265380
204回目,2.246860,2.275470,2.269960,2.279250
205回目,2.246860,2.284130,2.244980,2.265380
206回目,2.229440,2.268940,2.266160,2.279250
207回目,2.246860,2.283090,2.270990,2.279250
208回目,2.246860,2.284130,2.268200,2.290080
209回目,2.229440,2.291670,2.281850,2.283520
210回目,2.195650,2.283090,2.256700,2.261720
211回目,2.243900,2.288390,2.260700,2.271380
212回目,2.202640,2.281950,2.272030,2.279250
213回目,2.215520,2.281950,2.274810,2.259400
214回目,2.202640,2.291670,2.259690,2.265380
215回目,2.170510,2.284130,2.267180,2.272030
216回目,2.243800,2.284130,2.269960,2.259400
217回目,2.243900,2.275470,2.275590,2.259400
218回目,2.197370,2.291670,2.267440,2.284130
219回目,2.200850,2.268940,2.275190,2.279250
220回目,2.246860,2.275470,2.269960,2.293890
221回目,2.195650,2.284130,2.244270,2.290080
222回目,2.217020,2.281950,2.278200,2.261720
223回目,2.197370,2.275470,2.263940,2.279250
224回目,2.170510,2.289960,2.279690,2.259400
225回目,2.197370,2.291670,2.261360,2.265380
226回目,2.215520,2.277990,2.261540,2.293890
227回目,2.243800,2.279850,2.258690,2.259400
228回目,2.200850,2.280300,2.268200,2.261720
229回目,2.215520,2.263360,2.275470,2.284130
230回目,2.202640,2.291670,2.275590,2.279250
231回目,2.197370,2.291970,2.275860,2.272030
232回目,2.215520,2.278810,2.268200,2.259400
233回目,2.243900,2.275470,2.262360,2.287360
234回目,2.202640,2.275470,2.295020,2.293890
235回目,2.200850,2.288390,2.273440,2.259400
236回目,2.197370,2.284130,2.258430,2.287360
237回目,2.243800,2.277570,2.276520,2.287360
