Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,20.538700,12.080500,12.080500,8.389260
2回目,26.510100,9.731540,12.080500,10.738300
3回目,23.489900,10.067100,11.745000,11.073800
4回目,19.798700,11.111100,11.745000,13.804700
5回目,21.140900,8.724830,13.087200,10.738300
6回目,17.449700,9.731540,11.073800,11.073800
7回目,17.449700,11.409400,15.771800,12.751700
8回目,17.449700,9.731540,13.087200,12.416100
9回目,21.140900,11.409400,12.751700,12.751700
10回目,21.140900,10.738300,10.402700,12.080500
11回目,20.538700,9.060400,12.080500,11.073800
12回目,19.798700,11.409400,8.724830,9.731540
13回目,19.798700,8.053690,10.738300,12.416100
14回目,20.538700,10.738300,12.416100,11.073800
15回目,22.147700,11.409400,12.416100,8.389260
16回目,22.483200,11.409400,10.402700,11.073800
17回目,23.489900,11.409400,11.745000,8.389260
18回目,18.791900,10.738300,11.409400,8.389260
19回目,19.798700,12.080500,12.751700,12.751700
20回目,20.538700,8.724830,12.121200,12.080500
21回目,17.449700,10.402700,11.745000,11.073800
22回目,19.798700,11.111100,11.073800,10.738300
23回目,18.791900,12.080500,10.067100,12.751700
24回目,22.483200,13.087200,11.745000,12.080500
25回目,22.147700,13.087200,12.751700,13.804700
26回目,20.538700,10.402700,12.416100,9.731540
27回目,20.538700,11.111100,12.751700,12.416100
28回目,18.791900,11.409400,19.127500,12.416100
29回目,17.449700,12.080500,11.745000,10.738300
30回目,23.489900,11.409400,12.416100,10.738300
31回目,19.798700,11.073800,12.080500,12.416100
32回目,17.449700,11.745000,11.745000,12.751700
33回目,22.147700,11.745000,11.409400,12.416100
34回目,17.449700,10.402700,14.094000,11.073800
35回目,23.154400,10.402700,8.724830,13.804700
36回目,17.449700,11.409400,12.416100,12.416100
37回目,22.147700,11.073800,13.087200,10.738300
38回目,19.798700,9.060400,11.745000,9.731540
39回目,17.449700,10.067100,14.765100,13.804700
40回目,21.140900,9.731540,10.067100,12.416100
41回目,23.154400,11.073800,13.422800,12.416100
