Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,74068.000000,74796.000000,152008.000000,106240.000000
2回目,73912.000000,75228.000000,152000.000000,106704.000000
3回目,74364.000000,75128.000000,151884.000000,106588.000000
4回目,73956.000000,74956.000000,151788.000000,106516.000000
5回目,74076.000000,75228.000000,152096.000000,106352.000000
6回目,74084.000000,74432.000000,151428.000000,106376.000000
7回目,73828.000000,75244.000000,152032.000000,106404.000000
8回目,74352.000000,74932.000000,152060.000000,106476.000000
9回目,74176.000000,74848.000000,151996.000000,106616.000000
10回目,74172.000000,74968.000000,151740.000000,106400.000000
11回目,74264.000000,74724.000000,152112.000000,106364.000000
12回目,74080.000000,75328.000000,151600.000000,106208.000000
13回目,73908.000000,74792.000000,151588.000000,106572.000000
14回目,74400.000000,75116.000000,151884.000000,105972.000000
15回目,73688.000000,75188.000000,151668.000000,106488.000000
16回目,74004.000000,75092.000000,151976.000000,106288.000000
17回目,74220.000000,75188.000000,151612.000000,106612.000000
18回目,74044.000000,75024.000000,151968.000000,106292.000000
19回目,73928.000000,75100.000000,151852.000000,106492.000000
20回目,74164.000000,75092.000000,151668.000000,106544.000000
21回目,74344.000000,74608.000000,151588.000000,106652.000000
22回目,74232.000000,74788.000000,151840.000000,106428.000000
23回目,74344.000000,75288.000000,151652.000000,106492.000000
24回目,74396.000000,74696.000000,151856.000000,106288.000000
25回目,74236.000000,74844.000000,152172.000000,106472.000000
26回目,73664.000000,75124.000000,152148.000000,106112.000000
27回目,73828.000000,75124.000000,151596.000000,106588.000000
28回目,74232.000000,74840.000000,151608.000000,106628.000000
29回目,74168.000000,75248.000000,152216.000000,106280.000000
30回目,73976.000000,75320.000000,152108.000000,106364.000000
31回目,73828.000000,75184.000000,151904.000000,106700.000000
32回目,73832.000000,75096.000000,151896.000000,106732.000000
33回目,73852.000000,74936.000000,151684.000000,105944.000000
34回目,74180.000000,75124.000000,151676.000000,106648.000000
35回目,74048.000000,75096.000000,151668.000000,106300.000000
36回目,73684.000000,75088.000000,152040.000000,106484.000000
37回目,73868.000000,74772.000000,151780.000000,106236.000000
38回目,73772.000000,74728.000000,151892.000000,106476.000000
39回目,74376.000000,75280.000000,151672.000000,106528.000000
40回目,73692.000000,74784.000000,152012.000000,106364.000000
41回目,74180.000000,74960.000000,151724.000000,106668.000000
42回目,73944.000000,75088.000000,152072.000000,106584.000000
43回目,74216.000000,74336.000000,151788.000000,106200.000000
44回目,73648.000000,74324.000000,152036.000000,106680.000000
45回目,73940.000000,75020.000000,151680.000000,106604.000000
46回目,74080.000000,74844.000000,152116.000000,106584.000000
47回目,74380.000000,74720.000000,151588.000000,106728.000000
48回目,74044.000000,75088.000000,151992.000000,106484.000000
49回目,74360.000000,74984.000000,151988.000000,106620.000000
50回目,73656.000000,74780.000000,151988.000000,106532.000000
51回目,73992.000000,74844.000000,151628.000000,106568.000000
52回目,73900.000000,74704.000000,152136.000000,106312.000000
53回目,74124.000000,74924.000000,152060.000000,106628.000000
54回目,73792.000000,75172.000000,152068.000000,106628.000000
55回目,74164.000000,74988.000000,152116.000000,106692.000000
56回目,74076.000000,75008.000000,152060.000000,106156.000000
57回目,74040.000000,75216.000000,151528.000000,105972.000000
58回目,73712.000000,74844.000000,151724.000000,106480.000000
59回目,74356.000000,75316.000000,152116.000000,106616.000000
60回目,74084.000000,75296.000000,151536.000000,106496.000000
61回目,73936.000000,75024.000000,151564.000000,106628.000000
62回目,74240.000000,74960.000000,151676.000000,105972.000000
63回目,73676.000000,74756.000000,151792.000000,105936.000000
64回目,74032.000000,75032.000000,152120.000000,106464.000000
65回目,74088.000000,74984.000000,151868.000000,106616.000000
66回目,74344.000000,75052.000000,151976.000000,106732.000000
67回目,73840.000000,75204.000000,152088.000000,105972.000000
68回目,74348.000000,75192.000000,151996.000000,106628.000000
69回目,73992.000000,74736.000000,151488.000000,106644.000000
70回目,74044.000000,75176.000000,151840.000000,106668.000000
71回目,73920.000000,74700.000000,151592.000000,106304.000000
72回目,74132.000000,75056.000000,151680.000000,105820.000000
73回目,74240.000000,74840.000000,151992.000000,105960.000000
74回目,74252.000000,75024.000000,152048.000000,106392.000000
75回目,74248.000000,75192.000000,152080.000000,106652.000000
76回目,74412.000000,75096.000000,151604.000000,106496.000000
77回目,74344.000000,74696.000000,152228.000000,106224.000000
78回目,74268.000000,74640.000000,151692.000000,105944.000000
79回目,74160.000000,75160.000000,151832.000000,106500.000000
80回目,74172.000000,74928.000000,152000.000000,106588.000000
81回目,74340.000000,75084.000000,151916.000000,106520.000000
82回目,73964.000000,74984.000000,152108.000000,106500.000000
83回目,73948.000000,74640.000000,151804.000000,106476.000000
84回目,74076.000000,74988.000000,151964.000000,106400.000000
85回目,73916.000000,74752.000000,151964.000000,106652.000000
86回目,73664.000000,74840.000000,151728.000000,106680.000000
87回目,74368.000000,74704.000000,151788.000000,106520.000000
88回目,74336.000000,74780.000000,151688.000000,106544.000000
89回目,74188.000000,74752.000000,151760.000000,106404.000000
90回目,74268.000000,74932.000000,151688.000000,106260.000000
91回目,74048.000000,74996.000000,151660.000000,106204.000000
92回目,74176.000000,74972.000000,151876.000000,106364.000000
93回目,74172.000000,75076.000000,151460.000000,106300.000000
94回目,74216.000000,75072.000000,151968.000000,106692.000000
95回目,74092.000000,75264.000000,151864.000000,106632.000000
96回目,74156.000000,74732.000000,152036.000000,106620.000000
97回目,74156.000000,74756.000000,151972.000000,105956.000000
98回目,73916.000000,75120.000000,152000.000000,106304.000000
99回目,74264.000000,75280.000000,152200.000000,106584.000000
100回目,74192.000000,74812.000000,151396.000000,106224.000000
101回目,74188.000000,75128.000000,151876.000000,106748.000000
102回目,73984.000000,74784.000000,152072.000000,106704.000000
103回目,74176.000000,74844.000000,151672.000000,106728.000000
104回目,74236.000000,74732.000000,152136.000000,105976.000000
105回目,74040.000000,75312.000000,151988.000000,106732.000000
106回目,74288.000000,75088.000000,151804.000000,106496.000000
107回目,74340.000000,75092.000000,151824.000000,106616.000000
108回目,74344.000000,75256.000000,151460.000000,105948.000000
109回目,74172.000000,75232.000000,151588.000000,106492.000000
110回目,74268.000000,74984.000000,152112.000000,106628.000000
111回目,74264.000000,74716.000000,151676.000000,106716.000000
