HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,2.206900,2.457980,2.450220,95.335700
134回目,2.200000,2.487390,2.455320,95.335700
135回目,2.195800,2.463110,2.472570,95.335700
136回目,2.239730,2.439460,2.468880,95.335700
137回目,2.206900,2.470830,2.525420,95.335700
138回目,2.205300,2.461860,2.483330,95.335700
139回目,2.173910,2.684440,2.457980,95.335700
140回目,2.206900,2.466670,2.478810,95.335700
141回目,2.200000,2.489540,2.464730,95.335700
142回目,2.217110,2.470830,2.476390,95.335700
143回目,2.206900,2.475410,2.427310,95.335700
144回目,2.077520,2.450640,2.453780,95.335700
145回目,2.217110,2.461860,2.596570,95.335700
146回目,2.167880,2.706610,2.483470,95.335700
147回目,2.239730,2.514290,2.483190,95.335700
148回目,2.239730,2.481010,2.455700,95.335700
149回目,2.173910,2.439460,2.466670,95.335700
150回目,2.239730,2.508260,2.479170,95.335700
151回目,2.205300,2.464730,2.447260,95.335700
152回目,2.200000,2.706610,2.479170,95.335700
153回目,2.167880,2.508260,2.479170,95.335700
154回目,2.239730,2.472340,2.465020,95.335700
155回目,2.195800,2.475410,2.451060,95.335700
156回目,2.217110,2.464730,2.485110,95.335700
157回目,2.167880,2.466670,2.467810,95.335700
158回目,2.205300,2.487390,2.457980,95.335700
159回目,2.173910,2.450640,2.472800,95.335700
160回目,2.173910,2.684440,2.460530,95.335700
161回目,2.219180,2.472340,2.406250,95.335700
162回目,2.217690,2.475410,2.468350,95.335700
163回目,2.077520,2.475410,2.481330,95.335700
164回目,2.206900,2.495830,2.449150,95.335700
165回目,2.200000,2.450640,2.472800,95.335700
166回目,2.167880,2.472340,2.462180,95.335700
167回目,2.217110,2.472340,2.472800,95.335700
168回目,2.167880,2.457980,2.475210,95.335700
169回目,2.173910,2.470830,2.472100,95.335700
170回目,2.217690,2.475410,2.477180,95.335700
171回目,2.195800,2.472340,2.448280,95.335700
172回目,2.200000,2.489540,2.043480,95.335700
173回目,2.077520,2.495830,2.468620,95.335700
174回目,2.173910,2.466670,2.464730,95.335700
175回目,2.219180,2.540080,2.485480,95.335700
176回目,2.195800,2.487390,2.474360,95.335700
177回目,2.195800,2.470830,2.466390,95.335700
178回目,2.173910,2.451880,2.495800,95.335700
179回目,2.217110,2.514290,2.465590,95.335700
180回目,2.173910,2.487500,2.468620,95.335700
181回目,2.206900,2.489540,2.483190,95.335700
182回目,2.173910,2.508260,2.451060,95.335700
