Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,29.781800,2.309890,2.237620,95.335700
2回目,2.268300,4.143680,6.304050,95.335700
3回目,29.781800,6.427070,8.673760,95.335700
4回目,2.465010,2.105010,2.057730,95.335700
5回目,2.502260,2.160190,6.255920,95.335700
6回目,2.801090,2.056300,2.173660,95.335700
7回目,2.465010,2.089060,2.162910,95.335700
8回目,2.188920,4.111410,2.177810,95.335700
9回目,29.781800,2.056300,2.065860,95.335700
10回目,22.038500,2.089060,8.289950,95.335700
11回目,23.958700,10.434900,6.325630,95.335700
12回目,2.801090,2.056300,10.647300,95.335700
13回目,2.268300,6.427070,6.180260,95.335700
14回目,23.958700,2.310230,8.322800,95.335700
15回目,2.012080,2.208570,8.576400,95.335700
16回目,10.231400,2.160160,1.983990,95.335700
17回目,2.012080,2.208600,6.254500,95.335700
18回目,29.781800,2.089060,8.393610,95.335700
19回目,22.038500,2.208600,6.245570,95.335700
20回目,2.012080,4.143300,9.016590,95.335700
21回目,29.781800,2.242720,2.139630,95.335700
22回目,22.038500,6.302570,8.524820,95.335700
23回目,2.268300,2.122900,2.072520,95.335700
24回目,2.502260,2.310230,2.023590,95.335700
25回目,9.241220,10.965900,2.058600,95.335700
26回目,2.268300,6.302570,6.421360,95.335700
27回目,10.231400,2.309890,6.273690,95.335700
28回目,23.958700,2.105010,2.047800,95.335700
29回目,22.038500,2.105720,10.635900,95.335700
30回目,22.038500,2.309890,6.512300,95.335700
31回目,23.958700,2.056260,2.122550,95.335700
32回目,2.012080,10.434900,2.083950,95.335700
33回目,2.465010,6.302570,1.989830,95.335700
34回目,2.188920,6.302570,2.066390,95.335700
35回目,2.012080,4.143300,2.127680,95.335700
36回目,22.038500,2.056300,2.035880,95.335700
37回目,9.241220,2.328930,2.151040,95.335700
38回目,2.801090,2.106200,6.073680,95.335700
39回目,2.465010,6.403860,6.366660,95.335700
40回目,29.781800,2.159350,2.137030,95.335700
41回目,22.038500,6.427070,2.079130,95.335700
42回目,2.268300,4.111410,4.036040,95.335700
43回目,23.958700,2.122900,2.174750,95.335700
44回目,2.268300,2.105720,6.257030,95.335700
45回目,29.781800,2.106200,2.202700,95.335700
46回目,2.465010,2.056300,1.993810,95.335700
47回目,2.188920,2.328930,2.250090,95.335700
48回目,2.801090,2.106200,2.118430,95.335700
49回目,29.781800,6.302570,6.328460,95.335700
50回目,2.801090,2.089090,10.584800,95.335700
51回目,2.268300,4.111410,6.352220,95.335700
52回目,2.268300,2.310230,6.422320,95.335700
53回目,2.801090,4.143680,8.419600,95.335700
54回目,2.012080,4.143680,10.618900,95.335700
55回目,23.958700,10.434900,6.341560,95.335700
56回目,22.038500,2.242760,6.316970,95.335700
57回目,2.188920,10.434900,1.992210,95.335700
58回目,2.012080,2.208600,12.624700,95.335700
59回目,2.502260,2.328930,2.193200,95.335700
60回目,2.801090,4.111410,2.114780,95.335700
61回目,2.012080,2.328930,6.136190,95.335700
62回目,2.188920,2.106200,10.090000,95.335700
63回目,2.012080,10.965900,2.307550,95.335700
64回目,2.268300,6.302570,2.133230,95.335700
65回目,2.268300,2.122900,6.345920,95.335700
66回目,9.241220,2.172580,6.285480,95.335700
67回目,10.231400,2.160190,12.563600,95.335700
68回目,2.801090,6.302500,8.480210,95.335700
69回目,2.502260,2.128760,6.340960,95.335700
70回目,29.781800,2.310230,2.260320,95.335700
71回目,2.801090,2.310230,2.202380,95.335700
72回目,2.502260,10.434900,2.242360,95.335700
73回目,2.801090,2.089090,6.359540,95.335700
74回目,2.012080,2.160160,2.042830,95.335700
75回目,2.465010,2.089090,2.014710,95.335700
76回目,23.958700,2.309890,8.371080,95.335700
77回目,29.781800,4.143680,15.134500,95.335700
78回目,2.801090,2.173860,2.137000,95.335700
79回目,10.231400,2.310230,2.106110,95.335700
80回目,22.038500,2.122900,10.561200,95.335700
81回目,2.465010,2.310230,8.462950,95.335700
82回目,2.502260,2.310230,1.955410,95.335700
83回目,2.502260,2.171230,16.665800,95.335700
84回目,2.801090,10.965900,6.242870,95.335700
85回目,2.502260,2.309890,6.337560,95.335700
86回目,2.012080,2.106200,2.021430,95.335700
87回目,2.012080,6.302540,6.260600,95.335700
88回目,23.958700,2.310230,2.004110,95.335700
89回目,29.781800,2.056300,2.081220,95.335700
90回目,2.188920,2.056300,10.474000,95.335700
91回目,22.038500,2.173860,2.038300,95.335700
92回目,2.801090,2.128760,6.256500,95.335700
93回目,2.502260,2.105010,6.498070,95.335700
94回目,29.781800,2.056300,2.102950,95.335700
95回目,22.038500,2.105010,6.231610,95.335700
96回目,2.012080,2.328930,2.138830,95.335700
97回目,9.241220,4.111410,6.185810,95.335700
98回目,2.502260,2.172550,14.711300,95.335700
99回目,10.231400,2.056300,16.228700,95.335700
100回目,29.781800,2.056300,4.294870,95.335700
101回目,2.465010,2.056300,8.536210,95.335700
102回目,2.502260,4.111410,2.376440,95.335700
103回目,29.781800,2.242720,8.405630,95.335700
104回目,10.231400,6.302570,6.478370,95.335700
105回目,2.268300,4.111410,2.264750,95.335700
106回目,22.038500,6.427100,2.199430,95.335700
107回目,29.781800,6.427100,10.557200,95.335700
108回目,22.038500,2.089060,1.926770,95.335700
109回目,23.958700,2.328930,8.417730,95.335700
110回目,2.012080,4.111410,1.924840,95.335700
111回目,2.801090,2.109090,8.349040,95.335700
112回目,2.801090,4.111410,2.086320,95.335700
113回目,10.231400,2.309890,12.519100,95.335700
114回目,29.781800,2.122900,6.280890,95.335700
115回目,2.801090,2.310230,2.222820,95.335700
116回目,29.781800,2.109090,2.089410,95.335700
117回目,23.958700,2.309890,2.176750,95.335700
118回目,2.465010,2.310230,6.330060,95.335700
119回目,9.241220,10.434800,6.548730,95.335700
120回目,2.801090,2.242720,4.197220,95.335700
121回目,2.012080,10.434800,2.054070,95.335700
122回目,2.465010,2.309890,4.265860,95.335700
123回目,10.231400,2.208600,2.204980,95.335700
124回目,23.958700,2.171230,6.427730,95.335700
125回目,10.231400,10.434900,2.021030,95.335700
126回目,29.781800,2.328930,4.297880,95.335700
127回目,23.958700,2.160190,6.202350,95.335700
128回目,2.502260,2.056300,1.980250,95.335700
129回目,2.188920,2.160190,2.025620,95.335700
130回目,22.038500,2.310230,6.235140,95.335700
131回目,22.038500,2.310230,2.135510,95.335700
132回目,29.781800,2.309890,6.246300,95.335700
133回目,9.241220,2.171230,6.459120,95.335700
134回目,22.038500,6.302540,2.028260,95.335700
135回目,2.502260,2.128760,6.403390,95.335700
136回目,2.465010,2.242760,6.343030,95.335700
137回目,9.241220,4.111410,6.394530,95.335700
138回目,2.268300,10.434900,6.221810,95.335700
