Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2578926.000000,7804842.000000,7279693.000000,95.335700
2回目,2505024.000000,7918194.000000,7236699.000000,95.335700
3回目,2578926.000000,7837176.000000,7108073.000000,95.335700
4回目,2563676.000000,7758561.000000,7035227.000000,95.335700
5回目,2553084.000000,8031902.000000,7281705.000000,95.335700
6回目,2644540.000000,7719408.000000,7189735.000000,95.335700
7回目,2563676.000000,7794335.000000,7168907.000000,95.335700
8回目,2563850.000000,7875413.000000,7158275.000000,95.335700
9回目,2578926.000000,7740693.000000,7351253.000000,95.335700
10回目,2561680.000000,7793658.000000,7240535.000000,95.335700
11回目,2601796.000000,7840660.000000,7218613.000000,95.335700
12回目,2644540.000000,7761630.000000,7227109.000000,95.335700
13回目,2505024.000000,7836593.000000,7207777.000000,95.335700
14回目,2601796.000000,7834237.000000,7199121.000000,95.335700
15回目,2580344.000000,7785241.000000,7008927.000000,95.335700
16回目,2448442.000000,7988552.000000,7189533.000000,95.335700
17回目,2580344.000000,7806987.000000,7199249.000000,95.335700
18回目,2578926.000000,7815124.000000,7219407.000000,95.335700
19回目,2561680.000000,7785180.000000,7124517.000000,95.335700
20回目,2580344.000000,7919275.000000,6934491.000000,95.335700
21回目,2578926.000000,7825843.000000,7345395.000000,95.335700
22回目,2561680.000000,7754424.000000,7216205.000000,95.335700
23回目,2505024.000000,7519174.000000,7170151.000000,95.335700
24回目,2553084.000000,7813830.000000,7358147.000000,95.335700
25回目,2546920.000000,7753481.000000,7174219.000000,95.335700
26回目,2505024.000000,7754506.000000,7232813.000000,95.335700
27回目,2448442.000000,7825886.000000,7100189.000000,95.335700
28回目,2601796.000000,7759353.000000,7288627.000000,95.335700
29回目,2561680.000000,7755689.000000,7270175.000000,95.335700
30回目,2561680.000000,7805153.000000,7153743.000000,95.335700
31回目,2601796.000000,7740537.000000,6970403.000000,95.335700
32回目,2580344.000000,7862089.000000,7313203.000000,95.335700
33回目,2563676.000000,7755388.000000,7249845.000000,95.335700
34回目,2563850.000000,7797941.000000,7100967.000000,95.335700
35回目,2580344.000000,7918574.000000,7210103.000000,95.335700
36回目,2561680.000000,7762345.000000,7308423.000000,95.335700
37回目,2546920.000000,7899767.000000,7056201.000000,95.335700
38回目,2644540.000000,8021477.000000,6805953.000000,95.335700
39回目,2563676.000000,7750221.000000,7096355.000000,95.335700
40回目,2578926.000000,7988355.000000,7153089.000000,95.335700
41回目,2561680.000000,7837167.000000,7225091.000000,95.335700
42回目,2505024.000000,7874623.000000,7191761.000000,95.335700
43回目,2601796.000000,7497960.000000,7186839.000000,95.335700
44回目,2505024.000000,7755377.000000,7079149.000000,95.335700
45回目,2578926.000000,8021365.000000,7165259.000000,95.335700
46回目,2563676.000000,7740612.000000,7316323.000000,95.335700
47回目,2563850.000000,7920909.000000,7285745.000000,95.335700
48回目,2644540.000000,8020925.000000,7061233.000000,95.335700
49回目,2578926.000000,7776798.000000,7279715.000000,95.335700
50回目,2644540.000000,7794321.000000,7281613.000000,95.335700
51回目,2505024.000000,7897408.000000,7161989.000000,95.335700
52回目,2505024.000000,7834576.000000,7197425.000000,95.335700
53回目,2644540.000000,7918084.000000,7352387.000000,95.335700
54回目,2580344.000000,7918613.000000,7272345.000000,95.335700
55回目,2601796.000000,7840951.000000,7385603.000000,95.335700
56回目,2561680.000000,7826518.000000,7104191.000000,95.335700
57回目,2563850.000000,7839837.000000,7188875.000000,95.335700
58回目,2580344.000000,7785268.000000,7207423.000000,95.335700
59回目,2553084.000000,7920698.000000,7132075.000000,95.335700
60回目,2644540.000000,7896917.000000,7321937.000000,95.335700
61回目,2580344.000000,7921008.000000,7178153.000000,95.335700
62回目,2563850.000000,8021312.000000,6700519.000000,95.335700
63回目,2580344.000000,7753791.000000,7241299.000000,95.335700
64回目,2505024.000000,7797211.000000,7165311.000000,95.335700
65回目,2505024.000000,7498169.000000,7139659.000000,95.335700
66回目,2546920.000000,7673551.000000,7206051.000000,95.335700
67回目,2448442.000000,8010275.000000,7078861.000000,95.335700
68回目,2644540.000000,7755107.000000,7228977.000000,95.335700
69回目,2553084.000000,7616602.000000,7288997.000000,95.335700
70回目,2578926.000000,7812861.000000,6807873.000000,95.335700
71回目,2644540.000000,7834477.000000,7222193.000000,95.335700
72回目,2553084.000000,7840108.000000,7238865.000000,95.335700
73回目,2644540.000000,7815407.000000,7029055.000000,95.335700
74回目,2580344.000000,8009722.000000,7359863.000000,95.335700
75回目,2563676.000000,7793276.000000,7099191.000000,95.335700
76回目,2601796.000000,7782787.000000,7113389.000000,95.335700
77回目,2578926.000000,7919132.000000,6969395.000000,95.335700
78回目,2644540.000000,7673418.000000,7228917.000000,95.335700
79回目,2448442.000000,7834808.000000,7350297.000000,95.335700
80回目,2561680.000000,7497967.000000,7225375.000000,95.335700
81回目,2563676.000000,7813498.000000,7277483.000000,95.335700
82回目,2553084.000000,7813227.000000,7236275.000000,95.335700
83回目,2553084.000000,7821568.000000,7214073.000000,95.335700
84回目,2644540.000000,7753674.000000,7263651.000000,95.335700
85回目,2553084.000000,7782511.000000,7362741.000000,95.335700
86回目,2580344.000000,8021103.000000,7133081.000000,95.335700
87回目,2580344.000000,7755219.000000,7181757.000000,95.335700
88回目,2601796.000000,7813503.000000,7246221.000000,95.335700
89回目,2578926.000000,7740132.000000,7122107.000000,95.335700
90回目,2563850.000000,7740723.000000,7139563.000000,95.335700
91回目,2561680.000000,7673792.000000,7333891.000000,95.335700
92回目,2644540.000000,7616880.000000,7323587.000000,95.335700
93回目,2553084.000000,7758294.000000,7048619.000000,95.335700
94回目,2578926.000000,7718403.000000,7196215.000000,95.335700
95回目,2561680.000000,7758285.000000,7078521.000000,95.335700
96回目,2580344.000000,7921351.000000,7172859.000000,95.335700
97回目,2546920.000000,7875372.000000,7270299.000000,95.335700
98回目,2553084.000000,7673204.000000,7418027.000000,95.335700
99回目,2448442.000000,7719172.000000,7092745.000000,95.335700
100回目,2578926.000000,7740712.000000,7305465.000000,95.335700
101回目,2563676.000000,7719356.000000,7217419.000000,95.335700
102回目,2553084.000000,7896699.000000,7141795.000000,95.335700
103回目,2578926.000000,7825455.000000,7011813.000000,95.335700
104回目,2448442.000000,7776014.000000,7174041.000000,95.335700
105回目,2505024.000000,7875824.000000,6991465.000000,95.335700
106回目,2561680.000000,7837682.000000,7249061.000000,95.335700
107回目,2578926.000000,7837603.000000,7543371.000000,95.335700
108回目,2561680.000000,7793758.000000,7310745.000000,95.335700
109回目,2601796.000000,7899582.000000,7073245.000000,95.335700
110回目,2580344.000000,7896188.000000,7033949.000000,95.335700
111回目,2644540.000000,7814247.000000,6946857.000000,95.335700
112回目,2644540.000000,7875838.000000,7208821.000000,95.335700
113回目,2448442.000000,7803663.000000,6919955.000000,95.335700
114回目,2578926.000000,7497920.000000,7167469.000000,95.335700
115回目,2644540.000000,7813617.000000,7153137.000000,95.335700
116回目,2578926.000000,7814097.000000,7262347.000000,95.335700
117回目,2601796.000000,7804567.000000,7284799.000000,95.335700
118回目,2563676.000000,7813252.000000,7211377.000000,95.335700
119回目,2546920.000000,7839585.000000,7238681.000000,95.335700
120回目,2644540.000000,7825972.000000,7290779.000000,95.335700
121回目,2580344.000000,7840642.000000,7161685.000000,95.335700
122回目,2563676.000000,7804851.000000,7305373.000000,95.335700
123回目,2448442.000000,7784893.000000,7287779.000000,95.335700
124回目,2601796.000000,7820666.000000,7227809.000000,95.335700
125回目,2448442.000000,7861877.000000,7215811.000000,95.335700
126回目,2578926.000000,7920543.000000,7100483.000000,95.335700
127回目,2601796.000000,8010157.000000,7231729.000000,95.335700
128回目,2553084.000000,7762308.000000,7024603.000000,95.335700
129回目,2563850.000000,7988580.000000,7166061.000000,95.335700
130回目,2561680.000000,7812451.000000,7110697.000000,95.335700
131回目,2561680.000000,7834451.000000,7207301.000000,95.335700
132回目,2578926.000000,7826275.000000,7263159.000000,95.335700
133回目,2546920.000000,7821227.000000,7288475.000000,95.335700
134回目,2561680.000000,7755292.000000,7206221.000000,95.335700
135回目,2553084.000000,7617757.000000,7160571.000000,95.335700
136回目,2563676.000000,7826484.000000,7083395.000000,95.335700
137回目,2546920.000000,7875785.000000,7276949.000000,95.335700
138回目,2505024.000000,7862560.000000,7250161.000000,95.335700
139回目,2601796.000000,7753061.000000,7272555.000000,95.335700
140回目,2546920.000000,7782961.000000,7300221.000000,95.335700
141回目,2561680.000000,7814867.000000,7125471.000000,95.335700
142回目,2563850.000000,7897353.000000,7242361.000000,95.335700
143回目,2546920.000000,7812571.000000,7114733.000000,95.335700
144回目,2448442.000000,8009931.000000,7214885.000000,95.335700
145回目,2563850.000000,7839921.000000,7201463.000000,95.335700
146回目,2644540.000000,7921694.000000,7110167.000000,95.335700
147回目,2563676.000000,7486041.000000,7181145.000000,95.335700
148回目,2563676.000000,7755879.000000,7283865.000000,95.335700
149回目,2601796.000000,7825494.000000,7201673.000000,95.335700
150回目,2563676.000000,7541080.000000,7182495.000000,95.335700
151回目,2505024.000000,7784667.000000,7330333.000000,95.335700
152回目,2561680.000000,7900208.000000,7072519.000000,95.335700
153回目,2644540.000000,7519494.000000,7134375.000000,95.335700
154回目,2563676.000000,7761665.000000,7254007.000000,95.335700
155回目,2553084.000000,7813167.000000,7287859.000000,95.335700
156回目,2563850.000000,7785088.000000,7164153.000000,95.335700
157回目,2644540.000000,7783277.000000,7172173.000000,95.335700
158回目,2505024.000000,7754852.000000,7282369.000000,95.335700
159回目,2601796.000000,8032043.000000,7207439.000000,95.335700
160回目,2601796.000000,7753606.000000,7345097.000000,95.335700
161回目,2580344.000000,7718994.000000,7359531.000000,95.335700
162回目,2578926.000000,7835058.000000,7201923.000000,95.335700
163回目,2448442.000000,7834879.000000,7146819.000000,95.335700
164回目,2546920.000000,7751541.000000,7350473.000000,95.335700
165回目,2561680.000000,7988499.000000,7351845.000000,95.335700
166回目,2644540.000000,7739863.000000,7157559.000000,95.335700
167回目,2563850.000000,7739793.000000,7128499.000000,95.335700
168回目,2644540.000000,7821394.000000,7133595.000000,95.335700
169回目,2601796.000000,7875287.000000,7319351.000000,95.335700
170回目,2578926.000000,7813465.000000,7142285.000000,95.335700
171回目,2553084.000000,7740552.000000,7187661.000000,95.335700
172回目,2561680.000000,7815056.000000,6681009.000000,95.335700
173回目,2448442.000000,7750086.000000,7264153.000000,95.335700
174回目,2601796.000000,7803748.000000,7284025.000000,95.335700
175回目,2580344.000000,7836926.000000,7295373.000000,95.335700
176回目,2553084.000000,7798136.000000,7308807.000000,95.335700
177回目,2553084.000000,7918681.000000,7387357.000000,95.335700
178回目,2601796.000000,8020591.000000,7344367.000000,95.335700
179回目,2563850.000000,7486103.000000,7050549.000000,95.335700
180回目,2601796.000000,7918867.000000,7218317.000000,95.335700
181回目,2546920.000000,7837528.000000,7360961.000000,95.335700
182回目,2601796.000000,7540693.000000,7292233.000000,95.335700
183回目,2505024.000000,7805865.000000,7270737.000000,95.335700
184回目,2578926.000000,7804359.000000,7057425.000000,95.335700
185回目,2563850.000000,7782739.000000,7285673.000000,95.335700
186回目,2505024.000000,7782493.000000,7136343.000000,95.335700
187回目,2644540.000000,7783163.000000,7412929.000000,95.335700
188回目,2546920.000000,7803995.000000,7108595.000000,95.335700
189回目,2578926.000000,7862115.000000,7278469.000000,95.335700
190回目,2553084.000000,7783207.000000,7283525.000000,95.335700
191回目,2448442.000000,7806617.000000,6843301.000000,95.335700
192回目,2601796.000000,7920563.000000,7285113.000000,95.335700
193回目,2563850.000000,7826446.000000,7267505.000000,95.335700
194回目,2601796.000000,7813242.000000,7325265.000000,95.335700
195回目,2601796.000000,7812910.000000,6820003.000000,95.335700
196回目,2563676.000000,7840311.000000,7041353.000000,95.335700
197回目,2578926.000000,7883472.000000,7169647.000000,95.335700
198回目,2546920.000000,7837506.000000,7199195.000000,95.335700
199回目,2578926.000000,7750940.000000,7110879.000000,95.335700
200回目,2448442.000000,7918382.000000,7141487.000000,95.335700
201回目,2644540.000000,7814957.000000,7493365.000000,95.335700
202回目,2578926.000000,7806695.000000,7227427.000000,95.335700
203回目,2601796.000000,7783109.000000,7261665.000000,95.335700
204回目,2580344.000000,7797634.000000,7369227.000000,95.335700
205回目,2644540.000000,7861440.000000,7294053.000000,95.335700
206回目,2578926.000000,8020723.000000,7223201.000000,95.335700
207回目,2553084.000000,7834516.000000,7209437.000000,95.335700
208回目,2448442.000000,7753604.000000,7316777.000000,95.335700
209回目,2563850.000000,7919038.000000,7145453.000000,95.335700
210回目,2563676.000000,7639310.000000,7123861.000000,95.335700
211回目,2553084.000000,8021600.000000,7172585.000000,95.335700
212回目,2561680.000000,7776612.000000,7077735.000000,95.335700
213回目,2553084.000000,7741075.000000,7169425.000000,95.335700
214回目,2505024.000000,7783344.000000,7166369.000000,95.335700
215回目,2580344.000000,7826728.000000,7265207.000000,95.335700
216回目,2448442.000000,7813032.000000,7135865.000000,95.335700
217回目,2505024.000000,7875165.000000,7188093.000000,95.335700
218回目,2546920.000000,7862136.000000,7036771.000000,95.335700
219回目,2580344.000000,7785237.000000,7202755.000000,95.335700
220回目,2563850.000000,7897401.000000,7206201.000000,95.335700
221回目,2580344.000000,7751328.000000,7332321.000000,95.335700
222回目,2448442.000000,7782789.000000,7125111.000000,95.335700
223回目,2505024.000000,7673914.000000,7044609.000000,95.335700
224回目,2580344.000000,7897098.000000,7111739.000000,95.335700
225回目,2578926.000000,7793685.000000,7093511.000000,95.335700
226回目,2580344.000000,7794132.000000,7275621.000000,95.335700
227回目,2553084.000000,7989263.000000,7084373.000000,95.335700
228回目,2580344.000000,7862150.000000,7159533.000000,95.335700
229回目,2448442.000000,7861982.000000,7261707.000000,95.335700
230回目,2546920.000000,7672560.000000,7239891.000000,95.335700
231回目,2546920.000000,7519110.000000,7079427.000000,95.335700
232回目,2580344.000000,7896805.000000,7062781.000000,95.335700
233回目,2553084.000000,7836282.000000,6992117.000000,95.335700
234回目,2601796.000000,7839724.000000,7054597.000000,95.335700
235回目,2580344.000000,7812290.000000,7123083.000000,95.335700
236回目,2505024.000000,7825967.000000,7192265.000000,95.335700
237回目,2553084.000000,7899558.000000,7161431.000000,95.335700
238回目,2601796.000000,7837627.000000,7301781.000000,95.335700
239回目,2580344.000000,7719751.000000,7305325.000000,95.335700
240回目,2644540.000000,7988281.000000,7273781.000000,95.335700
241回目,2580344.000000,7825989.000000,7172247.000000,95.335700
242回目,2601796.000000,7861497.000000,7349537.000000,95.335700
243回目,2563850.000000,7834230.000000,7004831.000000,95.335700
244回目,2505024.000000,7762398.000000,7231909.000000,95.335700
245回目,2578926.000000,7758554.000000,7299425.000000,95.335700
246回目,2553084.000000,7812984.000000,7218661.000000,95.335700
247回目,2580344.000000,7794231.000000,7253291.000000,95.335700
248回目,2553084.000000,7751090.000000,7097339.000000,95.335700
249回目,2563850.000000,7826348.000000,7020277.000000,95.335700
250回目,2546920.000000,7783187.000000,6890107.000000,95.335700
