Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,50.000000,19.463100,21.476500,95.335700
2回目,48.484800,19.463100,20.469800,95.335700
3回目,50.000000,20.202000,21.812100,95.335700
4回目,50.335600,23.825500,21.812100,95.335700
5回目,51.342300,21.548800,20.805400,95.335700
6回目,52.684600,21.140900,19.798700,95.335700
7回目,50.335600,19.798700,20.134200,95.335700
8回目,48.993300,19.463100,21.812100,95.335700
9回目,50.000000,21.140900,20.134200,95.335700
10回目,47.315400,19.798700,18.518500,95.335700
11回目,51.677900,20.805400,20.134200,95.335700
12回目,52.684600,21.140900,19.127500,95.335700
13回目,48.484800,20.202000,21.140900,95.335700
14回目,51.677900,18.120800,19.127500,95.335700
15回目,51.006700,19.127500,21.476500,95.335700
16回目,56.040300,21.548800,22.483200,95.335700
17回目,51.006700,19.127500,19.127500,95.335700
18回目,50.000000,19.798700,20.469800,95.335700
19回目,47.315400,19.127500,19.528600,95.335700
20回目,51.006700,19.463100,46.464600,95.335700
21回目,50.000000,25.167800,20.875400,95.335700
22回目,47.315400,20.134200,21.140900,95.335700
23回目,48.484800,18.791900,19.127500,95.335700
24回目,51.342300,18.120800,21.548800,95.335700
25回目,51.342300,24.496600,22.147700,95.335700
26回目,48.484800,20.134200,20.805400,95.335700
27回目,56.040300,19.463100,19.798700,95.335700
28回目,51.677900,23.825500,22.818800,95.335700
29回目,47.315400,20.469800,20.805400,95.335700
30回目,47.315400,19.463100,25.252500,95.335700
31回目,51.677900,21.140900,26.174500,95.335700
32回目,51.006700,20.805400,21.140900,95.335700
33回目,50.335600,20.134200,19.865300,95.335700
34回目,48.993300,20.134200,23.154400,95.335700
35回目,51.006700,19.463100,19.798700,95.335700
36回目,47.315400,21.140900,18.456400,95.335700
37回目,51.342300,18.791900,19.127500,95.335700
38回目,52.684600,19.798700,48.993300,95.335700
39回目,50.335600,19.463100,19.798700,95.335700
40回目,50.000000,21.548800,20.469800,95.335700
41回目,47.315400,20.202000,21.140900,95.335700
42回目,48.484800,19.463100,20.805400,95.335700
43回目,51.677900,18.791900,20.805400,95.335700
44回目,48.484800,20.469800,19.127500,95.335700
45回目,50.000000,19.798700,19.798700,95.335700
46回目,50.335600,21.140900,19.798700,95.335700
47回目,48.993300,18.791900,20.202000,95.335700
48回目,52.684600,19.798700,23.825500,95.335700
49回目,50.000000,20.134200,20.805400,95.335700
50回目,52.684600,19.798700,20.469800,95.335700
51回目,48.484800,19.463100,20.134200,95.335700
52回目,48.484800,18.120800,20.805400,95.335700
53回目,52.684600,19.463100,21.140900,95.335700
54回目,51.006700,19.463100,21.140900,95.335700
55回目,51.677900,20.805400,21.476500,95.335700
56回目,47.315400,25.167800,20.469800,95.335700
57回目,48.993300,20.805400,23.489900,95.335700
58回目,51.006700,19.127500,20.469800,95.335700
59回目,51.342300,18.791900,20.134200,95.335700
60回目,52.684600,19.463100,20.805400,95.335700
61回目,51.006700,18.791900,20.469800,95.335700
62回目,48.993300,19.798700,53.535400,95.335700
63回目,51.006700,24.496600,20.469800,95.335700
64回目,48.484800,20.134200,22.147700,95.335700
65回目,48.484800,18.791900,19.463100,95.335700
66回目,51.342300,20.134200,20.469800,95.335700
67回目,56.040300,21.548800,20.134200,95.335700
