PDR,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,48.657700,79.931300,77.580300,95.335700
134回目,52.013400,79.931300,78.936700,95.335700
135回目,47.986600,81.932900,79.595400,95.335700
136回目,48.993300,74.905900,80.938800,95.335700
137回目,48.657700,80.602900,79.259600,95.335700
138回目,50.841800,79.256200,80.874600,95.335700
139回目,46.308700,75.561300,79.918100,95.335700
140回目,48.657700,80.602900,79.233600,95.335700
141回目,52.013400,80.253900,80.938800,95.335700
142回目,51.006700,80.602900,78.252000,95.335700
143回目,48.657700,81.959800,76.237000,95.335700
144回目,43.288600,78.515700,79.918100,95.335700
145回目,51.006700,79.256200,78.252000,95.335700
146回目,45.973200,81.261300,81.548500,95.335700
147回目,48.993300,82.268700,79.931300,95.335700
148回目,48.993300,79.595400,79.595400,95.335700
149回目,46.308700,74.905900,80.616200,95.335700
150回目,48.993300,81.261300,80.874600,95.335700
151回目,50.841800,80.938800,79.582400,95.335700
152回目,52.013400,81.261300,80.602900,95.335700
153回目,45.973200,81.261300,80.576500,95.335700
154回目,48.993300,78.923700,81.597100,95.335700
155回目,47.986600,81.959800,78.923700,95.335700
156回目,51.006700,80.938800,79.189700,95.335700
157回目,45.973200,80.602900,78.252000,95.335700
158回目,50.841800,79.931300,79.931300,95.335700
159回目,46.308700,78.515700,80.280300,95.335700
160回目,46.308700,75.561300,76.547700,95.335700
161回目,48.993300,78.923700,75.217100,95.335700
162回目,49.328900,81.959800,79.582400,95.335700
163回目,43.288600,81.959800,80.938800,95.335700
164回目,48.657700,80.602900,79.233600,95.335700
165回目,52.013400,78.515700,80.253900,95.335700
166回目,45.973200,78.923700,79.931300,95.335700
167回目,51.006700,78.923700,80.267100,95.335700
168回目,45.973200,79.931300,81.274600,95.335700
169回目,46.308700,80.602900,78.226400,95.335700
170回目,49.328900,81.959800,80.925500,95.335700
171回目,47.986600,78.923700,77.929000,95.335700
172回目,52.013400,80.253900,46.346700,95.335700
173回目,43.288600,80.602900,80.280300,95.335700
174回目,46.308700,80.602900,80.925500,95.335700
175回目,48.993300,79.863600,80.938800,95.335700
176回目,47.986600,79.931300,78.562100,95.335700
177回目,47.986600,80.602900,80.200600,95.335700
178回目,46.308700,80.253900,79.918100,95.335700
179回目,51.006700,82.268700,82.940300,95.335700
180回目,46.308700,80.602900,80.253900,95.335700
181回目,48.657700,80.253900,79.905000,95.335700
182回目,46.308700,81.261300,78.923700,95.335700
183回目,50.841800,80.938800,80.253900,95.335700
184回目,49.328900,80.602900,74.893600,95.335700
185回目,51.006700,80.602900,80.240800,95.335700
186回目,50.841800,80.602900,75.204800,95.335700
187回目,45.973200,80.602900,79.272600,95.335700
188回目,48.657700,80.602900,77.593100,95.335700
189回目,49.328900,79.256200,79.259600,95.335700
190回目,47.986600,80.602900,79.233600,95.335700
191回目,43.288600,80.938800,51.384400,95.335700
192回目,46.308700,81.261300,79.259600,95.335700
193回目,51.006700,74.905900,80.589700,95.335700
194回目,46.308700,81.959800,78.252000,95.335700
195回目,46.308700,81.959800,80.602900,95.335700
196回目,48.993300,79.256200,76.572800,95.335700
197回目,49.328900,79.256200,79.863600,95.335700
198回目,48.657700,80.253900,79.608500,95.335700
199回目,49.328900,80.602900,81.548500,95.335700
200回目,43.288600,80.602900,80.267100,95.335700
201回目,45.973200,80.253900,78.910800,95.335700
202回目,49.328900,80.938800,80.938800,95.335700
203回目,46.308700,80.602900,81.274600,95.335700
204回目,48.993300,79.931300,78.897800,95.335700
205回目,45.973200,79.256200,80.240800,95.335700
206回目,49.328900,80.253900,79.595400,95.335700
207回目,47.986600,81.959800,80.602900,95.335700
208回目,43.288600,75.561300,78.897800,95.335700
209回目,51.006700,80.602900,80.589700,95.335700
210回目,48.993300,81.932900,80.602900,95.335700
211回目,47.986600,80.253900,83.289700,95.335700
212回目,52.013400,79.931300,80.267100,95.335700
213回目,47.986600,79.259600,80.938800,95.335700
214回目,50.841800,80.602900,80.938800,95.335700
215回目,48.993300,74.905900,80.938800,95.335700
216回目,43.288600,81.959800,79.931300,95.335700
217回目,50.841800,80.602900,80.952100,95.335700
218回目,48.657700,79.256200,80.602900,95.335700
219回目,48.993300,80.938800,79.272600,95.335700
220回目,51.006700,80.602900,74.234000,95.335700
221回目,48.993300,80.602900,79.246600,95.335700
222回目,43.288600,80.602900,79.595400,95.335700
223回目,50.841800,79.918100,79.569300,95.335700
224回目,48.993300,80.602900,81.211500,95.335700
225回目,49.328900,80.253900,79.595400,95.335700
226回目,48.993300,80.253900,77.167800,95.335700
227回目,47.986600,78.515700,78.587900,95.335700
228回目,48.993300,79.256200,78.923700,95.335700
229回目,43.288600,79.256200,75.819900,95.335700
230回目,48.657700,79.918100,80.602900,95.335700
231回目,48.657700,81.261300,78.923700,95.335700
232回目,48.993300,80.602900,80.602900,95.335700
233回目,47.986600,80.253900,81.610500,95.335700
234回目,46.308700,79.256200,78.587900,95.335700
235回目,48.993300,81.959800,76.585400,95.335700
236回目,50.841800,80.602900,79.608500,95.335700
237回目,47.986600,81.261300,77.580300,95.335700
238回目,46.308700,79.863600,79.582400,95.335700
239回目,48.993300,78.923700,78.252000,95.335700
240回目,45.973200,78.515700,81.248000,95.335700
241回目,48.993300,74.905900,81.274600,95.335700
242回目,46.308700,79.256200,79.246600,95.335700
243回目,51.006700,81.959800,80.602900,95.335700
244回目,50.841800,78.923700,78.252000,95.335700
245回目,49.328900,76.237000,78.252000,95.335700
246回目,47.986600,78.587900,80.253900,95.335700
247回目,48.993300,80.253900,76.921300,95.335700
248回目,47.986600,80.602900,80.537600,95.335700
249回目,51.006700,74.905900,80.267100,95.335700
250回目,48.657700,80.602900,77.580300,95.335700
