GenerateSignatureTime,NPGPSR,NDGPSR
1回目,368.424000,31.281900
2回目,370.402000,31.612700
3回目,369.232000,31.151200
4回目,370.178000,31.372000
5回目,367.089000,30.997300
6回目,369.838000,31.074100
7回目,368.160000,31.200200
8回目,369.557000,31.164300
9回目,366.854000,31.140800
10回目,370.045000,31.732400
11回目,368.028000,31.431200
12回目,371.057000,31.212300
13回目,369.309000,31.007000
14回目,369.060000,31.449800
15回目,370.686000,31.440500
16回目,369.671000,31.302200
17回目,367.891000,31.607700
18回目,371.286000,30.887500
19回目,370.410000,31.388100
20回目,371.061000,31.390000
21回目,371.651000,31.240500
22回目,371.075000,31.421500
23回目,368.655000,31.125400
24回目,371.291000,31.377400
25回目,371.432000,31.038100
26回目,370.305000,31.508100
27回目,370.594000,31.240800
28回目,371.043000,31.204600
29回目,366.636000,31.063800
30回目,369.299000,31.317500
31回目,367.439000,31.072200
32回目,371.395000,31.657600
33回目,370.004000,31.291100
34回目,370.392000,31.390000
35回目,369.394000,31.120200
36回目,367.240000,31.384100
37回目,369.921000,31.312600
38回目,371.698000,31.229000
39回目,366.957000,31.078100
40回目,369.958000,31.614800
41回目,369.901000,31.281900
42回目,370.164000,31.168500
43回目,370.150000,31.232900
44回目,370.005000,31.239400
45回目,369.583000,32.025200
46回目,369.552000,31.417400
47回目,371.082000,31.386800
48回目,371.624000,31.107200
49回目,368.715000,31.397300
50回目,367.771000,31.031600
51回目,366.992000,31.260800
52回目,371.628000,31.347700
53回目,368.892000,31.218700
54回目,367.837000,31.493700
55回目,370.364000,31.313700
56回目,369.572000,31.274300
57回目,367.660000,31.122900
58回目,370.277000,31.301000
59回目,368.167000,31.365400
60回目,367.402000,31.185200
61回目,368.417000,31.165400
62回目,371.124000,31.285100
63回目,371.162000,31.091700
64回目,369.796000,31.303000
65回目,369.215000,31.528900
66回目,370.288000,31.236200
67回目,369.555000,31.004300
68回目,369.205000,31.406300
69回目,371.723000,31.631600
70回目,370.821000,31.456600
71回目,367.496000,31.577500
72回目,370.071000,31.362800
73回目,371.212000,31.329600
74回目,368.912000,31.473100
75回目,370.698000,31.313200
76回目,367.466000,31.390300
77回目,368.704000,31.566300
78回目,370.334000,31.394900
79回目,369.290000,31.418800
80回目,370.499000,31.695000
81回目,368.364000,31.186000
82回目,371.593000,31.591000
83回目,370.434000,31.288700
84回目,369.544000,31.432300
85回目,369.891000,30.998900
86回目,371.258000,31.236900
87回目,367.522000,31.585900
88回目,371.146000,31.398900
89回目,366.718000,31.567200
90回目,370.900000,31.182500
91回目,368.133000,31.504700
92回目,371.740000,31.256300
93回目,367.689000,30.891700
94回目,367.159000,31.287300
95回目,368.330000,31.598800
96回目,370.821000,31.404700
97回目,371.699000,31.577400
98回目,370.617000,31.106900
99回目,369.980000,31.387400
100回目,370.508000,30.847300
101回目,368.959000,31.588200
102回目,370.589000,31.579400
103回目,369.264000,31.358000
104回目,370.087000,31.694100
105回目,369.010000,30.964200
106回目,370.306000,31.538400
107回目,371.269000,31.440100
108回目,369.801000,31.303400
109回目,370.718000,31.048900
110回目,367.823000,31.588000
111回目,368.581000,31.335300
112回目,366.868000,31.453400
113回目,368.813000,31.021100
114回目,369.594000,31.365600
115回目,371.033000,31.429100
116回目,370.949000,31.155900
117回目,369.245000,31.249700
118回目,370.891000,31.149600
119回目,369.722000,31.231300
120回目,371.112000,31.507700
121回目,368.976000,31.223200
122回目,367.401000,31.279400
123回目,367.086000,31.327900
124回目,368.708000,31.438100
125回目,370.061000,31.690800
126回目,369.264000,31.127200
127回目,367.852000,30.991900
128回目,369.757000,31.365800
129回目,371.341000,31.406500
130回目,370.137000,31.601000
131回目,369.570000,31.335500
132回目,371.187000,31.486300
133回目,371.163000,31.473500
134回目,369.279000,31.604500
135回目,371.369000,31.343600
136回目,369.767000,31.200100
137回目,366.756000,31.485200
138回目,370.828000,31.200800
139回目,371.114000,31.271300
140回目,368.435000,31.455200
141回目,371.206000,30.974700
142回目,371.862000,31.185900
143回目,369.267000,31.415500
144回目,368.905000,31.247100
145回目,369.272000,31.382800
146回目,370.560000,30.955500
147回目,371.177000,31.546800
148回目,367.801000,30.934800
149回目,366.021000,31.413300
150回目,370.240000,31.281300
151回目,371.472000,31.046600
152回目,370.101000,31.083400
153回目,370.992000,31.406800
154回目,370.763000,31.389600
155回目,366.191000,31.205100
156回目,366.117000,31.144700
157回目,367.916000,31.236800
158回目,369.722000,31.570200
159回目,369.875000,31.047500
160回目,370.650000,31.307300
161回目,369.793000,31.420900
162回目,369.013000,31.410700
163回目,366.001000,31.550300
164回目,368.629000,31.405200
165回目,366.530000,31.382300
166回目,370.935000,31.636500
167回目,372.221000,31.297900
168回目,371.029000,31.563100
169回目,367.548000,31.568500
170回目,370.551000,31.227800
171回目,372.190000,31.615400
172回目,369.811000,31.092200
173回目,367.633000,31.450300
174回目,369.597000,31.442100
175回目,370.931000,31.347200
176回目,370.094000,31.720800
177回目,370.690000,31.337500
178回目,370.834000,31.236700
179回目,368.643000,31.324800
180回目,369.907000,30.864100
181回目,368.946000,31.256500
182回目,371.631000,31.550100
183回目,370.319000,31.343200
184回目,370.355000,31.790900
185回目,366.747000,31.158500
186回目,369.558000,31.376600
187回目,371.375000,31.150800
188回目,366.981000,31.737000
189回目,370.539000,31.535000
190回目,369.324000,31.434400
191回目,369.633000,31.319600
192回目,369.986000,31.425000
193回目,371.092000,31.235300
194回目,369.508000,31.332900
195回目,370.640000,31.505300
196回目,371.274000,31.191300
197回目,370.891000,31.250800
198回目,371.037000,31.431200
199回目,369.243000,31.140900
200回目,367.095000,31.201800
201回目,369.175000,31.252100
202回目,370.176000,31.021100
203回目,371.607000,31.205500
204回目,371.108000,31.385600
205回目,370.987000,31.391200
206回目,369.109000,31.887200
207回目,368.257000,31.478300
208回目,368.596000,31.495400
209回目,369.442000,31.468500
210回目,368.005000,31.243600
211回目,370.778000,31.610500
212回目,372.102000,31.329900
213回目,369.971000,31.397600
214回目,370.871000,31.184800
215回目,370.900000,31.006200
216回目,370.442000,30.726600
217回目,369.720000,31.455000
218回目,369.036000,31.306900
219回目,368.357000,31.543300
220回目,369.835000,31.364200
221回目,375.758000,31.410000
222回目,366.862000,31.385600
223回目,368.209000,31.531800
224回目,368.022000,30.936500
225回目,371.280000,31.369200
226回目,370.922000,31.011400
227回目,371.926000,31.325400
228回目,371.125000,31.223800
229回目,367.944000,31.371300
230回目,370.311000,31.454500
231回目,371.687000,31.510900
232回目,369.776000,31.459900
233回目,368.496000,31.051600
234回目,370.274000,31.626300
235回目,372.047000,31.201300
236回目,370.384000,31.452000
237回目,369.007000,31.110500
238回目,370.021000,31.366500
239回目,367.546000,31.352900
240回目,371.550000,31.437500
241回目,369.271000,31.200600
242回目,369.860000,31.294000
243回目,368.580000,31.458000
244回目,366.781000,31.491000
245回目,370.596000,31.174000
246回目,370.632000,31.394000
247回目,369.080000,31.212700
248回目,369.255000,31.400000
249回目,370.006000,31.556600
250回目,367.741000,31.441800
