VerifySignatureTime,NPGPSR,NDGPSR
1回目,334.207000,96.302700
2回目,336.035000,96.811600
3回目,335.827000,97.164300
4回目,335.840000,96.871800
5回目,334.082000,96.952900
6回目,335.586000,96.803300
7回目,335.522000,96.458500
8回目,335.701000,96.059200
9回目,333.549000,95.905100
10回目,335.939000,97.161900
11回目,334.334000,97.547000
12回目,336.702000,96.297600
13回目,335.212000,96.674500
14回目,335.142000,97.312500
15回目,336.577000,97.145200
16回目,336.759000,97.160400
17回目,334.604000,96.986600
18回目,337.087000,96.268600
19回目,336.974000,97.041700
20回目,336.992000,97.145900
21回目,337.100000,96.637600
22回目,336.796000,97.033700
23回目,335.494000,97.050000
24回目,337.524000,96.687800
25回目,337.240000,96.572900
26回目,336.204000,97.288200
27回目,336.500000,96.691400
28回目,337.349000,96.382200
29回目,332.961000,97.234200
30回目,335.432000,97.876300
31回目,333.191000,96.872800
32回目,337.921000,97.758400
33回目,336.122000,97.822400
34回目,336.199000,97.664000
35回目,335.418000,96.375400
36回目,333.171000,97.015400
37回目,335.682000,97.021200
38回目,337.779000,96.252700
39回目,333.240000,95.962800
40回目,335.812000,97.250400
41回目,336.384000,96.774400
42回目,336.077000,96.495600
43回目,337.019000,96.624100
44回目,336.363000,96.730500
45回目,335.539000,97.227200
46回目,335.412000,97.334300
47回目,336.866000,97.323000
48回目,337.489000,96.468300
49回目,334.277000,97.046500
50回目,333.404000,96.398300
51回目,333.441000,96.841100
52回目,337.706000,97.116400
53回目,334.852000,96.374300
54回目,334.238000,96.481500
55回目,335.239000,97.231600
56回目,335.535000,96.224300
57回目,334.125000,95.485200
58回目,337.004000,97.057100
59回目,334.309000,96.856400
60回目,333.661000,95.895000
61回目,334.559000,96.805400
62回目,337.651000,97.236400
63回目,336.841000,95.286100
64回目,335.661000,96.478500
65回目,334.929000,97.273400
66回目,335.516000,96.892400
67回目,335.660000,96.012100
68回目,335.394000,97.534900
69回目,337.640000,97.429400
70回目,336.727000,97.011900
71回目,334.294000,97.499200
72回目,336.227000,97.587200
73回目,337.410000,97.645300
74回目,334.604000,97.165400
75回目,336.495000,97.305300
76回目,333.805000,97.825600
77回目,334.787000,97.279200
78回目,336.155000,96.866300
79回目,335.580000,97.639300
80回目,336.705000,97.471500
81回目,334.904000,96.108500
82回目,336.861000,97.536800
83回目,336.052000,97.050300
84回目,335.425000,97.602600
85回目,335.626000,96.748600
86回目,337.082000,97.090300
87回目,333.710000,96.971900
88回目,336.949000,97.250600
89回目,333.038000,97.149000
90回目,336.451000,96.105100
91回目,334.656000,97.529200
92回目,337.127000,96.695300
93回目,333.998000,94.821300
94回目,333.281000,96.018300
95回目,334.420000,97.969800
96回目,336.690000,97.058600
97回目,337.246000,97.637600
98回目,337.113000,96.358300
99回目,336.063000,96.982200
100回目,336.538000,95.932900
101回目,334.814000,97.206600
102回目,337.184000,98.188800
103回目,335.189000,97.285500
104回目,336.134000,96.686100
105回目,336.237000,95.877500
106回目,336.772000,98.077800
107回目,337.234000,97.711300
108回目,335.979000,97.488800
109回目,336.869000,95.995000
110回目,333.191000,97.607900
111回目,334.281000,96.456800
112回目,333.197000,97.261200
113回目,334.985000,96.329300
114回目,335.572000,97.318200
115回目,336.715000,97.072400
116回目,338.243000,96.827900
117回目,335.472000,95.968900
118回目,336.568000,96.780700
119回目,335.580000,96.601800
120回目,337.251000,97.654900
121回目,335.095000,96.374700
122回目,333.133000,97.126800
123回目,333.022000,97.663000
124回目,334.749000,97.383200
125回目,336.262000,97.819600
126回目,335.032000,97.294800
127回目,333.559000,96.092300
128回目,335.683000,97.162000
129回目,337.811000,97.314600
130回目,336.236000,96.966500
131回目,335.211000,97.511900
132回目,337.076000,98.033900
133回目,337.495000,97.027300
134回目,335.344000,97.450900
135回目,337.328000,97.551100
136回目,335.948000,96.360800
137回目,333.603000,97.998800
138回目,336.792000,96.475100
139回目,337.722000,96.925500
140回目,334.445000,97.029000
141回目,337.920000,95.949100
142回目,337.596000,96.321800
143回目,335.393000,97.023700
144回目,335.289000,96.818900
145回目,335.388000,97.990400
146回目,336.275000,95.752100
147回目,337.759000,97.116600
148回目,334.549000,95.894000
149回目,333.072000,97.169800
150回目,336.539000,96.918500
151回目,336.374000,96.253100
152回目,336.090000,96.783500
153回目,336.968000,97.054400
154回目,335.981000,97.490200
155回目,332.804000,97.089200
156回目,332.259000,96.366200
157回目,334.336000,97.626900
158回目,335.734000,96.811000
159回目,336.020000,95.547600
160回目,337.265000,97.538100
161回目,336.090000,96.681600
162回目,334.652000,97.376200
163回目,332.288000,97.699600
164回目,334.729000,96.530400
165回目,332.643000,96.364100
166回目,336.854000,97.140400
167回目,337.360000,96.967800
168回目,337.104000,96.592800
169回目,333.886000,97.876100
170回目,336.306000,96.755800
171回目,337.148000,97.630100
172回目,335.749000,96.311400
173回目,333.537000,97.608700
174回目,335.827000,96.378900
175回目,336.652000,97.586600
176回目,335.803000,96.298400
177回目,336.177000,97.346300
178回目,336.787000,96.118700
179回目,334.386000,97.403900
180回目,336.102000,94.905900
181回目,335.230000,96.891600
182回目,335.522000,96.818200
183回目,336.246000,96.936200
184回目,335.165000,97.590100
185回目,333.087000,96.859600
186回目,335.918000,96.994500
187回目,337.428000,96.761500
188回目,333.322000,96.825500
189回目,336.382000,97.623000
190回目,335.300000,97.565800
191回目,334.848000,96.844000
192回目,335.359000,96.690000
193回目,336.636000,96.409200
194回目,335.362000,97.130500
195回目,336.846000,97.295500
196回目,337.049000,96.318400
197回目,336.735000,96.030300
198回目,337.012000,97.304200
199回目,335.566000,96.974600
200回目,333.387000,96.525100
201回目,335.422000,97.517500
202回目,336.306000,96.714600
203回目,337.560000,96.078600
204回目,336.781000,96.946600
205回目,337.426000,97.576200
206回目,335.156000,97.282300
207回目,334.603000,96.483000
208回目,334.568000,97.423800
209回目,335.364000,96.329000
210回目,334.181000,97.140400
211回目,337.372000,98.155400
212回目,337.362000,97.015400
213回目,336.287000,96.664500
214回目,336.856000,95.932300
215回目,336.692000,95.604200
216回目,336.666000,95.360700
217回目,335.748000,97.271300
218回目,335.875000,96.504600
219回目,334.682000,97.534300
220回目,335.792000,96.721900
221回目,340.229000,96.928700
222回目,332.739000,97.326400
223回目,333.132000,98.053300
224回目,334.026000,95.929700
225回目,336.439000,96.434100
226回目,336.963000,95.768600
227回目,337.564000,96.888900
228回目,337.302000,95.458300
229回目,334.022000,97.013400
230回目,336.982000,97.880200
231回目,337.022000,97.393700
232回目,336.121000,98.093100
233回目,334.646000,96.706500
234回目,336.234000,97.304700
235回目,336.998000,96.879600
236回目,336.005000,96.992100
237回目,335.070000,96.741400
238回目,336.063000,97.330500
239回目,334.233000,97.452500
240回目,337.561000,96.828700
241回目,335.178000,97.033300
242回目,336.095000,96.805200
243回目,334.676000,96.799700
244回目,332.735000,96.955000
245回目,336.592000,95.961800
246回目,336.904000,97.211900
247回目,335.237000,96.481300
248回目,335.287000,97.358300
249回目,335.745000,97.832300
250回目,334.598000,97.003000
