Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,3.395840,3.873360,3.889740,3.681420
2回目,3.568930,3.794340,3.910540,3.810900
3回目,3.606480,3.890120,3.703080,3.982160
4回目,3.531350,3.848640,3.644030,3.740510
5回目,3.531350,3.890120,3.628220,3.810900
6回目,3.531350,3.907050,3.773180,3.773160
7回目,3.606480,3.869440,3.724310,3.794280
8回目,3.329030,3.869470,3.590840,3.836120
9回目,3.500930,3.831840,3.815310,3.740450
10回目,3.500930,3.810910,3.944620,3.836090
11回目,3.568930,3.869470,3.831900,3.740510
12回目,3.329030,3.606500,3.628270,3.794280
13回目,3.531350,3.628190,3.627920,3.836090
14回目,3.531370,3.890120,3.944620,3.719210
15回目,3.531350,3.810910,3.815240,3.740510
16回目,3.531350,3.869470,3.546770,3.982160
17回目,3.606480,3.713930,3.852720,3.740510
18回目,3.403830,3.890090,3.493770,3.740510
19回目,3.606480,3.643940,3.835910,3.681420
20回目,3.403830,3.907050,3.740470,3.740510
21回目,3.531370,3.890120,3.643910,3.773160
22回目,3.531350,3.643940,3.681580,3.740510
23回目,2.629670,3.890120,3.777910,3.740510
24回目,3.403830,3.848640,3.831750,3.740510
25回目,3.471320,3.869440,3.719200,3.740510
26回目,3.471320,3.810910,3.740440,3.836120
27回目,3.606480,3.981990,3.665690,3.836120
28回目,3.403830,3.831840,3.927360,3.836090
29回目,3.531370,3.810910,3.740200,3.982160
30回目,3.471320,3.848640,3.906980,3.740510
31回目,3.568930,3.890090,3.835910,3.740450
32回目,3.643990,3.719080,3.643940,3.836090
33回目,3.531370,3.848640,3.756630,3.794280
34回目,3.568930,3.869470,3.568920,3.773160
35回目,3.606480,3.907050,3.740470,3.681420
36回目,3.531370,3.890090,3.927400,3.740510
37回目,3.531370,3.831840,3.777890,3.740510
38回目,2.629670,3.810910,3.873070,3.740510
39回目,3.531370,3.848640,3.869330,3.773160
40回目,3.568930,3.869470,3.873370,3.740450
41回目,3.500930,3.890120,3.546770,3.982160
42回目,3.471320,3.848640,3.643800,3.982160
43回目,3.568930,3.606490,3.852720,3.836090
44回目,3.531370,3.628190,3.756770,3.719210
45回目,3.643990,3.643940,3.628000,3.794280
46回目,3.403830,3.777920,3.944620,3.681420
47回目,3.643990,3.890120,3.568850,3.740510
48回目,3.395840,3.869470,3.740510,3.836120
49回目,3.500930,3.810910,3.553460,3.740450
50回目,3.531350,3.869440,3.944620,3.740510
51回目,3.395840,3.869440,3.590780,3.794280
52回目,3.395840,3.890090,3.815320,3.740510
53回目,3.329030,3.964870,3.703050,3.810900
54回目,3.471320,3.890120,3.777890,3.836120
55回目,3.500930,3.869440,3.756770,3.773160
56回目,3.500930,3.810910,3.815320,3.836120
57回目,3.329030,3.740490,3.815310,3.836120
58回目,3.471320,3.981990,3.546790,3.719210
59回目,3.606480,3.810910,3.719060,3.836120
60回目,3.643990,3.719180,3.869300,3.740450
61回目,3.329030,3.873360,3.815190,3.836120
62回目,3.643990,3.643940,3.852420,3.794280
63回目,3.403830,3.628190,3.927490,3.794280
64回目,3.531350,3.777920,3.568750,3.773160
65回目,3.403830,3.869440,3.761600,3.836090
66回目,3.395840,3.628190,3.681620,3.982160
67回目,3.531350,3.869440,3.815320,3.740450
68回目,3.329030,3.740490,3.814920,3.773160
69回目,3.531350,3.777920,3.697680,3.982160
70回目,2.629670,3.606500,3.794330,3.740510
71回目,3.606480,3.713930,3.852730,3.719210
72回目,3.329030,3.810910,3.777840,3.740510
73回目,3.643990,3.907050,3.740480,3.982160
74回目,3.531370,3.890090,3.927500,3.740510
75回目,2.629670,3.873360,3.719200,3.740510
