SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,14.240900,70.302800,54.264100,24.169700
134回目,14.240200,69.963700,55.365000,24.578500
135回目,13.876800,70.997700,54.770900,25.036300
136回目,14.301100,73.013800,55.029700,24.587700
137回目,14.296300,70.917600,55.029900,24.482500
138回目,14.079300,68.960400,54.726700,24.146400
139回目,14.384800,69.537600,54.715700,24.474700
140回目,14.491900,69.826800,55.138000,24.543800
141回目,14.352700,69.569900,55.217300,24.626500
142回目,13.892900,69.995400,55.052900,24.642900
143回目,14.585800,69.825700,55.022500,24.493300
144回目,14.146500,70.205700,55.039300,24.368100
145回目,14.055700,69.183600,55.573200,24.531300
146回目,14.254600,70.202700,55.470800,24.556800
147回目,14.037400,70.317700,55.002600,24.728100
148回目,14.089400,70.564300,55.268800,24.758900
149回目,14.092400,70.022800,55.400500,24.394500
150回目,14.137700,69.181600,55.505600,24.335500
151回目,14.373300,69.400200,54.814200,24.461600
152回目,14.123100,70.415200,55.202800,24.404700
153回目,14.269900,69.584100,54.417700,24.324700
154回目,14.166800,70.278600,55.411600,24.670600
155回目,13.912300,69.442300,55.095600,24.656700
156回目,14.173800,70.299200,55.109500,23.905500
157回目,14.102800,69.602000,54.681200,24.664400
158回目,13.966800,69.301000,54.899400,24.659600
159回目,14.373200,70.210400,54.897300,24.516800
160回目,14.321800,70.030900,54.546900,23.813400
161回目,14.015500,71.253500,55.332000,24.536300
162回目,14.276100,69.241200,54.331200,24.394400
163回目,14.275300,69.917000,55.085400,24.033400
164回目,14.052600,70.836700,55.144800,24.413100
165回目,14.323200,69.867000,54.901100,24.382300
166回目,14.615700,70.194900,54.445700,24.003500
167回目,13.921800,68.743900,55.284700,24.420600
168回目,14.351300,69.707800,55.011100,24.200900
169回目,14.177000,69.163000,54.933300,24.475000
170回目,14.330300,69.486800,54.629000,24.317400
171回目,14.351200,70.191300,55.426500,24.578400
172回目,14.149900,69.729000,54.343400,23.928500
173回目,14.111900,69.763800,54.872000,24.528000
174回目,14.248700,70.509100,55.381300,24.090700
175回目,14.398700,68.502700,55.241800,24.461800
176回目,14.515300,69.890600,55.139100,24.160400
177回目,14.368200,69.978900,55.248900,24.657600
178回目,14.160400,69.272500,54.581200,24.204000
179回目,14.140800,69.904900,54.922100,24.498300
180回目,14.303200,69.537300,55.112300,24.572000
181回目,13.821500,69.662100,55.103900,24.605500
182回目,14.137700,69.953500,55.453500,24.094300
183回目,14.244400,69.689200,55.047700,24.495200
184回目,14.271700,70.494300,55.216300,24.192100
185回目,14.154100,69.927900,54.779500,24.548300
186回目,14.096900,69.078700,54.712600,24.158700
187回目,14.071400,69.737600,55.408400,24.225200
188回目,14.012100,70.807100,55.340200,24.608100
189回目,14.203400,69.291600,55.068400,24.351200
190回目,14.417700,69.875700,55.153700,24.642300
191回目,14.413200,70.335900,54.432800,23.951400
192回目,14.076800,70.524100,55.254400,24.246300
193回目,14.183800,69.512000,54.904400,24.379700
194回目,14.173600,69.403500,55.278300,24.446900
195回目,14.324500,70.189600,55.302100,24.260200
196回目,14.172700,70.032500,55.184000,24.677300
197回目,14.147100,69.648400,54.837100,24.534500
198回目,14.317800,70.252800,55.103700,24.598000
199回目,14.333500,70.295000,54.998900,24.260100
200回目,14.354900,69.418300,55.377100,24.553200
201回目,14.021800,69.784100,54.899300,24.650000
202回目,14.435100,69.936900,54.697900,24.328600
203回目,14.128600,69.489400,55.328900,24.566700
204回目,14.052400,69.306500,55.277700,24.040200
205回目,14.316500,69.991700,55.211600,23.907300
206回目,14.160000,70.403900,55.400200,24.396200
207回目,14.105900,69.587500,55.071000,24.695500
208回目,13.787400,69.353100,54.481500,24.432200
209回目,14.007400,70.400700,55.295800,24.456500
210回目,14.154100,69.595800,55.431400,24.417200
