Memory,GPSR,NGPSR,NPGPSR,NDGPSR
179回目,70580.000000,72264.000000,93676.000000,80764.000000
180回目,70884.000000,72380.000000,93680.000000,80384.000000
181回目,70796.000000,72108.000000,93756.000000,80676.000000
182回目,70944.000000,71728.000000,93692.000000,80476.000000
183回目,70948.000000,71964.000000,94120.000000,80864.000000
184回目,71100.000000,72116.000000,93652.000000,80884.000000
185回目,70792.000000,72380.000000,93952.000000,80908.000000
186回目,71300.000000,72000.000000,93952.000000,80456.000000
187回目,70612.000000,72332.000000,93968.000000,80484.000000
188回目,70544.000000,71844.000000,93904.000000,80244.000000
189回目,70768.000000,72004.000000,93536.000000,80888.000000
190回目,70884.000000,71680.000000,93800.000000,80928.000000
191回目,70908.000000,72004.000000,93644.000000,80540.000000
192回目,70920.000000,72248.000000,93960.000000,80496.000000
193回目,71020.000000,72016.000000,93868.000000,80212.000000
194回目,70796.000000,72088.000000,93956.000000,80488.000000
195回目,70948.000000,71876.000000,93396.000000,80584.000000
196回目,71208.000000,72336.000000,93652.000000,80828.000000
197回目,70788.000000,72192.000000,94080.000000,80532.000000
198回目,70772.000000,71880.000000,93676.000000,80756.000000
199回目,71012.000000,72004.000000,93832.000000,80684.000000
200回目,70768.000000,71840.000000,94124.000000,80784.000000
201回目,70900.000000,71964.000000,93772.000000,80724.000000
202回目,70616.000000,72248.000000,93972.000000,80468.000000
203回目,71204.000000,72016.000000,93768.000000,80132.000000
204回目,71100.000000,72064.000000,93492.000000,80708.000000
205回目,70772.000000,72112.000000,94028.000000,80208.000000
206回目,71032.000000,71824.000000,93412.000000,80804.000000
207回目,71040.000000,72376.000000,93928.000000,80676.000000
208回目,70888.000000,72080.000000,93616.000000,80704.000000
209回目,71300.000000,71736.000000,94044.000000,80752.000000
210回目,70796.000000,71728.000000,93664.000000,80792.000000
211回目,70976.000000,71668.000000,94112.000000,80800.000000
212回目,71204.000000,72108.000000,93632.000000,80764.000000
213回目,70796.000000,71724.000000,93720.000000,80696.000000
214回目,70768.000000,71844.000000,93700.000000,80820.000000
215回目,70912.000000,71844.000000,93704.000000,80500.000000
216回目,70676.000000,72096.000000,93932.000000,80800.000000
217回目,70588.000000,71764.000000,93552.000000,80828.000000
218回目,70908.000000,72336.000000,93892.000000,80848.000000
219回目,70876.000000,72104.000000,93604.000000,80768.000000
220回目,71000.000000,72016.000000,93668.000000,80728.000000
221回目,70912.000000,72380.000000,94020.000000,80756.000000
222回目,71048.000000,71988.000000,93888.000000,80544.000000
223回目,70936.000000,71724.000000,93676.000000,80884.000000
224回目,71496.000000,71996.000000,93956.000000,80880.000000
225回目,70912.000000,71960.000000,93812.000000,80564.000000
226回目,70904.000000,71992.000000,93580.000000,80724.000000
227回目,70880.000000,72068.000000,93784.000000,80712.000000
228回目,71044.000000,72400.000000,93440.000000,80716.000000
229回目,71192.000000,72228.000000,93784.000000,80504.000000
230回目,71024.000000,72060.000000,93524.000000,80140.000000
231回目,71216.000000,71996.000000,93832.000000,80540.000000
232回目,70944.000000,72084.000000,93848.000000,80192.000000
233回目,70948.000000,71836.000000,93752.000000,80460.000000
234回目,70800.000000,71840.000000,93728.000000,80600.000000
235回目,70756.000000,71840.000000,93872.000000,80532.000000
236回目,70876.000000,72360.000000,93972.000000,80208.000000
237回目,70896.000000,71836.000000,93560.000000,80768.000000
238回目,71024.000000,72368.000000,93848.000000,80696.000000
239回目,70816.000000,72096.000000,93908.000000,80720.000000
240回目,70748.000000,72020.000000,93624.000000,80476.000000
241回目,71036.000000,72088.000000,93560.000000,80724.000000
242回目,70608.000000,72084.000000,93928.000000,80228.000000
243回目,70876.000000,71868.000000,94020.000000,80408.000000
244回目,71100.000000,71872.000000,93984.000000,80420.000000
245回目,71000.000000,72196.000000,93964.000000,80604.000000
246回目,71104.000000,71848.000000,94008.000000,80880.000000
247回目,71104.000000,72212.000000,93420.000000,80700.000000
248回目,70576.000000,71832.000000,93472.000000,80208.000000
249回目,70880.000000,72060.000000,93396.000000,80832.000000
250回目,71660.000000,72052.000000,94104.000000,80680.000000
