Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1197369.000000,2919218.000000,2579139.000000,2581653.000000
2回目,1217337.000000,2887084.000000,2518135.000000,2589753.000000
3回目,1186067.000000,2903462.000000,2573619.000000,2570223.000000
4回目,1217337.000000,2923908.000000,2577615.000000,2566933.000000
5回目,1205643.000000,2880992.000000,2577615.000000,2570223.000000
6回目,1210023.000000,2892914.000000,2601241.000000,2570773.000000
7回目,1203635.000000,2923908.000000,2590111.000000,2589753.000000
8回目,1182461.000000,2872012.000000,2571055.000000,2570223.000000
9回目,1181675.000000,2892106.000000,2579139.000000,2581653.000000
10回目,1197369.000000,2892914.000000,2581515.000000,2603417.000000
11回目,1186067.000000,2913446.000000,2571111.000000,2526653.000000
12回目,1181675.000000,2903326.000000,2625055.000000,2581653.000000
13回目,1177125.000000,2914682.000000,2591401.000000,2566933.000000
14回目,1182461.000000,2892106.000000,2599711.000000,2603417.000000
15回目,1210023.000000,2924666.000000,2584747.000000,2570223.000000
16回目,1203635.000000,2903432.000000,2588951.000000,2589753.000000
17回目,1197369.000000,2918838.000000,2571055.000000,2526653.000000
18回目,1197369.000000,2896392.000000,2573619.000000,2581653.000000
19回目,1230691.000000,2880542.000000,2580269.000000,2589753.000000
20回目,1217337.000000,2880542.000000,2584237.000000,2581653.000000
21回目,1182461.000000,2941658.000000,2515709.000000,2589753.000000
22回目,1186067.000000,2912688.000000,2595657.000000,2581653.000000
23回目,1203635.000000,2913446.000000,2571055.000000,2566933.000000
24回目,1189123.000000,2903462.000000,2558613.000000,2590797.000000
25回目,1210023.000000,2891988.000000,2579139.000000,2566933.000000
26回目,1177125.000000,2912688.000000,2584237.000000,2603417.000000
27回目,1203635.000000,2909790.000000,2579139.000000,2598367.000000
28回目,1189123.000000,2909300.000000,2540619.000000,2603417.000000
29回目,1210023.000000,2877408.000000,2569027.000000,2598367.000000
30回目,1230691.000000,2892914.000000,2579139.000000,2589753.000000
31回目,1189123.000000,2898080.000000,2579139.000000,2619607.000000
32回目,1182461.000000,2872012.000000,2570537.000000,2570223.000000
33回目,1186067.000000,2880992.000000,2571055.000000,2598367.000000
34回目,1205643.000000,2914682.000000,2579139.000000,2566933.000000
35回目,1217337.000000,2809868.000000,2580779.000000,2570223.000000
36回目,1205643.000000,2899848.000000,2577457.000000,2526653.000000
37回目,1181675.000000,2809868.000000,2559713.000000,2570773.000000
38回目,1203635.000000,2903462.000000,2584237.000000,2570773.000000
39回目,1210023.000000,2893130.000000,2576761.000000,2619607.000000
40回目,1205643.000000,2910872.000000,2607129.000000,2559081.000000
41回目,1230691.000000,2892914.000000,2571111.000000,2570773.000000
42回目,1217337.000000,2903432.000000,2571055.000000,2598367.000000
43回目,1217337.000000,2883232.000000,2585031.000000,2570773.000000
44回目,1197369.000000,2910872.000000,2519135.000000,2559081.000000
45回目,1205643.000000,2885172.000000,2592637.000000,2570223.000000
46回目,1203635.000000,2887084.000000,2584237.000000,2559081.000000
47回目,1181675.000000,2885172.000000,2562689.000000,2526653.000000
48回目,1181675.000000,2912688.000000,2601999.000000,2603417.000000
49回目,1186067.000000,2809868.000000,2580367.000000,2589753.000000
50回目,1210023.000000,2941278.000000,2598847.000000,2619607.000000
51回目,1182461.000000,2910872.000000,2586925.000000,2559081.000000
52回目,1177125.000000,2883232.000000,2584237.000000,2570223.000000
53回目,1203635.000000,2885172.000000,2589949.000000,2570773.000000
54回目,1217337.000000,2914682.000000,2596345.000000,2559081.000000
55回目,1186067.000000,2809868.000000,2569887.000000,2589753.000000
56回目,1210023.000000,2930058.000000,2567559.000000,2559081.000000
57回目,1203635.000000,2892242.000000,2573619.000000,2566933.000000
58回目,1217337.000000,2923908.000000,2598187.000000,2570773.000000
59回目,1203635.000000,2894452.000000,2546737.000000,2559081.000000
60回目,1186067.000000,2892914.000000,2586231.000000,2570773.000000
61回目,1189123.000000,2903326.000000,2579139.000000,2598367.000000
62回目,1189123.000000,2872012.000000,2601241.000000,2603417.000000
63回目,1197369.000000,2809868.000000,2599229.000000,2526653.000000
64回目,1210023.000000,2907998.000000,2577615.000000,2570773.000000
65回目,1203635.000000,2913446.000000,2595265.000000,2589753.000000
66回目,1186067.000000,2898080.000000,2614991.000000,2581653.000000
67回目,1210023.000000,2880542.000000,2579139.000000,2589753.000000
68回目,1203635.000000,2893130.000000,2540619.000000,2603417.000000
69回目,1189123.000000,2910872.000000,2594651.000000,2589753.000000
70回目,1217337.000000,2909790.000000,2597699.000000,2526653.000000
71回目,1217337.000000,2880992.000000,2578461.000000,2526653.000000
72回目,1181675.000000,2872012.000000,2581523.000000,2570223.000000
73回目,1210023.000000,2891988.000000,2487037.000000,2566933.000000
74回目,1197369.000000,2913446.000000,2571111.000000,2590797.000000
75回目,1181675.000000,2896392.000000,2590537.000000,2566933.000000
76回目,1186067.000000,2892242.000000,2571111.000000,2590797.000000
77回目,1182461.000000,2912688.000000,2571055.000000,2566933.000000
78回目,1205643.000000,2892242.000000,2579139.000000,2526653.000000
79回目,1205643.000000,2903432.000000,2519135.000000,2619607.000000
80回目,1177125.000000,2885170.000000,2652341.000000,2566933.000000
81回目,1186067.000000,2912688.000000,2573619.000000,2590797.000000
82回目,1181675.000000,2877408.000000,2540619.000000,2581653.000000
83回目,1205643.000000,2907812.000000,2567507.000000,2589753.000000
84回目,1182461.000000,2903326.000000,2577615.000000,2566933.000000
85回目,1182461.000000,2885170.000000,2573619.000000,2559081.000000
86回目,1181675.000000,2898080.000000,2589379.000000,2598367.000000
87回目,1217337.000000,2892106.000000,2588113.000000,2570773.000000
88回目,1210023.000000,2913446.000000,2584747.000000,2570223.000000
89回目,1210023.000000,2935128.000000,2586107.000000,2559081.000000
90回目,1181675.000000,2914682.000000,2571055.000000,2566933.000000
91回目,1181675.000000,2880992.000000,2573619.000000,2526653.000000
92回目,1203635.000000,2923908.000000,2578461.000000,2570223.000000
93回目,1205643.000000,2919218.000000,2565543.000000,2566933.000000
94回目,1197369.000000,2903326.000000,2519135.000000,2581653.000000
95回目,1230691.000000,2903462.000000,2538789.000000,2590797.000000
96回目,1217337.000000,2885170.000000,2590263.000000,2598367.000000
97回目,1189123.000000,2880542.000000,2595301.000000,2581653.000000
98回目,1197369.000000,2880992.000000,2584237.000000,2603417.000000
99回目,1186067.000000,2893130.000000,2595985.000000,2526653.000000
100回目,1203635.000000,2907612.000000,2519135.000000,2589753.000000
101回目,1181675.000000,2892106.000000,2585407.000000,2566933.000000
102回目,1189123.000000,2907812.000000,2571055.000000,2581653.000000
103回目,1230691.000000,2892242.000000,2563259.000000,2589753.000000
104回目,1230691.000000,2919218.000000,2571111.000000,2603417.000000
105回目,1197369.000000,2923908.000000,2590207.000000,2598367.000000
106回目,1186067.000000,2919218.000000,2584747.000000,2566933.000000
107回目,1182461.000000,2905672.000000,2519135.000000,2589753.000000
108回目,1197369.000000,2880542.000000,2578015.000000,2619607.000000
109回目,1186067.000000,2887084.000000,2573339.000000,2598367.000000
110回目,1181675.000000,2892106.000000,2582181.000000,2598367.000000
111回目,1197369.000000,2892914.000000,2588783.000000,2589753.000000
112回目,1217337.000000,2887084.000000,2562183.000000,2581653.000000
113回目,1217337.000000,2913446.000000,2577615.000000,2526653.000000
114回目,1197369.000000,2912688.000000,2580811.000000,2581653.000000
115回目,1186067.000000,2924666.000000,2599401.000000,2570223.000000
116回目,1186067.000000,2885172.000000,2613449.000000,2570223.000000
117回目,1182461.000000,2918838.000000,2598757.000000,2570773.000000
118回目,1186067.000000,2883232.000000,2612223.000000,2598367.000000
119回目,1217337.000000,2885172.000000,2584747.000000,2566933.000000
120回目,1203635.000000,2909790.000000,2588951.000000,2581653.000000
121回目,1182461.000000,2913446.000000,2577615.000000,2581653.000000
122回目,1177125.000000,2910872.000000,2601271.000000,2589753.000000
123回目,1197369.000000,2872012.000000,2593963.000000,2559081.000000
124回目,1181675.000000,2892212.000000,2578461.000000,2589753.000000
125回目,1182461.000000,2903462.000000,2610689.000000,2581653.000000
126回目,1205643.000000,2914682.000000,2592543.000000,2570773.000000
127回目,1230691.000000,2885172.000000,2599019.000000,2581653.000000
128回目,1205643.000000,2809868.000000,2567697.000000,2570223.000000
129回目,1217337.000000,2885172.000000,2584029.000000,2559081.000000
130回目,1210023.000000,2903462.000000,2579745.000000,2581653.000000
131回目,1205643.000000,2896392.000000,2580779.000000,2581653.000000
132回目,1230691.000000,2935886.000000,2584237.000000,2559081.000000
133回目,1182461.000000,2924666.000000,2577615.000000,2526653.000000
134回目,1197369.000000,2903326.000000,2590537.000000,2581653.000000
135回目,1203635.000000,2885172.000000,2540619.000000,2570223.000000
136回目,1230691.000000,2912688.000000,2574417.000000,2566933.000000
137回目,1182461.000000,2896392.000000,2578871.000000,2619607.000000
138回目,1210023.000000,2923908.000000,2573307.000000,2570223.000000
139回目,1210023.000000,2898080.000000,2519135.000000,2570773.000000
140回目,1197369.000000,2935128.000000,2580297.000000,2566933.000000
141回目,1177125.000000,2885172.000000,2589457.000000,2559081.000000
142回目,1217337.000000,2877408.000000,2597083.000000,2581653.000000
143回目,1203635.000000,2912688.000000,2566021.000000,2559081.000000
144回目,1205643.000000,2930058.000000,2584237.000000,2581653.000000
145回目,1203635.000000,2907998.000000,2583843.000000,2570223.000000
146回目,1182461.000000,2872012.000000,2579139.000000,2603417.000000
147回目,1210023.000000,2892242.000000,2578443.000000,2619607.000000
148回目,1203635.000000,2809868.000000,2578461.000000,2570223.000000
149回目,1210023.000000,2923908.000000,2581265.000000,2603417.000000
150回目,1210023.000000,2809868.000000,2573651.000000,2590797.000000
151回目,1203635.000000,2885172.000000,2589209.000000,2559081.000000
152回目,1189123.000000,2892212.000000,2577615.000000,2566933.000000
153回目,1197369.000000,2877408.000000,2604081.000000,2570223.000000
154回目,1182461.000000,2809868.000000,2608945.000000,2570773.000000
155回目,1189123.000000,2877408.000000,2571055.000000,2619607.000000
156回目,1177125.000000,2909790.000000,2583445.000000,2589753.000000
157回目,1197369.000000,2809868.000000,2587439.000000,2603417.000000
