PDR,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,65.306100,80.612200,81.443300,90.816300
134回目,69.387800,85.714300,81.632700,80.612200
135回目,71.428600,86.734700,90.816300,84.693900
136回目,64.285700,84.693900,82.653100,86.734700
137回目,65.306100,86.734700,86.734700,78.571400
138回目,68.367300,84.693900,82.653100,84.693900
139回目,68.367300,84.693900,77.551000,80.412400
140回目,69.387800,84.693900,81.632700,86.734700
141回目,76.530600,86.734700,79.591800,83.673500
142回目,69.387800,86.734700,79.591800,80.612200
143回目,71.428600,84.693900,85.714300,83.673500
144回目,70.408200,83.673500,85.714300,80.612200
145回目,71.428600,86.734700,83.673500,84.693900
146回目,65.306100,90.816300,82.653100,79.591800
147回目,68.367300,86.597900,81.632700,78.571400
148回目,71.428600,81.632700,82.653100,84.693900
149回目,68.367300,84.693900,83.673500,79.591800
150回目,68.367300,81.632700,84.693900,79.591800
151回目,71.428600,86.734700,78.571400,83.673500
152回目,73.469400,83.673500,81.443300,86.734700
153回目,69.387800,86.734700,78.571400,84.693900
154回目,65.306100,81.632700,79.591800,80.412400
155回目,73.469400,86.734700,84.693900,78.571400
156回目,76.530600,79.591800,82.653100,82.653100
157回目,69.387800,81.632700,80.612200,79.591800
158回目,64.285700,83.673500,80.612200,86.734700
159回目,74.226800,84.693900,83.673500,80.412400
160回目,70.408200,86.734700,78.571400,78.571400
161回目,69.387800,84.693900,82.653100,79.591800
162回目,74.226800,83.673500,90.816300,79.591800
163回目,65.306100,87.755100,75.510200,78.571400
164回目,70.408200,83.673500,90.816300,78.571400
165回目,64.285700,90.816300,82.653100,82.653100
166回目,74.226800,83.673500,86.734700,90.816300
167回目,76.530600,80.612200,77.319600,80.612200
168回目,69.387800,83.673500,85.714300,84.693900
169回目,69.387800,80.412400,90.816300,84.693900
170回目,64.285700,85.714300,86.734700,90.816300
171回目,64.285700,83.673500,86.734700,78.571400
172回目,76.530600,85.714300,79.591800,80.412400
173回目,68.367300,84.693900,82.653100,83.673500
174回目,69.387800,83.673500,85.714300,78.571400
175回目,71.428600,86.597900,79.591800,78.571400
176回目,71.428600,86.734700,79.591800,80.412400
177回目,64.285700,86.734700,90.816300,80.412400
178回目,70.408200,83.673500,77.551000,86.734700
179回目,71.428600,86.734700,85.714300,80.612200
180回目,70.408200,86.734700,84.693900,78.571400
181回目,68.367300,84.693900,79.591800,84.693900
182回目,70.408200,83.673500,77.319600,90.816300
183回目,69.387800,87.755100,81.632700,82.653100
184回目,69.387800,86.734700,82.653100,79.591800
185回目,69.387800,85.714300,78.571400,80.612200
186回目,64.285700,83.673500,87.755100,84.693900
187回目,69.387800,83.673500,83.673500,78.571400
188回目,71.428600,83.673500,82.653100,82.653100
189回目,74.226800,85.714300,80.612200,80.612200
190回目,73.469400,80.612200,85.714300,84.693900
191回目,70.408200,84.693900,82.653100,80.412400
192回目,65.306100,84.693900,85.714300,86.734700
193回目,69.387800,85.714300,80.612200,78.571400
194回目,64.285700,81.632700,82.653100,86.734700
195回目,74.226800,84.693900,81.443300,83.673500
196回目,64.285700,86.597900,77.551000,86.734700
197回目,73.469400,83.673500,82.653100,80.412400
198回目,74.489800,83.673500,79.591800,79.591800
199回目,74.489800,90.816300,85.714300,86.734700
200回目,71.428600,86.734700,82.653100,78.571400
201回目,73.469400,84.693900,83.673500,78.571400
202回目,74.226800,80.612200,80.612200,78.571400
203回目,74.489800,85.714300,85.714300,83.673500
204回目,64.285700,81.632700,81.632700,82.653100
205回目,73.469400,90.816300,85.714300,86.734700
206回目,68.367300,83.673500,79.591800,82.653100
207回目,71.428600,85.714300,79.591800,80.612200
208回目,65.306100,90.816300,81.632700,79.591800
209回目,69.387800,85.714300,84.693900,80.612200
210回目,74.226800,84.693900,90.816300,86.734700
211回目,70.408200,86.734700,88.775500,79.591800
212回目,68.367300,83.673500,85.714300,79.591800
213回目,69.387800,84.693900,77.551000,86.734700
214回目,74.489800,90.816300,81.632700,86.734700
215回目,65.306100,83.673500,82.653100,82.653100
216回目,68.367300,90.816300,82.653100,86.734700
217回目,69.387800,81.632700,90.816300,79.591800
218回目,73.469400,80.612200,82.653100,80.412400
219回目,68.367300,86.734700,82.653100,83.673500
220回目,69.387800,86.734700,78.571400,83.673500
221回目,74.226800,86.734700,81.443300,86.734700
222回目,70.408200,86.734700,83.673500,80.412400
223回目,69.387800,84.693900,81.632700,84.693900
224回目,69.387800,90.816300,85.714300,79.591800
225回目,68.367300,84.693900,79.591800,86.734700
226回目,73.469400,84.693900,81.443300,83.673500
227回目,65.306100,85.714300,79.591800,86.734700
228回目,76.530600,83.673500,82.653100,86.734700
229回目,69.387800,80.412400,82.653100,90.816300
230回目,74.226800,83.673500,77.551000,86.734700
231回目,64.285700,80.612200,79.591800,86.734700
232回目,65.306100,90.816300,79.591800,83.673500
233回目,69.387800,84.693900,80.612200,78.571400
234回目,65.306100,83.673500,82.653100,84.693900
235回目,73.469400,86.734700,82.653100,79.591800
236回目,74.226800,86.734700,90.816300,84.693900
237回目,76.530600,84.693900,84.693900,78.571400
238回目,74.489800,78.571400,84.693900,86.734700
239回目,69.387800,79.591800,81.443300,78.571400
240回目,71.428600,90.816300,84.693900,79.591800
241回目,68.367300,84.693900,79.591800,86.734700
242回目,68.367300,83.673500,81.632700,79.591800
243回目,70.408200,84.693900,81.443300,80.612200
244回目,74.226800,83.673500,83.673500,90.816300
245回目,69.387800,84.693900,74.489800,79.591800
246回目,74.226800,86.734700,84.536100,90.816300
247回目,74.226800,86.734700,80.612200,83.673500
248回目,71.428600,85.714300,85.714300,78.571400
249回目,76.530600,86.597900,88.775500,83.673500
250回目,64.285700,83.673500,83.673500,82.653100
