Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,76928.000000,78136.000000,138956.000000,103408.000000
2回目,77008.000000,77900.000000,138916.000000,103196.000000
3回目,77028.000000,78156.000000,139240.000000,103524.000000
4回目,77292.000000,78252.000000,138888.000000,103508.000000
5回目,76928.000000,78400.000000,139020.000000,103388.000000
6回目,77160.000000,77848.000000,139196.000000,103548.000000
7回目,77128.000000,78220.000000,139152.000000,103248.000000
8回目,76872.000000,77868.000000,138628.000000,103212.000000
9回目,77240.000000,78164.000000,138768.000000,103524.000000
10回目,76932.000000,78352.000000,138864.000000,103132.000000
11回目,76812.000000,78208.000000,139000.000000,102872.000000
12回目,77136.000000,78224.000000,139232.000000,103544.000000
13回目,76632.000000,78236.000000,138944.000000,103184.000000
14回目,77200.000000,78436.000000,138776.000000,102848.000000
15回目,76880.000000,77968.000000,138800.000000,103200.000000
16回目,76912.000000,78408.000000,139088.000000,103432.000000
17回目,77188.000000,78316.000000,138748.000000,103532.000000
18回目,77112.000000,78424.000000,139012.000000,103544.000000
19回目,77056.000000,78188.000000,138884.000000,103516.000000
20回目,76796.000000,78084.000000,138860.000000,103532.000000
21回目,76764.000000,77888.000000,138776.000000,103124.000000
22回目,76960.000000,77928.000000,138920.000000,103376.000000
23回目,76664.000000,78300.000000,138860.000000,103168.000000
24回目,77352.000000,78152.000000,138740.000000,103404.000000
25回目,76764.000000,78356.000000,138944.000000,102880.000000
26回目,77332.000000,78416.000000,139040.000000,103540.000000
27回目,77188.000000,78012.000000,139148.000000,103252.000000
28回目,76716.000000,78224.000000,138944.000000,103392.000000
29回目,77292.000000,78220.000000,139124.000000,103200.000000
30回目,77212.000000,78424.000000,138752.000000,103548.000000
31回目,77332.000000,78232.000000,138828.000000,103328.000000
32回目,77120.000000,78352.000000,139140.000000,103168.000000
33回目,77320.000000,78456.000000,138464.000000,103008.000000
34回目,77312.000000,78212.000000,139052.000000,103508.000000
35回目,77124.000000,78228.000000,139152.000000,103540.000000
36回目,76656.000000,78316.000000,139068.000000,103464.000000
37回目,77328.000000,78392.000000,138680.000000,103344.000000
38回目,77140.000000,78216.000000,139244.000000,103428.000000
39回目,77108.000000,77952.000000,138884.000000,103196.000000
40回目,77152.000000,78432.000000,138776.000000,103424.000000
41回目,77000.000000,78116.000000,138848.000000,103200.000000
42回目,77152.000000,77932.000000,139084.000000,103376.000000
43回目,77000.000000,78428.000000,138868.000000,103216.000000
44回目,77240.000000,78200.000000,139008.000000,103132.000000
45回目,77064.000000,78248.000000,138876.000000,103552.000000
46回目,77328.000000,77976.000000,139012.000000,103616.000000
47回目,77364.000000,78184.000000,138888.000000,102872.000000
48回目,77212.000000,77980.000000,138572.000000,103332.000000
49回目,77328.000000,77940.000000,138760.000000,103336.000000
50回目,77180.000000,78100.000000,139132.000000,103532.000000
51回目,77020.000000,78240.000000,138724.000000,103264.000000
52回目,76824.000000,78228.000000,138920.000000,102712.000000
53回目,77188.000000,77968.000000,138840.000000,103552.000000
54回目,77208.000000,77976.000000,138972.000000,103488.000000
55回目,76636.000000,78368.000000,139212.000000,103548.000000
56回目,76904.000000,78136.000000,138964.000000,103108.000000
57回目,76660.000000,78216.000000,139112.000000,103140.000000
58回目,76800.000000,78080.000000,139116.000000,103524.000000
59回目,77200.000000,77908.000000,138952.000000,103228.000000
60回目,77064.000000,78192.000000,138952.000000,103560.000000
61回目,77128.000000,78460.000000,138656.000000,103552.000000
62回目,76864.000000,78140.000000,138880.000000,103264.000000
63回目,77328.000000,78260.000000,139288.000000,103548.000000
64回目,77120.000000,77860.000000,138804.000000,103208.000000
