VerifySignatureTime,NPGPSR,NDGPSR
227回目,335.043000,96.215000
228回目,341.902000,96.387600
229回目,336.173000,96.254900
230回目,337.605000,96.908900
231回目,336.705000,95.757100
232回目,337.590000,96.968900
233回目,333.423000,96.479100
234回目,336.644000,98.549800
235回目,334.134000,96.904900
236回目,336.677000,97.823400
237回目,334.399000,97.064300
238回目,335.817000,97.257000
239回目,342.034000,96.995200
240回目,335.100000,97.236200
241回目,339.444000,96.878500
242回目,336.048000,97.661700
243回目,337.208000,96.826400
244回目,334.436000,96.206000
245回目,336.593000,97.010600
246回目,342.027000,97.025600
247回目,334.983000,97.672600
248回目,340.025000,97.321600
249回目,336.046000,97.224200
250回目,331.925000,95.335700
