Delay,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,19.335300,2.288720,7.046480,0.000000
134回目,19.335300,7.001790,6.851320,0.000000
135回目,10.961300,2.288720,11.520400,0.000000
136回目,10.961300,6.839820,7.067350,0.000000
137回目,10.780800,6.839820,2.236670,0.000000
138回目,10.780800,9.228660,6.841940,0.000000
139回目,10.576300,2.346930,6.982700,0.000000
140回目,28.301800,2.679540,6.997450,0.000000
141回目,19.335300,6.839820,2.337120,0.000000
142回目,10.858900,2.346930,2.408820,0.000000
143回目,10.911300,6.839820,9.430840,0.000000
144回目,11.127700,11.250700,11.218600,0.000000
145回目,10.576300,9.228660,2.219230,0.000000
146回目,28.301800,7.001790,23.003200,0.000000
147回目,2.535790,2.288720,2.250380,0.000000
148回目,2.149240,2.267950,2.370100,0.000000
149回目,10.576300,2.679540,2.312200,0.000000
150回目,11.127700,2.371040,7.007870,0.000000
151回目,10.911300,9.228660,2.367300,0.000000
152回目,19.335300,6.839820,7.117780,0.000000
153回目,10.576300,2.267950,2.234040,0.000000
154回目,19.842900,2.555720,7.030280,0.000000
155回目,28.301800,2.251480,9.282440,0.000000
156回目,10.911300,2.281060,2.510760,0.000000
157回目,2.149240,2.331200,2.321230,0.000000
158回目,10.780800,2.380440,6.989700,0.000000
159回目,10.911300,2.380440,25.624600,0.000000
160回目,10.911300,2.555720,2.240890,0.000000
161回目,10.911300,2.679540,2.381050,0.000000
162回目,19.335300,9.228660,6.883810,0.000000
163回目,2.535790,2.679540,2.127970,0.000000
164回目,2.149240,2.575100,2.078140,0.000000
165回目,10.961300,7.019370,6.965440,0.000000
166回目,19.842900,2.380440,6.726400,0.000000
167回目,10.780800,2.380440,20.414100,0.000000
168回目,11.127700,7.308030,6.898260,0.000000
169回目,10.858900,2.679540,6.916180,0.000000
170回目,2.535790,2.267950,2.407320,0.000000
171回目,19.842900,2.512860,11.437600,0.000000
172回目,28.301800,2.281060,7.392210,0.000000
173回目,10.961300,2.288720,2.461960,0.000000
174回目,19.335300,2.679470,2.344270,0.000000
175回目,19.842900,2.288720,25.473000,0.000000
176回目,11.127700,6.839820,2.444170,0.000000
177回目,2.535790,2.380440,11.371000,0.000000
178回目,10.961300,2.288720,7.050430,0.000000
179回目,10.911300,7.001790,2.376360,0.000000
180回目,28.301800,7.001790,14.215200,0.000000
181回目,28.301800,12.396600,7.012320,0.000000
182回目,11.127700,2.512860,11.678300,0.000000
183回目,28.301800,2.281060,13.458900,0.000000
184回目,11.127700,2.288720,2.271030,0.000000
185回目,11.127700,2.281060,7.136350,0.000000
186回目,10.961300,6.839820,2.266080,0.000000
187回目,10.576300,2.555720,2.610910,0.000000
188回目,10.961300,11.250700,2.409180,0.000000
189回目,28.301800,2.555720,7.004120,0.000000
190回目,2.149240,2.346930,11.714800,0.000000
191回目,28.301800,6.937660,2.367280,0.000000
192回目,11.127700,2.202940,7.981360,0.000000
193回目,10.780800,6.937660,6.954290,0.000000
194回目,28.301800,2.380440,6.751450,0.000000
195回目,2.535790,9.228660,9.801460,0.000000
196回目,2.149240,2.251480,2.101140,0.000000
197回目,10.858900,11.250700,7.013980,0.000000
198回目,10.911300,2.288720,2.229210,0.000000
199回目,19.335300,12.396600,11.671600,0.000000
200回目,10.576300,2.267950,2.565330,0.000000
201回目,10.780800,6.937660,7.007870,0.000000
202回目,2.149240,2.288720,7.038860,0.000000
203回目,10.780800,2.281060,7.215190,0.000000
204回目,19.842900,2.288720,2.298370,0.000000
205回目,2.535790,2.267950,2.493200,0.000000
206回目,10.911300,7.019370,2.202220,0.000000
207回目,19.335300,6.937660,2.236120,0.000000
208回目,10.858900,2.575100,2.140780,0.000000
209回目,10.858900,2.679510,2.236670,0.000000
210回目,2.149240,12.396600,2.312920,0.000000
211回目,10.576300,2.288720,11.279400,0.000000
212回目,19.842900,2.679540,7.190020,0.000000
213回目,28.301800,6.937660,7.167370,0.000000
214回目,10.858900,2.679510,6.903040,0.000000
215回目,2.149240,2.346930,6.994320,0.000000
216回目,10.911300,2.575100,2.327660,0.000000
217回目,10.858900,2.346930,2.311220,0.000000
218回目,10.911300,11.250700,9.995010,0.000000
219回目,10.858900,2.251480,6.695450,0.000000
220回目,19.335300,6.937660,7.127100,0.000000
221回目,10.780800,2.288720,7.023460,0.000000
222回目,11.127700,2.281060,14.018800,0.000000
223回目,10.576300,2.288720,16.680100,0.000000
224回目,10.780800,2.346930,2.191810,0.000000
225回目,10.961300,2.331200,7.651830,0.000000
226回目,28.301800,9.228660,2.222210,0.000000
227回目,19.335300,6.839820,7.250180,0.000000
228回目,28.301800,9.228660,2.243000,0.000000
229回目,10.858900,7.001790,7.135830,0.000000
230回目,2.535790,2.251480,2.199220,0.000000
231回目,19.335300,9.228660,2.126760,0.000000
232回目,19.842900,6.839820,13.624100,0.000000
233回目,10.858900,7.019370,2.656070,0.000000
234回目,19.842900,2.251480,14.259400,0.000000
235回目,19.842900,9.228660,2.237010,0.000000
236回目,10.961300,2.288720,2.508050,0.000000
237回目,10.858900,2.679540,6.804240,0.000000
238回目,2.149240,2.679540,2.349190,0.000000
239回目,10.576300,2.331200,2.251170,0.000000
