GenerateSignatureTime,NPGPSR,NDGPSR
227回目,369.007000,31.192800
228回目,371.369000,31.125000
229回目,371.193000,31.208100
230回目,370.742000,30.906600
231回目,376.554000,30.859000
232回目,371.068000,31.343600
233回目,371.445000,31.457400
234回目,370.302000,31.646700
235回目,372.842000,31.606400
236回目,374.956000,31.439200
237回目,368.194000,31.229100
238回目,375.317000,31.338100
239回目,371.369000,31.307600
240回目,368.213000,31.318800
241回目,368.196000,31.388100
242回目,370.264000,31.343600
243回目,376.075000,31.291000
244回目,369.155000,30.920000
245回目,371.679000,31.602000
246回目,371.035000,31.345300
247回目,373.094000,31.344700
248回目,371.262000,31.353600
249回目,370.969000,31.507400
250回目,366.794000,31.132800
