Memory,GPSR,NGPSR,NPGPSR,NDGPSR
105回目,73688.000000,74948.000000,146356.000000,0.000000
106回目,73788.000000,74436.000000,146900.000000,0.000000
107回目,73788.000000,74852.000000,146560.000000,0.000000
108回目,73976.000000,74512.000000,146920.000000,0.000000
109回目,73576.000000,74712.000000,147072.000000,0.000000
110回目,73644.000000,75104.000000,147028.000000,0.000000
111回目,73964.000000,74772.000000,146968.000000,0.000000
112回目,73944.000000,74256.000000,146988.000000,0.000000
113回目,73684.000000,74708.000000,147092.000000,0.000000
114回目,73880.000000,74640.000000,146908.000000,0.000000
115回目,73672.000000,74956.000000,146976.000000,0.000000
116回目,73588.000000,74752.000000,146720.000000,0.000000
117回目,73624.000000,74752.000000,146884.000000,0.000000
118回目,73644.000000,74428.000000,146556.000000,0.000000
119回目,73532.000000,74516.000000,147232.000000,0.000000
120回目,73612.000000,74680.000000,146844.000000,0.000000
121回目,73588.000000,74704.000000,146936.000000,0.000000
122回目,73952.000000,74660.000000,147236.000000,0.000000
123回目,73644.000000,74452.000000,147108.000000,0.000000
124回目,73660.000000,74588.000000,146920.000000,0.000000
125回目,74220.000000,75108.000000,146564.000000,0.000000
126回目,73940.000000,74664.000000,147000.000000,0.000000
127回目,74032.000000,74288.000000,146864.000000,0.000000
128回目,73296.000000,74356.000000,146804.000000,0.000000
129回目,74136.000000,74640.000000,146844.000000,0.000000
130回目,73608.000000,74816.000000,147212.000000,0.000000
131回目,74368.000000,74852.000000,147308.000000,0.000000
132回目,73404.000000,74636.000000,147140.000000,0.000000
133回目,74364.000000,74324.000000,147316.000000,0.000000
134回目,73936.000000,74832.000000,146824.000000,0.000000
135回目,73692.000000,74300.000000,147236.000000,0.000000
136回目,73736.000000,74680.000000,146628.000000,0.000000
137回目,73956.000000,74804.000000,146988.000000,0.000000
138回目,73656.000000,74492.000000,146740.000000,0.000000
139回目,73736.000000,74600.000000,146840.000000,0.000000
140回目,74136.000000,74640.000000,146948.000000,0.000000
141回目,73960.000000,74936.000000,146744.000000,0.000000
142回目,73944.000000,74952.000000,146864.000000,0.000000
143回目,73876.000000,74456.000000,146864.000000,0.000000
144回目,73688.000000,74516.000000,147364.000000,0.000000
145回目,73840.000000,74240.000000,146764.000000,0.000000
146回目,73856.000000,74312.000000,146824.000000,0.000000
147回目,73412.000000,75116.000000,146812.000000,0.000000
148回目,73660.000000,74472.000000,146876.000000,0.000000
149回目,74036.000000,74676.000000,146436.000000,0.000000
150回目,73924.000000,74740.000000,147104.000000,0.000000
151回目,73676.000000,74948.000000,146844.000000,0.000000
152回目,73684.000000,75136.000000,146612.000000,0.000000
153回目,73436.000000,74960.000000,147012.000000,0.000000
154回目,73840.000000,74768.000000,146908.000000,0.000000
155回目,74308.000000,74896.000000,146744.000000,0.000000
156回目,73696.000000,74356.000000,146784.000000,0.000000
157回目,73692.000000,74680.000000,147220.000000,0.000000
158回目,73408.000000,75076.000000,146676.000000,0.000000
159回目,73648.000000,74848.000000,146968.000000,0.000000
160回目,73912.000000,74516.000000,146916.000000,0.000000
161回目,74184.000000,74884.000000,146700.000000,0.000000
162回目,73924.000000,74916.000000,147276.000000,0.000000
163回目,73648.000000,74660.000000,147068.000000,0.000000
164回目,73612.000000,74288.000000,147032.000000,0.000000
165回目,73692.000000,75112.000000,146900.000000,0.000000
166回目,73648.000000,74676.000000,147260.000000,0.000000
167回目,73592.000000,74292.000000,146572.000000,0.000000
