Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
104回目,2095441.000000,5223031.000000,4693800.000000,0.000000
105回目,2100669.000000,5322424.000000,4901132.000000,0.000000
106回目,2064381.000000,5359156.000000,4996790.000000,0.000000
107回目,2094475.000000,5132203.000000,4857270.000000,0.000000
108回目,2087609.000000,5322294.000000,4990514.000000,0.000000
109回目,2102175.000000,5189304.000000,4859490.000000,0.000000
110回目,2087609.000000,5268046.000000,4942172.000000,0.000000
111回目,2117277.000000,5321996.000000,4931272.000000,0.000000
112回目,2094475.000000,5100268.000000,4944244.000000,0.000000
113回目,2085657.000000,5335729.000000,4781198.000000,0.000000
114回目,2102175.000000,5229201.000000,4973296.000000,0.000000
115回目,2095441.000000,5105607.000000,4902962.000000,0.000000
116回目,2031931.000000,5100054.000000,4675820.000000,0.000000
117回目,2087609.000000,5314611.000000,4967930.000000,0.000000
118回目,2085657.000000,5189982.000000,4832260.000000,0.000000
119回目,2095441.000000,5247376.000000,4844178.000000,0.000000
120回目,2085657.000000,5323181.000000,4729376.000000,0.000000
121回目,2085657.000000,5106182.000000,4882860.000000,0.000000
122回目,2087609.000000,5229538.000000,4965672.000000,0.000000
123回目,2075941.000000,5229603.000000,4924568.000000,0.000000
124回目,2075941.000000,5255030.000000,4953616.000000,0.000000
125回目,2117277.000000,5078314.000000,4895400.000000,0.000000
126回目,2102175.000000,5106060.000000,4598854.000000,0.000000
127回目,2095441.000000,5250101.000000,4716994.000000,0.000000
128回目,2075941.000000,5203620.000000,4731916.000000,0.000000
129回目,2095441.000000,5430123.000000,4773414.000000,0.000000
130回目,2067357.000000,5335214.000000,4849482.000000,0.000000
131回目,2095441.000000,5260260.000000,4991528.000000,0.000000
132回目,2087609.000000,5317290.000000,4826868.000000,0.000000
133回目,2117277.000000,5353467.000000,4764222.000000,0.000000
134回目,2117277.000000,5131749.000000,4704434.000000,0.000000
135回目,2087609.000000,5353860.000000,4839468.000000,0.000000
136回目,2087609.000000,5394925.000000,4790062.000000,0.000000
137回目,2067357.000000,5411784.000000,4716994.000000,0.000000
138回目,2067357.000000,5280277.000000,4841518.000000,0.000000
139回目,2100669.000000,5321921.000000,4849324.000000,0.000000
140回目,2095441.000000,5222835.000000,4811048.000000,0.000000
141回目,2117277.000000,5394748.000000,5013170.000000,0.000000
142回目,2031931.000000,5339970.000000,4828276.000000,0.000000
143回目,2102175.000000,5394280.000000,4796488.000000,0.000000
144回目,2085657.000000,5100307.000000,4920738.000000,0.000000
145回目,2100669.000000,5316100.000000,4959972.000000,0.000000
146回目,2095441.000000,5167737.000000,4875538.000000,0.000000
147回目,2075941.000000,5353514.000000,4863676.000000,0.000000
148回目,2064381.000000,5207721.000000,5061514.000000,0.000000
149回目,2100669.000000,5241287.000000,4827376.000000,0.000000
150回目,2085657.000000,5316810.000000,4733980.000000,0.000000
151回目,2102175.000000,5279597.000000,4995320.000000,0.000000
152回目,2117277.000000,5430727.000000,4883846.000000,0.000000
153回目,2100669.000000,5207435.000000,4945320.000000,0.000000
154回目,2094475.000000,5114382.000000,4871334.000000,0.000000
155回目,2095441.000000,5390512.000000,4784160.000000,0.000000
156回目,2102175.000000,5260619.000000,4718404.000000,0.000000
157回目,2064381.000000,5229581.000000,4844854.000000,0.000000
158回目,2067357.000000,5285942.000000,4874168.000000,0.000000
159回目,2102175.000000,5250481.000000,4947018.000000,0.000000
160回目,2102175.000000,5096376.000000,4726272.000000,0.000000
161回目,2102175.000000,5222756.000000,4761380.000000,0.000000
162回目,2117277.000000,5279306.000000,4704334.000000,0.000000
163回目,2075941.000000,5276911.000000,4722302.000000,0.000000
164回目,2064381.000000,5315071.000000,4711562.000000,0.000000
165回目,2087609.000000,5354333.000000,4866586.000000,0.000000
166回目,2094475.000000,5249935.000000,4915598.000000,0.000000
167回目,2067357.000000,5285938.000000,4897576.000000,0.000000
168回目,2085657.000000,5032150.000000,5015294.000000,0.000000
169回目,2031931.000000,5240722.000000,5007378.000000,0.000000
170回目,2075941.000000,5189870.000000,5022842.000000,0.000000
171回目,2094475.000000,5204198.000000,4693028.000000,0.000000
172回目,2095441.000000,5261174.000000,4721788.000000,0.000000
173回目,2087609.000000,5371654.000000,4847566.000000,0.000000
174回目,2117277.000000,5222193.000000,4721658.000000,0.000000
175回目,2094475.000000,5335671.000000,4855118.000000,0.000000
176回目,2085657.000000,5412574.000000,4827494.000000,0.000000
177回目,2075941.000000,5250578.000000,4932474.000000,0.000000
178回目,2087609.000000,5353571.000000,4878210.000000,0.000000
179回目,2102175.000000,5131278.000000,4724324.000000,0.000000
180回目,2095441.000000,5131589.000000,4872858.000000,0.000000
181回目,2095441.000000,5106113.000000,4871952.000000,0.000000
182回目,2085657.000000,5203672.000000,4988240.000000,0.000000
183回目,2095441.000000,5278114.000000,4709420.000000,0.000000
184回目,2085657.000000,5353019.000000,4772778.000000,0.000000
185回目,2085657.000000,5260314.000000,4710938.000000,0.000000
186回目,2087609.000000,5394825.000000,4924542.000000,0.000000
187回目,2100669.000000,5078384.000000,4828632.000000,0.000000
188回目,2087609.000000,5099474.000000,4885368.000000,0.000000
189回目,2095441.000000,5095970.000000,4844044.000000,0.000000
190回目,2064381.000000,5340232.000000,5104730.000000,0.000000
191回目,2095441.000000,5322854.000000,4704572.000000,0.000000
192回目,2085657.000000,5254743.000000,4783314.000000,0.000000
193回目,2067357.000000,5340813.000000,5010486.000000,0.000000
194回目,2095441.000000,5268177.000000,4925952.000000,0.000000
195回目,2075941.000000,5279964.000000,4781198.000000,0.000000
196回目,2064381.000000,5390939.000000,4869680.000000,0.000000
197回目,2031931.000000,5100399.000000,4844106.000000,0.000000
198回目,2102175.000000,5353477.000000,4941172.000000,0.000000
199回目,2117277.000000,5106038.000000,4879548.000000,0.000000
