Loss,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,52.016100,12.903200,11.290300,0.000000
134回目,52.016100,10.483900,11.290300,0.000000
135回目,52.016100,12.903200,12.903200,0.000000
136回目,52.016100,9.677420,13.306500,0.000000
137回目,51.612900,9.677420,12.903200,0.000000
138回目,51.612900,11.290300,11.693500,0.000000
139回目,50.000000,10.887100,12.096800,0.000000
140回目,53.225800,11.290300,13.360300,0.000000
141回目,52.016100,9.677420,11.693500,0.000000
142回目,51.821900,10.887100,11.336000,0.000000
143回目,50.806500,9.677420,13.709700,0.000000
144回目,52.822600,8.467740,10.483900,0.000000
145回目,50.000000,11.290300,13.306500,0.000000
146回目,53.225800,10.483900,11.693500,0.000000
147回目,48.790300,12.903200,14.919400,0.000000
148回目,52.016100,10.483900,14.112900,0.000000
149回目,50.000000,11.290300,14.112900,0.000000
150回目,52.822600,11.693500,12.096800,0.000000
151回目,50.806500,11.290300,14.516100,0.000000
152回目,52.016100,9.677420,14.112900,0.000000
153回目,50.000000,10.483900,22.983900,0.000000
154回目,53.629000,19.838100,12.096800,0.000000
155回目,53.225800,13.709700,12.500000,0.000000
156回目,50.806500,10.080600,13.306500,0.000000
157回目,52.016100,14.112900,13.709700,0.000000
158回目,51.612900,9.274190,10.483900,0.000000
159回目,50.806500,9.274190,12.500000,0.000000
160回目,50.806500,19.838100,13.306500,0.000000
161回目,50.806500,11.290300,9.716600,0.000000
162回目,52.016100,11.290300,14.170000,0.000000
163回目,48.790300,11.290300,13.306500,0.000000
164回目,52.016100,9.677420,13.306500,0.000000
165回目,52.016100,12.500000,11.693500,0.000000
166回目,53.629000,9.274190,10.483900,0.000000
167回目,51.612900,9.274190,9.677420,0.000000
168回目,52.822600,18.623500,12.500000,0.000000
169回目,51.821900,11.290300,11.693500,0.000000
170回目,48.790300,10.483900,11.693500,0.000000
171回目,53.629000,12.903200,12.096800,0.000000
172回目,53.225800,10.080600,20.161300,0.000000
173回目,52.016100,12.903200,14.919400,0.000000
174回目,52.016100,11.290300,13.709700,0.000000
175回目,53.629000,12.903200,11.290300,0.000000
176回目,52.822600,9.677420,13.306500,0.000000
177回目,48.790300,9.274190,10.483900,0.000000
178回目,52.016100,12.903200,13.306500,0.000000
179回目,50.806500,10.483900,13.306500,0.000000
180回目,53.225800,10.483900,15.725800,0.000000
181回目,53.225800,19.354800,13.306500,0.000000
182回目,52.822600,12.903200,13.709700,0.000000
183回目,53.225800,10.080600,10.483900,0.000000
184回目,52.822600,12.903200,22.177400,0.000000
185回目,52.822600,10.080600,12.903200,0.000000
186回目,52.016100,9.677420,11.290300,0.000000
187回目,50.000000,19.838100,11.693500,0.000000
188回目,52.016100,8.467740,12.903200,0.000000
189回目,53.225800,19.838100,10.121500,0.000000
190回目,52.016100,10.887100,14.919400,0.000000
191回目,53.225800,12.500000,11.693500,0.000000
192回目,52.822600,12.096800,22.983900,0.000000
193回目,51.612900,12.500000,12.903200,0.000000
194回目,53.225800,9.274190,11.290300,0.000000
195回目,48.790300,11.290300,20.161300,0.000000
196回目,52.016100,13.709700,15.322600,0.000000
197回目,51.821900,8.467740,12.550600,0.000000
198回目,50.806500,12.903200,11.693500,0.000000
199回目,52.016100,19.354800,13.306500,0.000000
200回目,50.000000,10.483900,21.371000,0.000000
201回目,51.612900,12.500000,12.096800,0.000000
202回目,52.016100,12.903200,12.096800,0.000000
203回目,51.612900,10.080600,12.903200,0.000000
204回目,53.629000,12.903200,14.516100,0.000000
205回目,48.790300,10.483900,21.371000,0.000000
206回目,50.806500,12.500000,12.903200,0.000000
207回目,52.016100,12.500000,14.112900,0.000000
208回目,51.821900,9.677420,23.790300,0.000000
209回目,51.821900,11.290300,12.903200,0.000000
210回目,52.016100,19.354800,11.693500,0.000000
211回目,50.000000,12.903200,10.887100,0.000000
212回目,53.629000,11.290300,14.112900,0.000000
213回目,53.225800,12.500000,14.112900,0.000000
214回目,51.821900,11.290300,12.903200,0.000000
215回目,52.016100,10.887100,12.903200,0.000000
216回目,50.806500,9.677420,11.693500,0.000000
217回目,51.821900,10.887100,13.709700,0.000000
218回目,50.806500,8.467740,20.967700,0.000000
219回目,51.821900,13.709700,12.500000,0.000000
220回目,52.016100,12.500000,14.170000,0.000000
221回目,51.612900,12.903200,11.290300,0.000000
222回目,52.822600,10.080600,13.306500,0.000000
223回目,50.000000,12.903200,12.500000,0.000000
224回目,51.612900,10.887100,14.112900,0.000000
225回目,52.016100,14.112900,19.354800,0.000000
226回目,53.225800,11.290300,13.709700,0.000000
227回目,52.016100,9.677420,13.709700,0.000000
228回目,53.225800,11.290300,11.290300,0.000000
229回目,51.821900,10.483900,11.693500,0.000000
230回目,48.790300,13.709700,14.516100,0.000000
231回目,52.016100,11.290300,12.903200,0.000000
232回目,53.629000,9.677420,11.693500,0.000000
233回目,51.821900,12.500000,21.774200,0.000000
234回目,53.629000,13.709700,12.903200,0.000000
235回目,53.629000,11.290300,10.887100,0.000000
236回目,52.016100,12.903200,9.716600,0.000000
237回目,51.821900,11.290300,13.306500,0.000000
238回目,52.016100,11.290300,12.500000,0.000000
239回目,50.000000,14.112900,12.096800,0.000000
240回目,50.000000,11.290300,10.887100,0.000000
241回目,51.821900,14.112900,11.290300,0.000000
242回目,53.225800,19.354800,12.903200,0.000000
243回目,50.000000,10.483900,10.483900,0.000000
244回目,52.016100,10.887100,13.306500,0.000000
245回目,52.016100,12.903200,12.903200,0.000000
246回目,53.225800,9.274190,11.693500,0.000000
247回目,53.629000,12.500000,10.887100,0.000000
248回目,52.016100,11.290300,12.903200,0.000000
249回目,50.806500,10.887100,22.580600,0.000000
250回目,51.821900,10.483900,14.112900,0.000000
