Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2772032.000000,6153958.000000,5456601.000000,5482316.000000
2回目,2810784.000000,6153198.000000,5494609.000000,5536378.000000
3回目,2771416.000000,6095510.000000,5519485.000000,5482316.000000
4回目,2810784.000000,6096000.000000,5511037.000000,5507516.000000
5回目,2810784.000000,6105472.000000,5516043.000000,5529708.000000
6回目,2810784.000000,6133666.000000,5519899.000000,5529708.000000
7回目,2761148.000000,6098276.000000,5498211.000000,5482316.000000
8回目,2753560.000000,6103136.000000,5553691.000000,5529708.000000
9回目,2753560.000000,6133666.000000,5555209.000000,5533424.000000
10回目,2856056.000000,6193022.000000,5540081.000000,5529708.000000
11回目,2810784.000000,6110992.000000,5572429.000000,5536378.000000
12回目,2772032.000000,6133194.000000,5546143.000000,5507516.000000
13回目,2782314.000000,6133666.000000,5541803.000000,5519486.000000
14回目,2728390.000000,6133194.000000,5512627.000000,5536378.000000
15回目,2810784.000000,6133666.000000,5541335.000000,5536378.000000
16回目,2782314.000000,6101966.000000,5457795.000000,5536692.000000
17回目,2762762.000000,6170942.000000,5563483.000000,5519486.000000
18回目,2856056.000000,6170820.000000,5530145.000000,5529708.000000
19回目,2772994.000000,6170820.000000,5551599.000000,5507516.000000
20回目,2728390.000000,6141476.000000,5457299.000000,5499006.000000
21回目,2753560.000000,6125202.000000,5564851.000000,5507690.000000
22回目,2728390.000000,6110992.000000,5522775.000000,5533714.000000
23回目,2772994.000000,6131756.000000,5570017.000000,5519486.000000
24回目,2772994.000000,6130044.000000,5503743.000000,5507516.000000
25回目,2772994.000000,6153958.000000,5529811.000000,5482316.000000
26回目,2761148.000000,6141476.000000,5502111.000000,5519486.000000
27回目,2762762.000000,6148618.000000,5515953.000000,5507516.000000
28回目,2782314.000000,6096000.000000,5525363.000000,5533424.000000
29回目,2782314.000000,6083236.000000,5556263.000000,5533714.000000
30回目,2771416.000000,6130996.000000,5557671.000000,5507690.000000
31回目,2856056.000000,6006944.000000,5500779.000000,5482316.000000
32回目,2810784.000000,6153198.000000,5577755.000000,5536692.000000
33回目,2843290.000000,6168676.000000,5532297.000000,5533424.000000
34回目,2772032.000000,6131756.000000,5558397.000000,5545996.000000
35回目,2782314.000000,6193022.000000,5547893.000000,5507516.000000
36回目,2856056.000000,6170820.000000,5547151.000000,5536692.000000
37回目,2856056.000000,6110992.000000,5576807.000000,5536378.000000
38回目,2762762.000000,6133666.000000,5591045.000000,5536378.000000
39回目,2810784.000000,6029146.000000,5542487.000000,5533424.000000
40回目,2753560.000000,6162632.000000,5549049.000000,5533424.000000
41回目,2753560.000000,6133194.000000,5510611.000000,5482316.000000
42回目,2772994.000000,6155396.000000,5542751.000000,5507690.000000
43回目,2856056.000000,6146474.000000,5503099.000000,5545996.000000
44回目,2856056.000000,6103136.000000,5528813.000000,5499006.000000
45回目,2810784.000000,6162632.000000,5532043.000000,5519486.000000
46回目,2782314.000000,6130996.000000,5495465.000000,5533424.000000
47回目,2762762.000000,6130996.000000,5548481.000000,5536692.000000
48回目,2772032.000000,6118202.000000,5571773.000000,5482316.000000
49回目,2772032.000000,6153198.000000,5516489.000000,5507516.000000
50回目,2771416.000000,6147404.000000,5540199.000000,5519486.000000
51回目,2762762.000000,6110992.000000,5529991.000000,5545996.000000
52回目,2772994.000000,6162632.000000,5550129.000000,5545996.000000
53回目,2843290.000000,6153198.000000,5547041.000000,5533424.000000
54回目,2761148.000000,6133194.000000,5558729.000000,5545996.000000
55回目,2728390.000000,6184834.000000,5549401.000000,5499006.000000
56回目,2771416.000000,6130044.000000,5503657.000000,5533424.000000
57回目,2772994.000000,6130996.000000,5558897.000000,5507690.000000
58回目,2772032.000000,6162632.000000,5523679.000000,5529708.000000
59回目,2771416.000000,6176160.000000,5492045.000000,5507516.000000
60回目,2782314.000000,6148618.000000,5514043.000000,5536378.000000
61回目,2810784.000000,6162632.000000,5542763.000000,5482316.000000
62回目,2772032.000000,6193022.000000,5566103.000000,5533424.000000
63回目,2753560.000000,6103136.000000,5559055.000000,5536378.000000
64回目,2753560.000000,6146474.000000,5546143.000000,5507690.000000
65回目,2772994.000000,6095510.000000,5533769.000000,5519486.000000
66回目,2782314.000000,6170820.000000,5515557.000000,5536692.000000
67回目,2728390.000000,6103136.000000,5532811.000000,5529708.000000
68回目,2761148.000000,6162632.000000,5513305.000000,5536692.000000
69回目,2843290.000000,6133666.000000,5520679.000000,5507516.000000
70回目,2782314.000000,6133666.000000,5549159.000000,5482316.000000
71回目,2772032.000000,6121368.000000,5535729.000000,5545996.000000
72回目,2771416.000000,6083236.000000,5515553.000000,5533714.000000
73回目,2728390.000000,6193022.000000,5622339.000000,5499006.000000
74回目,2856056.000000,6147746.000000,5534689.000000,5519486.000000
75回目,2772994.000000,6148618.000000,5520875.000000,5533714.000000
76回目,2772994.000000,6176160.000000,5558173.000000,5533424.000000
77回目,2771416.000000,6170820.000000,5523051.000000,5545996.000000
78回目,2728390.000000,6083236.000000,5541715.000000,5536378.000000
79回目,2843290.000000,6153958.000000,5560815.000000,5536692.000000
80回目,2771416.000000,6105472.000000,5559853.000000,5499006.000000
