Delay,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,2.248740,6.342580,6.208210,8.291440
134回目,19.029700,6.137010,2.285970,6.313740
135回目,2.383710,6.346000,2.329610,6.443030
136回目,6.634190,10.097900,6.205390,6.257510
137回目,19.029700,6.053750,2.185740,6.313740
138回目,6.634190,6.277770,2.354770,17.723400
139回目,19.715300,6.371260,14.256700,17.723400
140回目,6.634190,10.097900,2.223610,2.313100
141回目,19.029700,6.137010,2.273540,6.425530
142回目,6.941630,6.053750,6.523120,2.237830
143回目,2.383710,25.195900,14.313800,2.237830
144回目,6.941630,6.053750,6.326490,6.425530
145回目,6.941630,25.195900,6.347660,6.425530
146回目,19.029700,2.136220,2.460770,6.342920
147回目,16.628100,6.053750,2.521550,6.342920
148回目,6.941630,2.350030,2.750430,6.443030
149回目,6.634190,10.097900,2.326010,17.723400
150回目,2.383710,6.277770,10.450600,6.421510
151回目,2.248740,6.279130,2.410500,6.313740
152回目,6.762120,6.350250,10.340400,17.723400
153回目,16.628100,6.279130,2.257480,6.442620
154回目,10.857900,2.204690,2.214790,17.723400
155回目,2.383710,6.053750,6.353930,6.443030
156回目,10.857900,10.097900,6.415730,6.442620
157回目,6.634190,6.277770,2.289630,6.442620
158回目,6.854490,2.359040,6.302450,6.442620
159回目,2.383710,6.137010,10.593200,6.342920
160回目,19.715300,6.277770,2.315500,2.237830
161回目,6.762120,2.260390,2.217760,6.443030
162回目,6.854490,2.350030,14.259600,6.421510
163回目,6.634190,2.042400,6.243030,6.421510
164回目,2.383710,6.277770,6.250510,6.257510
165回目,6.941630,6.371260,6.120450,6.442620
166回目,16.628100,2.313860,10.060600,6.342920
167回目,19.715300,2.404700,2.565540,2.237830
168回目,2.383710,2.042400,6.432140,6.313740
169回目,6.881860,2.042400,6.345440,6.342920
170回目,6.881860,6.342580,6.489360,6.442620
171回目,6.634190,2.204690,6.598870,6.257510
172回目,6.854490,2.313860,10.095100,2.237830
173回目,6.881860,10.097900,6.294530,2.313100
174回目,6.854490,2.136220,2.386210,6.442620
175回目,10.857900,2.136220,6.225870,6.443030
176回目,6.634190,2.359040,6.226700,2.313100
177回目,19.029700,2.204690,2.439560,8.291440
178回目,19.715300,6.137010,2.279860,6.257510
179回目,19.715300,6.342580,6.184660,6.257510
180回目,6.881860,10.097900,2.414000,6.443030
181回目,6.881860,2.359040,14.168700,6.443030
182回目,10.857900,6.350250,6.364000,6.313740
183回目,2.383710,6.346000,2.195040,6.425530
184回目,6.762120,2.204690,2.638410,6.342920
185回目,6.881860,6.137010,6.313680,6.443030
186回目,2.383710,6.137010,2.347410,6.443030
187回目,6.634190,25.195900,6.544950,6.257510
188回目,6.762120,6.342580,9.937150,6.442620
189回目,6.881860,6.350250,2.423110,6.257510
190回目,2.383710,2.204690,6.386620,6.442620
191回目,19.029700,6.277770,6.258750,6.342920
192回目,19.715300,6.277770,10.070900,2.237830
193回目,16.628100,2.313860,2.522010,8.291440
194回目,2.383710,6.053750,6.459920,6.425530
195回目,10.857900,25.195900,2.376340,2.313100
196回目,16.628100,2.042400,2.305860,6.442620
197回目,6.881860,2.260390,6.097930,6.442620
198回目,10.857900,2.042400,2.382080,6.342920
199回目,6.634190,25.369700,2.309820,6.342920
200回目,19.029700,2.263110,6.319350,2.237830
201回目,6.941630,2.140760,10.202700,6.313740
202回目,16.628100,10.097900,2.418540,6.257510
203回目,19.715300,2.204690,10.378800,8.291440
204回目,16.628100,6.350250,2.550030,6.443030
205回目,19.029700,6.137010,6.442780,6.443030
206回目,6.881860,6.350250,6.189140,6.421510
207回目,6.941630,6.350250,2.366040,6.342920
208回目,6.634190,13.882600,2.396610,2.313100
209回目,19.029700,25.195900,6.383150,8.291440
210回目,6.881860,2.136220,2.123530,6.257510
211回目,6.762120,10.097900,6.340270,6.421510
212回目,2.248740,10.097900,6.196060,6.425530
213回目,19.715300,6.053750,6.406180,6.421510
214回目,6.854490,2.313860,6.335760,6.257510
215回目,2.248740,25.195900,6.256400,6.425530
216回目,2.383710,2.136220,13.805000,17.723400
217回目,16.628100,2.350030,6.108420,6.442620
218回目,6.634190,6.277770,2.199400,6.425530
219回目,19.029700,2.136220,6.379790,6.313740
220回目,6.634190,6.053750,6.424090,6.443030
221回目,6.762120,25.195900,6.185570,2.313100
222回目,6.634190,2.263110,10.088300,6.442620
223回目,16.628100,6.137010,2.106790,6.421510
224回目,6.762120,6.053750,2.448480,17.723400
225回目,6.854490,6.277770,6.325240,6.425530
226回目,6.941630,2.404700,2.485440,17.723400
227回目,10.857900,2.350030,2.428910,17.723400
228回目,6.881860,6.053750,2.305860,6.257510
229回目,6.634190,25.195900,6.448010,2.313100
230回目,2.248740,2.140760,2.387680,6.442620
231回目,10.857900,2.350030,6.302820,6.313740
232回目,19.029700,25.369700,6.321740,8.291440
233回目,6.881860,6.346000,2.292550,6.342920
234回目,2.383710,10.097900,2.347430,2.313100
235回目,19.715300,25.195900,2.242980,6.442620
236回目,2.248740,6.277770,6.224900,2.237830
237回目,2.383710,6.342580,2.245080,6.421510
238回目,2.383710,2.042400,6.232020,2.237830
239回目,19.715300,2.136220,10.275800,6.442620
240回目,10.857900,25.369700,13.889100,6.342920
241回目,10.857900,2.204690,2.476700,17.723400
242回目,6.634190,6.053750,2.178950,17.723400
243回目,19.029700,2.404700,2.105920,6.425530
244回目,6.634190,10.097900,6.218010,2.313100
245回目,6.854490,6.053750,2.162890,6.342920
246回目,19.029700,25.195900,6.397240,6.442620
247回目,2.383710,6.371260,10.250200,6.425530
248回目,6.634190,25.195900,6.346330,2.313100
249回目,6.854490,6.279130,6.208500,6.421510
250回目,6.854490,6.350250,6.276580,6.425530
