Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,6.707020,7.505950,7.360490,7.360490
134回目,7.490240,7.806310,7.615410,7.360490
135回目,6.905930,7.331400,7.452850,7.215020
136回目,6.813040,7.535050,7.299790,7.322260
137回目,7.490240,7.564140,7.156840,7.360490
138回目,6.813040,7.472930,7.040470,7.535040
139回目,6.782700,7.244110,7.351810,7.535040
140回目,6.813040,7.535050,7.093440,7.098650
141回目,7.490240,7.806310,7.190190,7.318030
142回目,6.648540,7.564140,7.385360,7.311250
143回目,6.905930,7.622320,7.535050,7.311250
144回目,6.648540,7.564140,7.579090,7.318030
145回目,6.648540,7.622320,7.334090,7.318030
146回目,7.490240,7.796880,7.615420,7.920170
147回目,6.772800,7.564140,7.677260,7.920170
148回目,6.648540,7.389580,7.389580,7.215020
149回目,6.813040,7.535050,7.214980,7.535040
150回目,6.905930,7.472930,7.486300,7.181020
151回目,6.707020,7.531310,7.263940,7.360490
152回目,6.937170,7.578930,7.439680,7.535040
153回目,6.772800,7.531310,7.058910,7.533630
154回目,6.864870,7.326970,7.447760,7.535040
155回目,6.905930,7.564140,7.215030,7.215020
156回目,6.864870,7.535050,7.210210,7.533630
157回目,6.813040,7.472930,7.410390,7.533630
158回目,6.905930,7.683830,7.293230,7.533630
159回目,6.905930,7.806310,7.331400,7.920170
160回目,6.782700,7.472930,7.505950,7.311250
161回目,6.937170,7.472930,7.098660,7.215020
162回目,6.905930,7.389580,7.505950,7.181020
163回目,6.813040,7.406210,7.389590,7.181020
164回目,6.905930,7.472930,7.531310,7.322260
165回目,6.648540,7.244110,7.706460,7.533630
166回目,6.772800,7.410380,7.549440,7.920170
167回目,6.782700,7.541950,7.418680,7.311250
168回目,6.905930,7.406210,7.329590,7.360490
169回目,6.744480,7.406210,7.297780,7.920170
170回目,6.744480,7.505950,7.185940,7.533630
171回目,6.813040,7.326970,7.331390,7.322260
172回目,6.905930,7.410380,7.722780,7.311250
173回目,6.744480,7.535050,7.586120,7.098650
174回目,6.905930,7.796880,7.418680,7.533630
175回目,6.864870,7.796880,7.476860,7.215020
176回目,6.813040,7.683830,7.770510,7.098650
177回目,7.490240,7.326970,7.156840,7.360490
178回目,6.782700,7.806310,7.205360,7.322260
179回目,6.782700,7.505950,7.210210,7.322260
