HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1.919150,1.991970,1.963410,1.947580
2回目,1.927350,1.956690,1.946500,1.954730
3回目,1.911890,1.964980,1.950620,1.937500
4回目,1.919150,1.967210,1.964140,1.946500
5回目,1.911890,1.955650,1.938520,1.946500
6回目,1.904760,1.951420,1.934160,1.954730
7回目,1.893330,1.971430,1.966940,1.964290
8回目,1.894270,1.964980,1.984130,1.954730
9回目,1.881820,1.972440,1.984620,1.964290
10回目,1.893330,1.956690,1.937500,1.959350
11回目,1.906250,1.956690,1.968130,1.951420
12回目,1.895650,1.963410,1.951220,1.946500
13回目,1.893330,1.964290,1.987850,1.951420
14回目,1.895650,1.972440,1.967610,1.937500
15回目,1.895650,1.972440,1.944220,1.951420
16回目,1.895650,1.964980,1.971770,1.946500
17回目,1.902130,1.972440,1.934430,1.971770
18回目,1.893330,1.973180,1.953970,1.951420
19回目,1.893330,1.964290,1.934960,1.967480
20回目,1.927350,1.973180,1.959350,1.947580
21回目,1.904760,1.967210,1.958680,1.959350
22回目,1.895650,1.972440,1.956000,1.967480
23回目,1.897780,1.964980,1.964570,1.959350
24回目,1.927350,1.972440,1.947150,1.959350
25回目,1.919150,1.972440,1.951420,1.937500
26回目,1.906250,1.973180,1.949580,1.964290
27回目,1.902130,1.991970,1.947370,1.951420
28回目,1.904760,1.956690,1.955820,1.937500
29回目,1.904760,1.971430,1.945830,1.971770
30回目,1.906250,1.971430,1.952190,1.937500
31回目,1.893330,1.972440,1.942620,1.951420
32回目,1.927350,1.967870,1.963860,1.954730
33回目,1.919150,1.967210,2.000000,1.971770
34回目,1.927350,1.951420,1.954730,1.967480
35回目,1.927350,1.991970,1.971540,1.959350
36回目,1.902130,1.955100,1.976280,1.964290
37回目,1.902130,1.964290,1.951020,1.937240
38回目,1.894270,1.967210,1.956000,1.937500
39回目,1.897780,1.963410,1.959350,1.951420
40回目,1.906250,1.963710,1.952380,1.951420
41回目,1.893330,1.972440,1.972440,1.937240
42回目,1.927350,1.955100,1.955100,1.937240
43回目,1.911890,1.971770,1.955470,1.937500
44回目,1.902130,1.991970,1.967480,1.954730
45回目,1.906250,1.967210,1.972110,1.951420
46回目,1.902130,1.964290,1.960000,1.971770
47回目,1.911890,1.963410,1.972220,1.959350
48回目,1.902130,1.964290,1.946500,1.937500
49回目,1.911890,1.972440,1.955280,1.951420
50回目,1.895650,1.973180,1.976100,1.937240
51回目,1.881820,1.955820,1.956520,1.964290
52回目,1.919150,1.973180,1.945610,1.967480
53回目,1.894270,1.955650,1.967740,1.951420
54回目,1.894270,1.984130,1.943320,1.954730
55回目,1.919150,1.967210,1.972330,1.967480
56回目,1.911890,1.964980,1.968130,1.951420
57回目,1.904760,1.972440,1.936440,1.951420
58回目,1.906250,1.955650,1.968000,1.967480
59回目,1.927350,1.967870,1.942150,1.967480
60回目,1.902130,1.984130,1.966800,1.946500
61回目,1.897780,1.991970,1.932200,1.937240
62回目,1.897780,1.967210,1.942390,1.937240
63回目,1.894270,1.967210,1.953390,1.947580
64回目,1.919150,1.972440,1.959510,1.947580
65回目,1.906250,1.956690,1.959510,1.954730
66回目,1.919150,1.972440,1.950620,1.946500
67回目,1.895650,1.971430,1.960000,1.937500
68回目,1.919150,1.963410,1.963560,1.951420
69回目,1.897780,1.955820,1.927350,1.959350
70回目,1.895650,1.991970,1.967210,1.937500
71回目,1.927350,1.967870,1.949370,1.946500
72回目,1.893330,1.964290,1.951220,1.971770
73回目,1.893330,1.972440,1.946720,1.951420
74回目,1.911890,1.962960,1.960000,1.946500
75回目,1.927350,1.967350,1.956000,1.954730
76回目,1.881820,1.991970,1.932200,1.951420
77回目,1.927350,1.991970,1.935480,1.964290
78回目,1.894270,1.967350,1.944680,1.971770
79回目,1.897780,1.956690,1.959020,1.937240
80回目,1.919150,1.967350,1.960160,1.971770
81回目,1.893330,1.964290,1.928570,1.954730
82回目,1.919150,1.991970,1.964570,1.964290
83回目,1.911890,1.971430,1.942150,1.967480
84回目,1.881820,1.955820,1.950410,1.937500
85回目,1.881820,1.972440,1.939760,1.967480
86回目,1.906250,1.991970,1.955820,1.954730
87回目,1.893330,1.972440,1.950210,1.967480
88回目,1.927350,1.972440,1.946720,1.937500
89回目,1.894270,1.967210,1.963710,1.937240
90回目,1.902130,1.972440,1.963270,1.951420
91回目,1.902130,1.967480,1.945610,1.946500
92回目,1.897780,1.972440,1.946500,1.937240
93回目,1.894270,1.956690,1.946720,1.947580
94回目,1.897780,1.991970,1.971890,1.971770
95回目,1.919150,1.991970,1.931730,1.937500
96回目,1.897780,1.962960,1.968630,1.971770
97回目,1.881820,1.951420,1.959020,1.947580
98回目,1.897780,1.963710,1.963710,1.964290
99回目,1.881820,1.971430,1.948210,1.959350
100回目,1.927350,1.973180,1.939760,1.964290
101回目,1.902130,1.991970,1.943780,1.951420
102回目,1.927350,1.972440,1.953970,1.937500
103回目,1.927350,1.971430,1.958510,1.946500
104回目,1.911890,1.967870,1.946720,1.971770
105回目,1.881820,1.955100,1.963110,1.946500
106回目,1.897780,1.972440,1.927130,1.951420
107回目,1.894270,1.984130,1.947370,1.959350
108回目,1.893330,1.971430,1.950820,1.947580
109回目,1.893330,1.951420,1.920830,1.971770
110回目,1.906250,1.967350,1.951610,1.951420
111回目,1.897780,2.000000,1.946280,1.951420
112回目,1.881820,1.956690,1.984190,1.937240
113回目,1.895650,1.972440,1.983940,1.967480
114回目,1.906250,1.967210,1.980160,1.937240
115回目,1.897780,1.984130,1.939760,1.971770
116回目,1.906250,1.963410,1.962660,1.947580
117回目,1.927350,1.967350,1.951610,1.947580
118回目,1.919150,1.962960,1.946720,1.967480
119回目,1.927350,1.991970,1.949580,1.967480
120回目,1.902130,1.971430,1.938780,1.964290
121回目,1.894270,1.955650,1.951020,1.951420
122回目,1.919150,1.972440,1.951220,1.937240
123回目,1.919150,1.956690,1.964000,1.971770
124回目,1.893330,1.984130,1.955650,1.937500
125回目,1.911890,1.971430,1.923400,1.947580
126回目,1.927350,1.955820,1.959840,1.951420
127回目,1.893330,1.967870,1.971660,1.937240
128回目,1.906250,1.955820,1.984190,1.954730
129回目,1.895650,1.972440,1.917030,1.937240
130回目,1.895650,1.972440,1.947150,1.959350
131回目,1.919150,1.955820,1.960320,1.971770
132回目,1.902130,1.967210,1.948210,1.951420
133回目,1.893330,1.964980,1.942860,1.964290
134回目,1.904760,1.951420,1.959350,1.959350
135回目,1.902130,1.967350,1.943320,1.954730
136回目,1.893330,1.967210,1.959350,1.954730
137回目,1.902130,1.955650,1.947150,1.971770
138回目,1.927350,1.967870,1.947580,1.937240
139回目,1.919150,1.967480,1.968000,1.937240
140回目,1.897780,1.971430,1.941420,1.967480
141回目,1.902130,1.971430,1.967610,1.937500
142回目,1.894270,1.955820,1.955470,1.937500
143回目,1.902130,1.964290,1.939760,1.946500
144回目,1.906250,1.971770,1.946280,1.964290
145回目,1.911890,1.991970,1.951610,1.964290
146回目,1.881820,1.984130,1.976280,1.954730
147回目,1.895650,1.955650,1.959350,1.967480
148回目,1.919150,1.984130,1.971070,1.937240
149回目,1.897780,1.964290,1.968000,1.951420
150回目,1.927350,1.973180,1.955280,1.946500
151回目,1.906250,1.967350,1.951020,1.947580
152回目,1.911890,1.972440,1.945150,1.964290
153回目,1.927350,1.984130,1.950620,1.947580
154回目,1.919150,1.984130,1.980080,1.946500
155回目,1.927350,1.963410,1.975810,1.937500
156回目,1.906250,1.967350,1.956000,1.964290
157回目,1.927350,1.967480,1.972660,1.937500
158回目,1.906250,1.951420,1.960470,1.964290
159回目,1.904760,1.991970,1.936710,1.946500
160回目,1.881820,1.964290,1.955820,1.951420
161回目,1.919150,1.972440,1.934690,1.964290
162回目,1.902130,1.967870,1.967610,1.937500
163回目,1.894270,1.967210,1.964140,1.967480
164回目,1.906250,1.991970,1.942390,1.947580
165回目,1.902130,1.951420,1.972970,1.951420
166回目,1.919150,1.955100,1.959510,1.959350
167回目,1.904760,1.984130,1.942150,1.954730
168回目,1.894270,1.955650,1.941670,1.951420
169回目,1.894270,1.973180,1.945610,1.971770
170回目,1.919150,1.955820,1.952000,1.959350
171回目,1.881820,1.967210,1.968130,1.954730
172回目,1.911890,1.963710,1.938780,1.937500
173回目,1.897780,1.971430,1.927040,1.937240
174回目,1.881820,1.991970,1.955100,1.947580
175回目,1.894270,1.971430,1.963710,1.937500
176回目,1.893330,1.967350,1.958680,1.937500
177回目,1.897780,1.972440,1.960320,1.959350
178回目,1.893330,1.964290,1.963270,1.964290
179回目,1.919150,1.991970,1.962810,1.964290
180回目,1.911890,2.000000,1.980000,1.937240
181回目,1.927350,1.956690,1.948210,1.951420
