Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,10.622300,5.961930,1.929660,2.173350
2回目,2.220090,5.985890,6.212800,10.309100
3回目,2.073260,13.888400,6.287000,6.374990
4回目,10.622300,2.101750,6.064190,6.244870
5回目,2.073260,2.036280,2.138980,6.244870
6回目,2.215260,6.096810,2.293520,10.309100
7回目,24.472800,10.434100,2.305680,2.275070
8回目,6.473280,13.888400,6.026330,10.309100
9回目,6.361450,10.213700,1.954650,2.275070
10回目,24.472800,5.985890,6.347140,6.386380
11回目,1.960760,5.985890,2.338950,2.274580
12回目,15.058400,30.695800,2.269250,6.244870
13回目,24.472800,2.041900,6.273480,2.274580
14回目,15.058400,10.213700,2.184370,6.374990
15回目,15.058400,10.065300,2.062130,2.274580
16回目,15.058400,13.888400,5.946110,6.244870
17回目,2.146380,10.065300,6.150640,2.184490
18回目,24.472800,5.941330,2.095430,2.274580
19回目,24.472800,2.041900,6.072570,10.513700
20回目,2.220090,5.941330,10.413400,2.173350
21回目,2.215260,2.101750,2.009960,6.386380
22回目,15.058400,10.213700,6.130740,10.513700
23回目,10.903400,13.888400,2.124720,6.386380
24回目,2.220090,10.065300,10.292100,6.386380
25回目,10.622300,10.213700,2.289820,6.374990
26回目,1.960760,5.941330,2.093140,2.275070
27回目,2.146380,5.961930,10.212800,2.274580
28回目,2.215260,5.985890,6.318520,6.374990
29回目,2.215260,10.434100,6.168290,2.184490
30回目,1.960760,10.434100,2.070570,6.374990
31回目,24.472800,10.213700,2.100540,10.229200
32回目,2.220090,2.086930,6.134450,10.309100
33回目,10.622300,2.101750,2.369270,2.184490
34回目,2.220090,6.096810,6.098460,10.513700
35回目,2.220090,5.961930,6.039430,6.386380
36回目,2.146380,2.088880,2.200980,2.275070
37回目,2.146380,2.041900,2.233420,27.443400
38回目,6.473280,2.101750,2.200450,6.374990
39回目,10.903400,30.695800,6.113330,10.229200
40回目,1.960760,2.159970,1.943550,2.274580
41回目,24.472800,10.213700,2.149390,27.443400
42回目,2.220090,2.088880,2.088850,27.443400
43回目,2.073260,14.152300,6.259550,6.374990
44回目,2.146380,5.961930,14.419500,10.309100
45回目,1.960760,2.101750,2.127970,2.274580
46回目,2.146380,2.041900,6.525560,2.184490
47回目,2.073260,30.695800,6.462950,6.386380
48回目,2.146380,2.041900,2.013670,6.374990
49回目,2.073260,10.065300,2.082320,2.274580
50回目,15.058400,5.941330,1.993840,27.443400
51回目,6.361450,2.154220,2.000650,2.275070
52回目,10.622300,5.941330,1.935870,10.513700
53回目,6.473280,2.036280,2.197630,2.274580
54回目,6.473280,1.964210,6.045080,10.309100
55回目,10.622300,2.101750,2.143370,10.513700
56回目,2.073260,13.888400,2.197440,10.229200
57回目,2.215260,10.213700,2.116030,10.229200
58回目,1.960760,2.036280,6.279440,10.513700
59回目,2.220090,2.086930,6.294200,10.513700
60回目,2.146380,1.964210,2.003410,6.244870
61回目,10.903400,5.961930,2.035810,27.443400
62回目,10.903400,2.101750,2.203530,27.443400
63回目,6.473280,2.101750,1.969840,2.173350
64回目,10.622300,10.065300,6.150970,2.173350
65回目,1.960760,5.985890,2.319860,10.309100
66回目,10.622300,10.213700,6.148660,6.244870
67回目,15.058400,10.434100,2.210650,6.374990
68回目,10.622300,30.695800,6.090390,2.274580
69回目,10.903400,2.154220,10.765300,6.386380
70回目,15.058400,5.961930,6.104390,6.374990
71回目,2.220090,2.086930,2.126960,6.244870
72回目,24.472800,2.041900,2.127740,2.184490
73回目,24.472800,10.065300,1.991780,10.229200
74回目,2.073260,6.093290,2.069270,6.244870
75回目,2.220090,2.115810,2.173780,10.309100
76回目,6.361450,5.961930,6.321960,2.274580
77回目,2.220090,5.961930,2.058210,2.275070
78回目,6.473280,2.115810,1.972790,2.184490
79回目,10.903400,5.985890,2.079730,27.443400
80回目,10.622300,2.115810,6.378940,2.184490
81回目,24.472800,2.041900,2.050750,10.309100
82回目,10.622300,5.961930,2.040740,2.275070
83回目,2.073260,10.434100,2.012450,10.513700
84回目,6.361450,2.154220,2.166980,6.374990
85回目,6.361450,10.065300,2.057530,10.513700
86回目,1.960760,5.961930,2.060640,10.309100
87回目,24.472800,10.213700,6.150100,10.513700
88回目,2.220090,10.213700,2.068640,6.374990
89回目,6.473280,2.101750,6.143390,27.443400
90回目,2.146380,10.065300,10.075600,2.274580
