Memory,GPSR,NGPSR,NPGPSR,NDGPSR
81回目,84740.000000,85164.000000,560764.000000,285420.000000
82回目,84524.000000,85484.000000,560756.000000,285464.000000
83回目,84560.000000,85636.000000,560880.000000,285076.000000
84回目,84436.000000,85652.000000,560664.000000,284796.000000
85回目,84772.000000,85736.000000,561084.000000,285144.000000
86回目,84620.000000,85576.000000,560872.000000,285076.000000
87回目,84412.000000,85536.000000,561064.000000,285140.000000
88回目,84296.000000,85760.000000,561244.000000,285440.000000
89回目,84560.000000,85300.000000,560616.000000,285336.000000
90回目,84172.000000,85376.000000,560868.000000,285108.000000
91回目,84436.000000,85656.000000,560772.000000,285344.000000
92回目,84528.000000,85220.000000,560872.000000,285320.000000
93回目,84400.000000,85856.000000,560680.000000,285216.000000
94回目,84332.000000,85580.000000,560852.000000,284972.000000
95回目,84392.000000,85604.000000,560716.000000,285324.000000
96回目,84724.000000,85620.000000,560788.000000,285284.000000
97回目,84472.000000,85676.000000,560892.000000,285512.000000
98回目,84456.000000,85400.000000,561076.000000,285344.000000
99回目,84568.000000,85892.000000,560788.000000,284948.000000
100回目,84040.000000,85436.000000,560916.000000,285508.000000
101回目,84624.000000,85784.000000,561164.000000,285464.000000
102回目,84696.000000,85588.000000,560556.000000,284980.000000
103回目,84892.000000,85624.000000,561092.000000,285348.000000
104回目,84780.000000,85656.000000,560536.000000,285356.000000
105回目,84324.000000,85528.000000,561052.000000,285352.000000
106回目,84656.000000,85764.000000,560844.000000,285236.000000
107回目,84692.000000,85900.000000,560532.000000,284948.000000
108回目,84732.000000,85180.000000,560388.000000,285344.000000
109回目,84436.000000,85268.000000,560984.000000,285332.000000
110回目,84560.000000,85840.000000,560956.000000,285320.000000
111回目,84452.000000,85612.000000,560444.000000,285360.000000
112回目,84440.000000,85700.000000,561224.000000,285300.000000
113回目,84864.000000,85536.000000,561104.000000,285356.000000
114回目,84344.000000,85616.000000,560516.000000,285020.000000
115回目,84580.000000,85204.000000,560772.000000,285184.000000
116回目,84444.000000,85824.000000,561236.000000,285344.000000
117回目,84452.000000,85656.000000,560460.000000,285336.000000
118回目,84048.000000,85688.000000,560604.000000,285580.000000
119回目,84496.000000,85552.000000,560692.000000,285240.000000
120回目,84476.000000,85152.000000,560812.000000,285336.000000
121回目,84600.000000,85328.000000,560668.000000,285268.000000
122回目,84568.000000,85872.000000,560952.000000,284984.000000
123回目,84384.000000,85644.000000,560940.000000,285008.000000
124回目,84908.000000,85388.000000,560768.000000,285012.000000
125回目,84436.000000,85352.000000,560900.000000,285316.000000
126回目,84620.000000,85496.000000,561232.000000,284644.000000
127回目,84692.000000,85508.000000,560560.000000,285288.000000
128回目,84740.000000,85732.000000,560880.000000,284948.000000
129回目,84740.000000,85428.000000,560372.000000,285360.000000
130回目,84488.000000,85536.000000,560896.000000,285352.000000
