HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,1.850810,1.874050,1.855470,1.873080
134回目,1.858300,1.883020,1.870230,1.875000
135回目,1.850810,1.875970,1.875000,1.871210
136回目,1.861220,1.875000,1.871600,1.875000
137回目,1.869050,1.875970,1.870080,1.873080
138回目,1.858300,1.873560,1.876920,1.868220
139回目,1.866670,1.857140,1.876920,1.865380
140回目,1.866670,1.876920,1.876450,1.865900
141回目,1.858300,1.865080,1.872590,1.868220
142回目,1.866670,1.876450,1.864340,1.868220
143回目,1.843620,1.874520,1.857140,1.875490
144回目,1.862350,1.873560,1.876450,1.868730
145回目,1.865850,1.873610,1.876450,1.875490
146回目,1.861220,1.871700,1.868730,1.868420
147回目,1.862350,1.875970,1.870720,1.875000
148回目,1.865850,1.873560,1.869730,1.868730
149回目,1.865850,1.871700,1.859320,1.868220
150回目,1.861220,1.857140,1.870590,1.871210
151回目,1.858300,1.876920,1.864660,1.875490
152回目,1.862350,1.876920,1.875490,1.875000
153回目,1.861220,1.857140,1.870720,1.868730
154回目,1.858300,1.874050,1.856030,1.868220
155回目,1.866670,1.868730,1.864340,1.873080
156回目,1.869050,1.875000,1.873560,1.868220
157回目,1.843620,1.874050,1.881680,1.873080
158回目,1.843620,1.871700,1.876450,1.868730
159回目,1.843620,1.874050,1.866670,1.868730
160回目,1.858870,1.875970,1.871090,1.875490
161回目,1.858300,1.875000,1.869730,1.873080
162回目,1.866670,1.875970,1.872090,1.865380
163回目,1.861220,1.873610,1.878330,1.868220
164回目,1.843620,1.874050,1.872090,1.868220
165回目,1.861220,1.875000,1.872090,1.873080
166回目,1.865850,1.875970,1.872090,1.875490
167回目,1.865850,1.876450,1.872090,1.868220
168回目,1.861220,1.868730,1.871600,1.868420
169回目,1.861220,1.878790,1.867700,1.868220
170回目,1.861220,1.871700,1.872090,1.865380
171回目,1.868530,1.875970,1.873080,1.873080
172回目,1.862350,1.871700,1.877390,1.868220
173回目,1.843620,1.868730,1.876450,1.868420
174回目,1.869050,1.868730,1.870720,1.879840
175回目,1.858870,1.874050,1.872090,1.879840
176回目,1.862350,1.875000,1.874520,1.871210
177回目,1.858870,1.874050,1.877390,1.865900
178回目,1.868530,1.873560,1.866920,1.868220
179回目,1.866670,1.874050,1.863280,1.879840
180回目,1.843620,1.875000,1.871090,1.868420
181回目,1.866670,1.871700,1.870590,1.873080
182回目,1.858300,1.874050,1.877390,1.873080
183回目,1.858300,1.874050,1.878330,1.868220
184回目,1.861220,1.878330,1.873560,1.868220
185回目,1.868530,1.874020,1.862070,1.865900
186回目,1.861220,1.868730,1.870590,1.865900
187回目,1.858870,1.875970,1.873560,1.875490
188回目,1.862350,1.878330,1.870230,1.879840
189回目,1.858300,1.874050,1.855470,1.865380
190回目,1.858300,1.878330,1.870590,1.868220
191回目,1.868530,1.883020,1.878330,1.868730
192回目,1.858300,1.883020,1.857140,1.875490
193回目,1.850810,1.874050,1.871600,1.868220
194回目,1.861220,1.873560,1.852000,1.875490
195回目,1.868530,1.871700,1.872090,1.875000
196回目,1.861220,1.876920,1.861000,1.873080
197回目,1.869050,1.883020,1.870590,1.868730
198回目,1.861220,1.876450,1.866920,1.865380
199回目,1.869050,1.875970,1.875000,1.865900
200回目,1.862350,1.871700,1.872090,1.868220
201回目,1.868530,1.876920,1.867160,1.868730
202回目,1.868530,1.874050,1.872590,1.865900
203回目,1.861220,1.865080,1.870230,1.879840
204回目,1.865850,1.874520,1.876450,1.865900
205回目,1.868530,1.883020,1.854330,1.875000
206回目,1.861220,1.876920,1.853750,1.868220
207回目,1.858300,1.875000,1.854900,1.871210
208回目,1.858870,1.874050,1.871600,1.868220
209回目,1.843620,1.878330,1.876920,1.868420
210回目,1.869050,1.873560,1.866670,1.873080
211回目,1.861220,1.868730,1.868730,1.868220
212回目,1.858300,1.857140,1.870720,1.868420
213回目,1.861220,1.871700,1.872090,1.875490
214回目,1.865850,1.876920,1.853170,1.865900
215回目,1.850810,1.875970,1.855420,1.865900
216回目,1.862350,1.874050,1.871600,1.868420
217回目,1.861220,1.875000,1.873080,1.868420
218回目,1.869050,1.868730,1.866670,1.875000
219回目,1.869050,1.878330,1.871600,1.873080
220回目,1.862350,1.875000,1.871600,1.873080
221回目,1.862350,1.874050,1.866670,1.871210
222回目,1.850810,1.878330,1.857690,1.868420
223回目,1.868530,1.874050,1.869050,1.875490
224回目,1.858870,1.874050,1.853750,1.865380
225回目,1.858870,1.875970,1.860470,1.868730
226回目,1.861220,1.876920,1.874020,1.873080
227回目,1.866670,1.875000,1.872180,1.875490
228回目,1.858870,1.871700,1.861110,1.875490
229回目,1.850810,1.878330,1.878330,1.868220
230回目,1.869050,1.871700,1.879250,1.871210
231回目,1.866670,1.871700,1.871090,1.865900
232回目,1.869050,1.874050,1.862600,1.868420
233回目,1.843620,1.873610,1.871600,1.879840
234回目,1.868530,1.871700,1.877390,1.868220
235回目,1.861220,1.876450,1.871090,1.875000
236回目,1.865850,1.875970,1.854330,1.875000
237回目,1.869050,1.871700,1.877860,1.871210
238回目,1.843620,1.868730,1.873080,1.875490
239回目,1.861220,1.875000,1.866670,1.868220
240回目,1.866670,1.875970,1.866140,1.875490
241回目,1.850810,1.874050,1.854900,1.875490
242回目,1.865850,1.874520,1.878790,1.868730
243回目,1.869050,1.868730,1.874520,1.879840
244回目,1.862350,1.874050,1.865170,1.865380
245回目,1.861220,1.874050,1.872090,1.868420
246回目,1.866670,1.857140,1.872090,1.865900
247回目,1.865850,1.871700,1.852590,1.875490
248回目,1.861220,1.875000,1.870590,1.879840
249回目,1.858300,1.878330,1.856030,1.868220
250回目,1.861220,1.876920,1.877390,1.868220
