PDR,GPSR,NGPSR,NPGPSR,NDGPSR
133回目,83.221500,87.919500,85.906000,87.248300
134回目,82.885900,88.926200,88.215500,88.590600
135回目,83.221500,86.577200,85.906000,88.888900
136回目,82.214800,88.590600,86.241600,88.590600
137回目,84.563800,86.577200,85.234900,87.248300
138回目,82.885900,87.583900,87.248300,86.577200
139回目,85.570500,87.205400,87.248300,87.248300
140回目,85.570500,87.248300,86.912800,87.583900
141回目,82.885900,84.848500,86.912800,86.577200
142回目,85.570500,86.912800,86.577200,86.577200
143回目,81.543600,88.255000,84.563800,86.241600
144回目,82.885900,87.583900,86.912800,86.912800
145回目,82.550300,90.268500,86.912800,86.241600
146回目,82.214800,88.926200,86.912800,89.261700
147回目,82.885900,86.577200,88.255000,88.590600
148回目,82.550300,87.583900,87.583900,86.912800
149回目,82.550300,88.926200,88.255000,86.577200
150回目,82.214800,87.205400,85.570500,88.888900
151回目,82.885900,87.248300,89.261700,86.241600
152回目,82.885900,87.248300,86.241600,88.590600
153回目,82.214800,87.205400,88.255000,86.912800
154回目,82.885900,87.919500,86.241600,86.577200
155回目,85.570500,86.912800,86.577200,87.248300
156回目,84.563800,88.590600,87.583900,86.577200
157回目,81.543600,87.919500,87.919500,87.248300
158回目,81.543600,88.926200,86.912800,86.912800
159回目,81.543600,87.919500,90.604000,86.912800
160回目,83.501700,86.577200,85.906000,86.241600
161回目,82.885900,88.590600,87.583900,87.248300
162回目,85.570500,86.577200,86.577200,87.248300
163回目,82.214800,90.268500,88.255000,86.577200
164回目,81.543600,87.919500,86.577200,86.577200
165回目,82.214800,88.590600,86.577200,87.248300
166回目,82.550300,86.577200,86.577200,86.241600
167回目,82.550300,86.912800,86.577200,86.577200
168回目,82.214800,86.912800,86.241600,89.261700
169回目,82.214800,88.590600,86.241600,86.577200
170回目,82.214800,88.926200,86.577200,87.248300
171回目,84.228200,86.577200,87.542100,87.248300
172回目,82.885900,88.926200,87.583900,86.577200
173回目,81.543600,86.912800,86.912800,89.261700
174回目,84.563800,86.912800,88.255000,86.577200
175回目,83.501700,87.919500,86.577200,86.577200
176回目,82.885900,88.590600,88.255000,88.888900
177回目,83.501700,87.919500,87.583900,87.583900
178回目,84.228200,87.583900,88.255000,86.577200
179回目,85.570500,87.919500,85.906000,86.577200
180回目,81.543600,88.590600,85.906000,89.261700
181回目,85.570500,88.926200,85.570500,87.248300
182回目,82.885900,87.919500,87.583900,87.248300
183回目,82.885900,87.919500,88.255000,86.577200
184回目,82.214800,88.255000,87.583900,86.577200
185回目,84.228200,85.234900,87.583900,87.583900
186回目,82.214800,86.912800,85.570500,87.583900
187回目,83.501700,86.577200,87.583900,86.241600
188回目,82.885900,88.255000,87.919500,86.577200
