Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5.740920,9.657470,9.605880,9.701310
2回目,1.784460,5.761540,1.978880,5.869290
3回目,5.730830,5.734590,9.613990,5.849530
4回目,30.594300,9.395300,9.830810,1.850120
5回目,9.980850,5.734590,9.777550,5.657730
6回目,9.738310,2.073770,1.879390,9.595790
7回目,1.747590,5.488070,5.589110,5.849530
8回目,30.594300,2.025510,5.996530,5.849530
9回目,30.594300,5.828980,9.582850,9.595790
10回目,9.738310,9.657470,9.636620,5.849530
11回目,1.784460,1.890780,2.216850,5.650740
12回目,9.980850,5.724460,9.829470,5.849530
13回目,1.784460,5.488070,13.445500,1.815970
14回目,1.784460,1.922950,9.822670,5.657730
15回目,1.900130,5.828980,5.789100,1.696900
16回目,22.291900,1.818830,1.843610,1.815970
17回目,25.324100,9.693280,1.952550,1.696900
18回目,9.980850,5.828980,2.041720,1.810950
19回目,5.730830,5.488070,5.984640,5.657730
20回目,5.730830,1.843370,5.984640,1.815970
21回目,1.747590,9.693280,1.934820,13.401700
22回目,1.747590,9.657470,1.802930,5.657730
23回目,5.730830,2.073770,5.789100,5.849530
24回目,5.730830,5.923420,1.905570,5.849530
25回目,22.291900,5.828980,5.593640,9.595790
26回目,1.900130,5.828980,1.926800,9.701310
27回目,5.740920,1.892000,1.743250,1.850120
28回目,9.980850,5.488070,11.731800,5.657730
29回目,5.740920,5.761540,5.625480,1.815970
30回目,1.900130,1.843370,5.758800,9.595790
31回目,30.594300,1.818830,5.812670,1.815970
32回目,5.740920,2.073770,13.659800,9.701310
33回目,9.980850,1.818830,1.743090,1.850120
34回目,1.747590,5.828980,2.087040,5.650740
35回目,25.324100,5.923420,1.935810,5.650740
36回目,13.809900,2.025510,9.678110,13.401700
37回目,30.594300,9.247270,2.154910,5.650740
38回目,5.740920,5.724460,9.689590,5.869290
39回目,9.980850,9.395300,2.029280,5.849530
40回目,5.740920,5.828980,1.929760,1.850120
41回目,1.747590,1.922950,9.760660,9.701310
42回目,9.980850,1.892000,1.730390,1.810950
43回目,1.747590,9.395300,1.804650,5.657730
44回目,5.740920,5.724460,2.127570,1.850120
45回目,9.738310,9.657470,5.799080,5.849530
46回目,1.747590,2.073770,1.846640,5.650740
47回目,9.738310,1.818830,1.884520,5.849530
48回目,25.324100,9.395300,1.761230,9.595790
49回目,9.738310,5.474100,9.754720,13.401700
50回目,9.738310,9.395300,1.858560,5.657730
51回目,1.784460,9.657470,1.787180,13.401700
52回目,9.980850,5.488070,1.955910,1.850120
53回目,1.900130,9.657470,5.817660,1.850120
54回目,1.747590,5.488070,13.546600,13.401700
55回目,13.809900,1.755310,5.695250,1.810950
56回目,1.900130,9.657470,1.936570,5.657730
57回目,13.809900,5.488070,1.949430,9.595790
58回目,1.784460,5.828980,5.683030,1.815970
59回目,1.784460,9.657470,1.855120,5.849530
60回目,1.784460,9.395300,1.723770,9.595790
61回目,13.809900,5.724460,17.583200,1.696900
62回目,5.740920,5.488070,5.796660,1.696900
63回目,30.594300,1.818830,1.704900,1.815970
64回目,9.738310,1.922950,1.641750,5.650740
65回目,1.784460,1.755310,1.873950,5.657730
66回目,13.809900,9.693280,9.544380,13.401700
67回目,5.730830,2.073770,5.893270,9.701310
68回目,9.738310,1.892000,1.985240,9.701310
69回目,5.740920,5.826420,25.245400,9.595790
70回目,13.809900,1.826730,9.560440,13.401700
71回目,22.291900,5.474100,5.515920,1.696900
72回目,30.594300,5.828980,5.836050,5.657730
73回目,13.809900,5.923420,1.670200,1.850120
74回目,13.809900,5.734590,6.015060,1.815970
75回目,30.594300,1.818830,1.692200,5.657730
76回目,5.730830,5.488070,9.781240,9.701310
77回目,13.809900,1.892000,9.881200,5.650740
78回目,13.809900,9.395300,5.892570,9.595790
79回目,1.784460,5.474100,5.818410,1.850120
80回目,22.291900,9.395300,1.804450,1.850120
81回目,1.747590,5.828980,9.790220,1.815970
82回目,9.980850,1.568580,1.694750,1.696900
83回目,1.784460,9.657470,2.031810,5.869290
84回目,25.324100,1.892000,5.735270,5.849530
85回目,13.809900,5.828980,5.795900,1.850120
86回目,9.738310,2.073770,5.879150,1.696900
87回目,1.900130,5.828980,5.693550,13.401700
88回目,1.784460,1.922950,9.816580,5.869290
89回目,13.809900,1.818830,5.748040,13.401700
90回目,25.324100,2.073770,5.747130,1.696900
91回目,30.594300,9.693280,5.753230,9.701310
92回目,1.784460,5.828980,1.783480,5.657730
93回目,1.747590,5.474100,1.748970,1.696900
94回目,1.747590,5.828980,2.206190,1.815970
95回目,9.980850,9.657470,1.740530,5.869290
96回目,1.747590,9.395300,5.583600,1.810950
97回目,5.730830,9.657470,1.883170,5.657730
98回目,5.740920,9.657470,13.584100,1.850120
99回目,5.730830,1.890780,5.995630,9.595790
100回目,9.980850,5.474100,2.206520,13.401700
101回目,1.900130,5.488070,1.854540,1.815970
102回目,1.784460,9.395300,1.900270,1.810950
103回目,1.747590,9.693280,13.731800,5.650740
104回目,22.291900,1.818830,5.794290,9.595790
105回目,5.730830,1.568580,5.792240,5.869290
106回目,1.747590,1.890780,1.923800,13.401700
107回目,1.784460,9.395300,1.863390,5.849530
108回目,9.738310,2.073770,1.784020,9.701310
109回目,9.738310,5.724460,9.475420,1.815970
110回目,25.324100,1.892000,1.945330,5.657730
111回目,13.809900,1.922950,2.160540,1.815970
112回目,1.900130,5.488070,9.673070,1.850120
113回目,1.784460,5.488070,1.737830,1.810950
114回目,9.980850,2.073770,9.758400,1.815970
115回目,9.738310,1.890780,9.738520,5.849530
116回目,1.784460,9.693280,9.740520,9.701310
117回目,22.291900,1.922950,9.607890,13.401700
118回目,5.730830,5.488070,5.690140,13.401700
119回目,1.784460,1.922950,1.934960,5.869290
120回目,13.809900,9.657470,2.044920,13.401700
121回目,22.291900,1.818830,5.718230,5.657730
122回目,5.730830,1.826730,5.759420,9.701310
123回目,1.784460,5.488070,9.656540,1.810950
124回目,13.809900,1.818830,2.009820,1.850120
125回目,5.730830,1.892000,1.810190,5.650740
126回目,13.809900,5.488070,13.638600,5.849530
127回目,1.784460,1.922950,13.783000,1.810950
128回目,13.809900,5.724460,1.729770,9.701310
129回目,13.809900,9.693280,9.693240,1.696900
130回目,9.980850,5.488070,5.573980,9.595790
131回目,9.980850,1.826730,1.968450,9.595790
132回目,30.594300,9.693280,2.083390,9.701310
133回目,5.730830,1.890780,1.893480,9.701310
134回目,1.900130,5.488070,2.092170,5.650740
135回目,5.730830,5.828980,9.948270,1.815970
136回目,22.291900,2.025510,9.716660,5.650740
137回目,9.738310,5.828980,1.794160,9.701310
138回目,1.900130,2.073770,1.879880,13.401700
139回目,25.324100,1.922950,5.614910,9.595790
140回目,25.324100,1.826730,9.536730,5.869290
141回目,1.900130,1.568580,9.726130,1.810950
142回目,25.324100,9.657470,1.738550,13.401700
143回目,30.594300,1.755310,13.791300,1.696900
144回目,1.784460,2.073770,2.055150,1.850120
145回目,9.980850,9.247270,1.895060,1.696900
146回目,22.291900,5.923420,5.864540,5.657730
147回目,1.784460,5.828980,9.671570,5.650740
148回目,9.980850,2.073770,9.699130,1.850120
149回目,9.980850,5.761540,1.880510,13.401700
150回目,22.291900,1.922950,1.667960,1.815970
151回目,1.900130,5.734590,2.254070,1.696900
152回目,1.784460,1.826730,1.737160,5.650740
153回目,5.740920,1.922950,9.685340,1.850120
154回目,1.900130,1.890780,1.893330,13.401700
155回目,25.324100,9.693280,1.890900,9.701310
156回目,9.738310,2.025510,13.474600,13.401700
157回目,30.594300,5.474100,2.033720,9.701310
158回目,30.594300,5.923420,1.920390,1.850120
159回目,30.594300,1.890780,2.190320,1.850120
160回目,1.747590,5.828980,1.863670,1.696900
161回目,1.900130,9.395300,9.699130,9.701310
162回目,25.324100,5.828980,1.830370,9.595790
163回目,5.740920,9.247270,6.041980,1.810950
164回目,30.594300,5.474100,9.789700,1.810950
165回目,5.740920,9.395300,9.743620,9.701310
166回目,9.980850,5.828980,1.881380,1.696900
167回目,9.980850,9.657470,1.851910,1.810950
168回目,22.291900,9.693280,1.900610,5.657730
169回目,22.291900,1.843370,13.765800,13.401700
170回目,22.291900,5.923420,5.580500,9.595790
171回目,13.809900,5.828980,1.972560,9.701310
172回目,1.784460,5.761540,9.627070,13.401700
173回目,30.594300,9.693280,1.833860,5.657730
174回目,9.738310,9.693280,9.781810,5.849530
175回目,1.747590,1.890780,1.798270,5.849530
176回目,1.784460,9.395300,17.204000,1.815970
177回目,1.747590,1.818830,1.889250,5.869290
178回目,13.809900,2.073770,9.550320,13.401700
179回目,25.324100,1.890780,13.544000,5.849530
180回目,30.594300,9.395300,1.898620,5.657730
181回目,25.324100,5.923420,5.749740,9.701310
182回目,1.900130,1.818830,1.889250,9.701310
183回目,1.900130,1.890780,5.806680,1.810950
184回目,5.740920,5.724460,2.206280,1.810950
185回目,13.809900,5.826420,1.958070,5.869290
186回目,22.291900,9.693280,1.883310,5.869290
187回目,1.747590,5.828980,1.997240,1.696900
188回目,1.784460,5.724460,9.722160,5.849530
189回目,1.900130,1.890780,9.709230,9.595790
190回目,1.900130,5.724460,9.544620,13.401700
191回目,13.809900,5.488070,1.779440,1.850120
192回目,1.900130,5.488070,1.715640,1.696900
193回目,5.730830,1.818830,9.768690,1.810950
194回目,5.740920,2.073770,5.934850,1.696900
195回目,13.809900,5.761540,5.597530,5.650740
196回目,5.740920,1.826730,5.760970,9.701310
197回目,9.738310,5.488070,1.910390,1.850120
198回目,22.291900,9.657470,9.388520,9.595790
199回目,9.738310,5.828980,1.847770,5.869290
200回目,1.784460,5.923420,9.713200,13.401700
201回目,13.809900,1.826730,2.177790,1.850120
202回目,13.809900,1.818830,5.608840,5.869290
203回目,22.291900,1.568580,7.568480,5.849530
204回目,9.980850,1.755310,5.817980,5.869290
205回目,13.809900,5.488070,5.775690,5.650740
206回目,22.291900,5.734590,5.789100,1.810950
207回目,1.900130,9.395300,5.851900,1.815970
208回目,1.747590,1.890780,1.817610,13.401700
209回目,30.594300,5.724460,1.889060,5.657730
210回目,9.738310,2.073770,2.249850,9.701310
211回目,5.740920,9.693280,5.950660,1.810950
212回目,1.900130,1.922950,13.389600,5.657730
213回目,22.291900,5.923420,1.888470,1.696900
214回目,9.980850,1.826730,5.825070,5.869290
215回目,5.730830,5.828980,10.024500,5.869290
216回目,1.784460,1.890780,9.766500,5.657730
217回目,22.291900,9.395300,9.662430,5.657730
218回目,9.738310,9.693280,2.198270,5.650740
219回目,9.738310,5.724460,5.653110,9.701310
220回目,1.784460,9.395300,1.911550,9.701310
221回目,1.784460,1.890780,2.227030,1.815970
