Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
91回目,5231356.000000,13921084.000000,12330750.000000,12302647.000000
92回目,5258782.000000,13974039.000000,12298190.000000,12253477.000000
93回目,5225164.000000,13820417.000000,12305208.000000,12284045.000000
94回目,5225164.000000,13918488.000000,12276854.000000,12262175.000000
95回目,5263474.000000,13910828.000000,12313808.000000,12284897.000000
96回目,5225164.000000,13882984.000000,12299034.000000,12295547.000000
97回目,5226748.000000,14021930.000000,12291684.000000,12253477.000000
98回目,5223126.000000,14021930.000000,12324272.000000,12295703.000000
99回目,5226748.000000,13964067.000000,12314598.000000,12298905.000000
100回目,5263474.000000,13820417.000000,12301762.000000,12294557.000000
101回目,5257928.000000,13874074.000000,12334690.000000,12262175.000000
102回目,5258782.000000,13938535.000000,12345230.000000,12295547.000000
103回目,5225164.000000,13976635.000000,12323958.000000,12280057.000000
104回目,5236662.000000,13927227.000000,12321022.000000,12298905.000000
105回目,5226748.000000,13852923.000000,12313212.000000,12284897.000000
106回目,5225164.000000,13908516.000000,12328868.000000,12294557.000000
107回目,5258782.000000,13882984.000000,12327268.000000,12312823.000000
108回目,5235236.000000,14024868.000000,12314802.000000,12302647.000000
109回目,5235236.000000,13891212.000000,12283308.000000,12262175.000000
110回目,5225230.000000,13830317.000000,12351262.000000,12253477.000000
111回目,5226268.000000,13982727.000000,12333778.000000,12262175.000000
112回目,5257928.000000,13874074.000000,12299022.000000,12295703.000000
113回目,5258782.000000,13874074.000000,12319654.000000,12295547.000000
114回目,5263474.000000,13913766.000000,12303468.000000,12262175.000000
115回目,5235236.000000,13964067.000000,12307070.000000,12312823.000000
116回目,5258782.000000,13976635.000000,12318694.000000,12302647.000000
117回目,5236662.000000,13927176.000000,12291546.000000,12294557.000000
118回目,5226748.000000,13985176.000000,12311472.000000,12294557.000000
119回目,5258782.000000,13927176.000000,12336076.000000,12284897.000000
120回目,5226268.000000,13910828.000000,12328308.000000,12294557.000000
121回目,5236662.000000,13927227.000000,12289362.000000,12253477.000000
122回目,5226748.000000,13843343.000000,12327944.000000,12302647.000000
123回目,5258782.000000,13874074.000000,12303086.000000,12295547.000000
124回目,5226268.000000,13871676.000000,12315814.000000,12295703.000000
125回目,5226748.000000,13830317.000000,12313044.000000,12280057.000000
126回目,5226268.000000,13929625.000000,12312698.000000,12312823.000000
127回目,5258782.000000,13982727.000000,12317194.000000,12295547.000000
128回目,5226268.000000,13891212.000000,12271746.000000,12302647.000000
129回目,5226268.000000,13921084.000000,12323426.000000,12284045.000000
130回目,5263474.000000,13929625.000000,12298796.000000,12298905.000000
131回目,5263474.000000,13843343.000000,12330908.000000,12298905.000000
132回目,5231356.000000,14032186.000000,12297330.000000,12302647.000000
133回目,5226748.000000,13964067.000000,12297156.000000,12302647.000000
134回目,5257928.000000,14040727.000000,12307306.000000,12280057.000000
135回目,5226748.000000,13918488.000000,12399776.000000,12262175.000000
136回目,5236662.000000,13850671.000000,12296968.000000,12280057.000000
137回目,5235236.000000,13974039.000000,12324952.000000,12302647.000000
138回目,5257928.000000,13969317.000000,12301366.000000,12294557.000000
139回目,5225230.000000,13982727.000000,12286868.000000,12298905.000000
140回目,5225230.000000,13843343.000000,12308220.000000,12284897.000000
141回目,5257928.000000,13852923.000000,12305308.000000,12295547.000000
142回目,5225230.000000,13966379.000000,12309212.000000,12294557.000000
143回目,5231356.000000,13771292.000000,12316376.000000,12284045.000000
144回目,5258782.000000,13913766.000000,12313352.000000,12295703.000000
145回目,5263474.000000,13804531.000000,12314464.000000,12284045.000000
146回目,5236662.000000,13893192.000000,12320508.000000,12253477.000000
147回目,5258782.000000,13974039.000000,12300230.000000,12280057.000000
148回目,5263474.000000,13913766.000000,12324702.000000,12295703.000000
149回目,5263474.000000,13825273.000000,12261290.000000,12294557.000000
150回目,5236662.000000,13927176.000000,12291520.000000,12262175.000000
151回目,5257928.000000,13834275.000000,12318104.000000,12284045.000000
152回目,5258782.000000,13843343.000000,12312936.000000,12280057.000000
153回目,5223126.000000,13927176.000000,12313450.000000,12295703.000000
154回目,5257928.000000,13908516.000000,12296624.000000,12294557.000000
155回目,5225230.000000,13921084.000000,12377362.000000,12302647.000000
156回目,5235236.000000,13850671.000000,12293552.000000,12294557.000000
157回目,5231356.000000,13820417.000000,12305242.000000,12302647.000000
158回目,5231356.000000,14004294.000000,12313334.000000,12295703.000000
159回目,5231356.000000,13964067.000000,12296362.000000,12295703.000000
160回目,5225164.000000,13974039.000000,12329170.000000,12284045.000000
161回目,5257928.000000,13994086.000000,12324702.000000,12302647.000000
162回目,5225230.000000,13974039.000000,12320780.000000,12298905.000000
163回目,5223126.000000,13804531.000000,12317406.000000,12295547.000000
164回目,5231356.000000,13820417.000000,12315088.000000,12295547.000000
165回目,5223126.000000,13994086.000000,12301038.000000,12302647.000000
166回目,5263474.000000,13974039.000000,12316810.000000,12284045.000000
167回目,5263474.000000,13910828.000000,12307112.000000,12295547.000000
168回目,5236662.000000,13921084.000000,12332394.000000,12253477.000000
169回目,5236662.000000,13824613.000000,12338180.000000,12294557.000000
170回目,5236662.000000,14004294.000000,12304866.000000,12298905.000000
171回目,5226268.000000,14029590.000000,12288370.000000,12302647.000000
172回目,5258782.000000,13825273.000000,12302888.000000,12294557.000000
173回目,5231356.000000,13921084.000000,12292700.000000,12253477.000000
174回目,5235236.000000,13921084.000000,12313228.000000,12312823.000000
175回目,5225164.000000,13908516.000000,12311958.000000,12312823.000000
176回目,5258782.000000,13882984.000000,12370524.000000,12262175.000000
177回目,5225164.000000,13927227.000000,12300324.000000,12284897.000000
178回目,5226268.000000,13913766.000000,12298216.000000,12294557.000000
179回目,5225230.000000,13908516.000000,12317692.000000,12312823.000000
180回目,5231356.000000,13938535.000000,12318644.000000,12253477.000000
181回目,5225230.000000,13948743.000000,12325860.000000,12302647.000000
182回目,5257928.000000,13871676.000000,12300324.000000,12302647.000000
183回目,5257928.000000,13908516.000000,12306356.000000,12295547.000000
184回目,5223126.000000,13946763.000000,12345664.000000,12295547.000000
185回目,5226268.000000,13886795.000000,12303644.000000,12284897.000000
186回目,5236662.000000,13921084.000000,12337446.000000,12284897.000000
187回目,5225164.000000,13974039.000000,12309302.000000,12284045.000000
188回目,5258782.000000,13891212.000000,12321150.000000,12312823.000000
189回目,5257928.000000,13964067.000000,12325452.000000,12298905.000000
190回目,5257928.000000,13946763.000000,12313182.000000,12294557.000000
191回目,5226268.000000,13874074.000000,12293946.000000,12295703.000000
192回目,5257928.000000,13874074.000000,12330808.000000,12284045.000000
193回目,5226748.000000,13927227.000000,12370682.000000,12295547.000000
194回目,5223126.000000,13969317.000000,12361376.000000,12284045.000000
195回目,5226268.000000,13825273.000000,12310752.000000,12280057.000000
196回目,5223126.000000,13843343.000000,12315214.000000,12302647.000000
197回目,5235236.000000,13985176.000000,12326166.000000,12295703.000000
198回目,5236662.000000,13910828.000000,12279874.000000,12298905.000000
